# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.2850000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-5.0000000000000003e-02 +8.2849999311521199e+00 +0.0000000000000000e+00 -4.9999999999936789e-02 +2.7539158420446260e-06 +0.0000000000000000e+00 +9.9999999999620792e-01
-1.0000000000000001e-01 +8.2849997246083387e+00 +0.0000000000000000e+00 -9.9999999999494382e-02 +5.5078363128831272e-06 +0.0000000000000000e+00 +9.9999999998483180e-01
-1.5000000000000002e-01 +8.2849993803683777e+00 +0.0000000000000000e+00 -1.4999999999829358e-01 +8.2617634385318316e-06 +0.0000000000000000e+00 +9.9999999996587152e-01
-2.0000000000000001e-01 +8.2849988984318514e+00 +0.0000000000000000e+00 -1.9999999999595514e-01 +1.1015699241845221e-05 +0.0000000000000000e+00 +9.9999999993932709e-01
-2.5000000000000000e-01 +8.2849982787982750e+00 +0.0000000000000000e+00 -2.4999999999209988e-01 +1.3769645742516025e-05 +0.0000000000000000e+00 +9.9999999990519828e-01
-2.9999999999999999e-01 +8.2849975214670639e+00 +0.0000000000000000e+00 -2.9999999998634858e-01 +1.6523604957075314e-05 +0.0000000000000000e+00 +9.9999999986348509e-01
-3.4999999999999998e-01 +8.2849966264375325e+00 +0.0000000000000000e+00 -3.4999999997832199e-01 +1.9277578898892597e-05 +0.0000000000000000e+00 +9.9999999981418730e-01
-3.9999999999999997e-01 +8.2849955937088939e+00 +0.0000000000000000e+00 -3.9999999996764091e-01 +2.2031569578175911e-05 +0.0000000000000000e+00 +9.9999999975730480e-01
-4.4999999999999996e-01 +8.2849944232802617e+00 +0.0000000000000000e+00 -4.4999999995392609e-01 +2.4785579001971914e-05 +0.0000000000000000e+00 +9.9999999969283737e-01
-4.9999999999999994e-01 +8.2849931151506482e+00 +0.0000000000000000e+00 -4.9999999993679822e-01 +2.7539609174165974e-05 +0.0000000000000000e+00 +9.9999999962078479e-01
-5.4999999999999993e-01 +8.2849916693189662e+00 +0.0000000000000000e+00 -5.4999999991587811e-01 +3.0293662095482267e-05 +0.0000000000000000e+00 +9.9999999954114682e-01
-5.9999999999999998e-01 +8.2849900857840275e+00 +0.0000000000000000e+00 -5.9999999989078645e-01 +3.3047739763483859e-05 +0.0000000000000000e+00 +9.9999999945392326e-01
-6.5000000000000002e-01 +8.2849883645445441e+00 +0.0000000000000000e+00 -6.4999999986114398e-01 +3.5801844172572806e-05 +0.0000000000000000e+00 +9.9999999935911377e-01
-7.0000000000000007e-01 +8.2849865055991305e+00 +0.0000000000000000e+00 -6.9999999982657135e-01 +3.8555977313990226e-05 +0.0000000000000000e+00 +9.9999999925671812e-01
-7.5000000000000011e-01 +8.2849845089462999e+00 +0.0000000000000000e+00 -7.4999999978668930e-01 +4.1310141175816401e-05 +0.0000000000000000e+00 +9.9999999914673599e-01
-8.0000000000000016e-01 +8.2849823745844677e+00 +0.0000000000000000e+00 -7.9999999974111846e-01 +4.4064337742970869e-05 +0.0000000000000000e+00 +9.9999999902916692e-01
-8.5000000000000020e-01 +8.2849801025119483e+00 +0.0000000000000000e+00 -8.4999999968947948e-01 +4.6818568997212490e-05 +0.0000000000000000e+00 +9.9999999890401070e-01
-9.0000000000000024e-01 +8.2849776927269581e+00 +0.0000000000000000e+00 -8.9999999963139299e-01 +4.9572836917139560e-05 +0.0000000000000000e+00 +9.9999999877126677e-01
-9.5000000000000029e-01 +8.2849751452276141e+00 +0.0000000000000000e+00 -9.4999999956647962e-01 +5.2327143478189862e-05 +0.0000000000000000e+00 +9.9999999863093492e-01
-1.0000000000000002e+00 +8.2849724600119341e+00 +0.0000000000000000e+00 -9.9999999949436003e-01 +5.5081490652640780e-05 +0.0000000000000000e+00 +9.9999999848301457e-01
-1.0500000000000003e+00 +8.2849696370778396e+00 +0.0000000000000000e+00 -1.0499999994146547e+00 +5.7835880409609377e-05 +0.0000000000000000e+00 +9.9999999832750530e-01
-1.1000000000000003e+00 +8.2849666764231511e+00 +0.0000000000000000e+00 -1.0999999993269842e+00 +6.0590314715052461e-05 +0.0000000000000000e+00 +9.9999999816440677e-01
-1.1500000000000004e+00 +8.2849635780455930e+00 +0.0000000000000000e+00 -1.1499999992309691e+00 +6.3344795531766691e-05 +0.0000000000000000e+00 +9.9999999799371830e-01
