# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.2850000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
5.0000000000000003e-02 +8.2849999308234956e+00 +0.0000000000000000e+00 +4.9999999999936200e-02 -2.7670580826300823e-06 +0.0000000000000000e+00 +9.9999999999617173e-01
1.0000000000000001e-01 +8.2849997232943888e+00 +0.0000000000000000e+00 +9.9999999999489581e-02 -5.5341043900976859e-06 +0.0000000000000000e+00 +9.9999999998468692e-01
1.5000000000000002e-01 +8.2849993774132233e+00 +0.0000000000000000e+00 +1.4999999999827729e-01 -8.3011407389052175e-06 +0.0000000000000000e+00 +9.9999999996554556e-01
2.0000000000000001e-01 +8.2849988931804504e+00 +0.0000000000000000e+00 +1.9999999999591653e-01 -1.1068168940387077e-05 +0.0000000000000000e+00 +9.9999999993874789e-01
2.5000000000000000e-01 +8.2849982705964340e+00 +0.0000000000000000e+00 +2.4999999999202446e-01 -1.3835190800709757e-05 +0.0000000000000000e+00 +9.9999999990429378e-01
2.9999999999999999e-01 +8.2849975096614461e+00 +0.0000000000000000e+00 +2.9999999998621829e-01 -1.6602208120871920e-05 +0.0000000000000000e+00 +9.9999999986218335e-01
3.4999999999999998e-01 +8.2849966103756678e+00 +0.0000000000000000e+00 +3.4999999997811521e-01 -1.9369222696704482e-05 +0.0000000000000000e+00 +9.9999999981241661e-01
3.9999999999999997e-01 +8.2849955727391915e+00 +0.0000000000000000e+00 +3.9999999996733238e-01 -2.2136236318870698e-05 +0.0000000000000000e+00 +9.9999999975499354e-01
4.4999999999999996e-01 +8.2849943967520208e+00 +0.0000000000000000e+00 +4.4999999995348694e-01 -2.4903250772866254e-05 +0.0000000000000000e+00 +9.9999999968991404e-01
4.9999999999999994e-01 +8.2849930824140703e+00 +0.0000000000000000e+00 +4.9999999993619615e-01 -2.7670267839019339e-05 +0.0000000000000000e+00 +9.9999999961717811e-01
5.4999999999999993e-01 +8.2849916297251642e+00 +0.0000000000000000e+00 +5.4999999991507709e-01 -3.0437289292490740e-05 +0.0000000000000000e+00 +9.9999999953678564e-01
5.9999999999999998e-01 +8.2849900386850379e+00 +0.0000000000000000e+00 +5.9999999988974706e-01 -3.3204316903273909e-05 +0.0000000000000000e+00 +9.9999999944873663e-01
6.5000000000000002e-01 +8.2849883092933414e+00 +0.0000000000000000e+00 +6.4999999985982315e-01 -3.5971352436195067e-05 +0.0000000000000000e+00 +9.9999999935303086e-01
7.0000000000000007e-01 +8.2849864415496324e+00 +0.0000000000000000e+00 +6.9999999982492256e-01 -3.8738397650913277e-05 +0.0000000000000000e+00 +9.9999999924966820e-01
7.5000000000000011e-01 +8.2849844354533850e+00 +0.0000000000000000e+00 +7.4999999978466236e-01 -4.1505454301920515e-05 +0.0000000000000000e+00 +9.9999999913864857e-01
