# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.5391413084414887e-01 +7.2194873366624899e+00 +6.6833187385865465e+00 -4.1681835693207681e+01 -1.5439597013639261e+04 -1.9469623200430896e+05 +8.2858989574859530e+07 
+5.0000000000000003e-02 -5.5391092490540594e-01 +7.2193314381191929e+00 +6.6873897120282919e+00 -4.1172384189314172e+01 -1.5436483546600304e+04 -1.9810923081862915e+05 +8.2719474727376103e+07 
+1.0000000000000001e-01 -5.5390812207654982e-01 +7.2191966183979037e+00 +6.6910841165000008e+00 -4.0645688456777876e+01 -1.5435699268675957e+04 -2.0158275678846936e+05 +8.2595311079678759e+07 
+1.5000000000000002e-01 -5.5390572167903029e-01 +7.2190828595880889e+00 +6.6943983801653335e+00 -4.0102154598691826e+01 -1.5437198516457092e+04 -2.0511575626197123e+05 +8.2486374522036612e+07 
+2.0000000000000001e-01 -5.5390372303432955e-01 +7.2189901437845210e+00 +6.6973289339613995e+00 -3.9542188923018017e+01 -1.5440935707673700e+04 -2.0870717383256846e+05 +8.2392541518323764e+07 
+2.5000000000000000e-01 -5.5390212546394346e-01 +7.2189184530803221e+00 +6.6998722077437645e+00 -3.8966197636800125e+01 -1.5446865224930216e+04 -2.1235595495927410e+05 +8.2313688266822413e+07 
+2.9999999999999999e-01 -5.5390092828939064e-01 +7.2188677695719665e+00 +6.7020246321259274e+00 -3.8374587050116943e+01 -1.5454941476902743e+04 -2.1606104425872141e+05 +8.2249691168589488e+07 
+3.4999999999999998e-01 -5.5390013083219536e-01 +7.2188380753524157e+00 +6.7037826356358368e+00 -3.7767763303380505e+01 -1.5465118814226809e+04 -2.1982138775042270e+05 +8.2200426220439821e+07 
+3.9999999999999997e-01 -5.5389973241391166e-01 +7.2188293525200882e+00 +6.7051426487480796e+00 -3.7146132728944224e+01 -1.5477351639719567e+04 -2.2363592989066915e+05 +8.2165769768490478e+07 
+4.4999999999999996e-01 -5.5389973235611023e-01 +7.2188415831716757e+00 +6.7061011020248031e+00 -3.6510101556158951e+01 -1.5491594364150693e+04 -2.2750361599137285e+05 +8.2145598236411452e+07 
+4.9999999999999994e-01 -5.5390012998037108e-01 +7.2188747494015173e+00 +6.7066544238624717e+00 -3.5860075890168986e+01 -1.5507801333173666e+04 -2.3142339239655141e+05 +8.2139787579317331e+07 
+5.4999999999999993e-01 -5.5390092460830243e-01 +7.2189288333114678e+00 +6.7067990448128700e+00 -3.5196462115895351e+01 -1.5525926956291665e+04 -2.3539420315001963e+05 +8.2148214206996053e+07 
+5.9999999999999998e-01 -5.5390211556152558e-01 +7.2190038169992308e+00 +6.7065313943343634e+00 -3.4519666405292895e+01 -1.5545925611935156e+04 -2.3941499410896812e+05 +8.2170754312640592e+07 
+6.5000000000000002e-01 -5.5390370216168461e-01 +7.2190996825632405e+00 +6.7058479033034697e+00 -3.3830094945351441e+01 -1.5567751718820004e+04 -2.4348471095900057e+05 +8.2207284363288581e+07 
+7.0000000000000007e-01 -5.5390568373042526e-01 +7.2192164121060083e+00 +6.7047449989132604e+00 -3.3128154049440688e+01 -1.5591359594768021e+04 -2.4760229839914566e+05 +8.2257680146910593e+07 
+7.5000000000000011e-01 -5.5390805958943723e-01 +7.2193539877262625e+00 +6.7032191133855399e+00 -3.2414249846126658e+01 -1.5616703692577048e+04 -2.5176670266152109e+05 +8.2321818353284568e+07 
+8.0000000000000016e-01 -5.5391082906040823e-01 +7.2195123915264015e+00 +6.7012666755303698e+00 -3.1688788581196160e+01 -1.5643738378027356e+04 -2.5597686903834456e+05 +8.2399575107136548e+07 
+8.5000000000000020e-01 -5.5391399146504983e-01 +7.2196916056107909e+00 +6.6988841147055700e+00 -3.0952176550959351e+01 -1.5672418025591036e+04 -2.6023174241595672e+05 +8.2490826567054659e+07 
+9.0000000000000024e-01 -5.5391754612508748e-01 +7.2198916120806933e+00 +6.6960678600781396e+00 -3.0204819898215096e+01 -1.5702697008603318e+04 -2.6453026894798595e+05 +8.2595448899495453e+07 
+9.5000000000000029e-01 -5.5392149236227306e-01 +7.2201123930434568e+00 +6.6928143421402471e+00 -2.9447124969966985e+01 -1.5734529737634055e+04 -2.6887139318441873e+05 +8.2713318529249504e+07 
+1.0000000000000002e+00 -5.5392582949837332e-01 +7.2203539305983782e+00 +6.6891199909519266e+00 -2.8679497764657533e+01 -1.5767870609221560e+04 -2.7325406249868660e+05 +8.2844311776126161e+07 
+1.0500000000000003e+00 -5.5393055685516546e-01 +7.2206162068566764e+00 +6.6849812350089408e+00 -2.7902344721341400e+01 -1.5802673975660260e+04 -2.7767722074189660e+05 +8.2988304652470022e+07 
+1.1000000000000003e+00 -5.5393567375444452e-01 +7.2208992039226194e+00 +6.6803945032598095e+00 -2.7116071983974571e+01 -1.5838894208549897e+04 -2.8213981412025861e+05 +8.3145173332034692e+07 
+1.1500000000000004e+00 -5.5394117951804467e-01 +7.2212029039038494e+00 +6.6753562279781677e+00 -2.6321085780593602e+01 -1.5876485761505830e+04 -2.8664078825276520e+05 +8.3314794510803342e+07 
+1.2000000000000004e+00 -5.5394707346778815e-01 +7.2215272889078310e+00 +6.6698628365571064e+00 -2.5517792312940191e+01 -1.5915402960182873e+04 -2.9117908896009414e+05 +8.3497044034096345e+07 
+1.2500000000000004e+00 -5.5395335492552489e-01 +7.2218723410458736e+00 +6.6639107582809061e+00 -2.4706597895038382e+01 -1.5955600183960967e+04 -2.9575366121113813e+05 +8.3691798124061048e+07 
+1.3000000000000005e+00 -5.5396002321313476e-01 +7.2222380424267643e+00 +6.6574964241790244e+00 -2.3887908715633607e+01 -1.5997031853603348e+04 -3.0036345098992012e+05 +8.3898933259962961e+07 
+1.3500000000000005e+00 -5.5396707765249442e-01 +7.2226243751597039e+00 +6.6506162616730409e+00 -2.3062130939365741e+01 -1.6039652292668676e+04 -3.0500740453514655e+05 +8.4118325264983639e+07 
+1.4000000000000006e+00 -5.5397451756552230e-01 +7.2230313213579116e+00 +6.6432667028093393e+00 -2.2229670871268855e+01 -1.6083415954739667e+04 -3.0968446693191654e+05 +8.4349850863382056e+07 
+1.4500000000000006e+00 -5.5398234227412591e-01 +7.2234588631357175e+00 +6.6354441743759383e+00 -2.1390934812554928e+01 -1.6128277146959750e+04 -3.1439358338778466e+05 +8.4593385773121059e+07 
+1.5000000000000007e+00 -5.5399055110026707e-01 +7.2239069826026965e+00 +6.6271451097368832e+00 -2.0546328846249498e+01 -1.6174190353625649e+04 -3.1913370089591068e+05 +8.4848806906126395e+07 
+1.5500000000000007e+00 -5.5399914336588107e-01 +7.2243756618752633e+00 +6.6183659346104333e+00 -1.9696259304898923e+01 -1.6221109856501056e+04 -3.2390376441627799e+05 +8.5115989826680779e+07 
+1.6000000000000008e+00 -5.5400811839295039e-01 +7.2248648830700706e+00 +6.6091030798140640e+00 -1.8841132491905601e+01 -1.6268990069795644e+04 -3.2870271921027504e+05 +8.5394810971163616e+07 
+1.6500000000000008e+00 -5.5401747550347602e-01 +7.2253746283006262e+00 +6.5993529761614358e+00 -1.7981354543127271e+01 -1.6317785407304493e+04 -3.3352951196701359e+05 +8.5685146775138870e+07 
+1.7000000000000008e+00 -5.5402721401945654e-01 +7.2259048796864400e+00 +6.5891120515294448e+00 -1.7117331808602696e+01 -1.6367450206655369e+04 -3.3838308763797651e+05 +8.5986873172174186e+07 
+1.7500000000000009e+00 -5.5403733326292715e-01 +7.2264556193440317e+00 +6.5783767370016610e+00 -1.6249470484911143e+01 -1.6417938892444250e+04 -3.4326239246346097e+05 +8.6299866688557699e+07 
+1.8000000000000009e+00 -5.5404783255593093e-01 +7.2270268293937701e+00 +6.5671434615742319e+00 -1.5378176886939491e+01 -1.6469205825378751e+04 -3.4816637176747253e+05 +8.6624003388522059e+07 
+1.8500000000000010e+00 -5.5405871122051997e-01 +7.2276184919540611e+00 +6.5554086534668423e+00 -1.4503857211528143e+01 -1.6521205351732035e+04 -3.5309397189792106e+05 +8.6959159267186180e+07 
+1.9000000000000010e+00 -5.5406996857878454e-01 +7.2282305891482155e+00 +6.5431687442075139e+00 -1.3626917828257293e+01 -1.6573891903220079e+04 -3.5804413779283920e+05 +8.7305210884005576e+07 
+1.9500000000000011e+00 -5.5408160395281791e-01 +7.2288631030952715e+00 +6.5304201629233178e+00 -1.2747764896718756e+01 -1.6627219848287845e+04 -3.6301581615773786e+05 +8.7662034379319981e+07 
+2.0000000000000009e+00 -5.5409361666473067e-01 +7.2295160159211225e+00 +6.5171593386873594e+00 -1.1866804809036509e+01 -1.6681143548706739e+04 -3.6800795188123151e+05 +8.8029505829391941e+07 
+2.0500000000000007e+00 -5.5410600582334268e-01 +7.2301892927695457e+00 +6.5033841677772068e+00 -1.0984520815488448e+01 -1.6735610086205961e+04 -3.7301854196991544e+05 +8.8407372022433519e+07 
+2.1000000000000005e+00 -5.5411876968435392e-01 +7.2308828255623405e+00 +6.4890989010256135e+00 -1.0101773034597741e+01 -1.6790535675840300e+04 -3.7804139250937768e+05 +8.8794839774986222e+07 
+2.1500000000000004e+00 -5.5413190629018572e-01 +7.2315964865843361e+00 +6.4743095025493398e+00 -9.2195338019067989e+00 -1.6845828116247783e+04 -3.8306916254090099e+05 +8.9190973551899090e+07 
