# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.2850000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.8389703549782749e-02 -5.5125806319992365e-01 +5.2578991170118012e-03
-5.0000000000000003e-02 +8.2849999309131146e+00 +0.0000000000000000e+00 -4.9999999999936359e-02 -2.8389271161806600e-02 -5.5125883750122806e-01 +5.2588478847411533e-03
-1.0000000000000001e-01 +8.2849997236523123e+00 +0.0000000000000000e+00 -9.9999999999490885e-02 -2.8388862108399419e-02 -5.5126001394216440e-01 +5.2598044337728430e-03
-1.5000000000000002e-01 +8.2849993782172984e+00 +0.0000000000000000e+00 -1.4999999999828173e-01 -2.8388476355035278e-02 -5.5126159197062996e-01 +5.2607687049654973e-03
-2.0000000000000001e-01 +8.2849988946076785e+00 +0.0000000000000000e+00 -1.9999999999592705e-01 -2.8388113867189008e-02 -5.5126357103453971e-01 +5.2617406391781488e-03
-2.5000000000000000e-01 +8.2849982728229552e+00 +0.0000000000000000e+00 -2.4999999999204497e-01 -2.8387774610336196e-02 -5.5126595058182704e-01 +5.2627201772702430e-03
-2.9999999999999999e-01 +8.2849975128625317e+00 +0.0000000000000000e+00 -2.9999999998625365e-01 -2.8387458549953299e-02 -5.5126873006044408e-01 +5.2637072601016280e-03
-3.4999999999999998e-01 +8.2849966147257117e+00 +0.0000000000000000e+00 -3.4999999997817127e-01 -2.8387165651517561e-02 -5.5127190891836120e-01 +5.2647018285325378e-03
-3.9999999999999997e-01 +8.2849955784116993e+00 +0.0000000000000000e+00 -3.9999999996741592e-01 -2.8386895880507024e-02 -5.5127548660356696e-01 +5.2657038234235820e-03
-4.4999999999999996e-01 +8.2849944039195975e+00 +0.0000000000000000e+00 -4.4999999995360568e-01 -2.8386649202400641e-02 -5.5127946256406812e-01 +5.2667131856357500e-03
-4.9999999999999994e-01 +8.2849930912484098e+00 +0.0000000000000000e+00 -4.9999999993635869e-01 -2.8386425582678180e-02 -5.5128383624788979e-01 +5.2677298560303825e-03
-5.4999999999999993e-01 +8.2849916403970401e+00 +0.0000000000000000e+00 -5.4999999991529314e-01 -2.8386224986820318e-02 -5.5128860710307515e-01 +5.2687537754691795e-03
-5.9999999999999998e-01 +8.2849900513642911e+00 +0.0000000000000000e+00 -5.9999999989002695e-01 -2.8386047380308591e-02 -5.5129377457768491e-01 +5.2697848848141824e-03
-6.5000000000000002e-01 +8.2849883241488698e+00 +0.0000000000000000e+00 -6.4999999986017831e-01 -2.8385892728625482e-02 -5.5129933811979859e-01 +5.2708231249277634e-03
-7.0000000000000007e-01 +8.2849864587493798e+00 +0.0000000000000000e+00 -6.9999999982536520e-01 -2.8385760997254372e-02 -5.5130529717751298e-01 +5.2718684366726241e-03
-7.5000000000000011e-01 +8.2849844551643272e+00 +0.0000000000000000e+00 -7.4999999978520582e-01 -2.8385652151679583e-02 -5.5131165119894332e-01 +5.2729207609117758e-03
-8.0000000000000016e-01 +8.2849823133921205e+00 +0.0000000000000000e+00 -7.9999999973931801e-01 -2.8385566157386379e-02 -5.5131839963222140e-01 +5.2739800385085368e-03
-8.5000000000000020e-01 +8.2849800334310686e+00 +0.0000000000000000e+00 -8.4999999968731987e-01 -2.8385502979861019e-02 -5.5132554192549843e-01 +5.2750462103265247e-03
-9.0000000000000024e-01 +8.2849776152793808e+00 +0.0000000000000000e+00 -8.9999999962882937e-01 -2.8385462584590737e-02 -5.5133307752694216e-01 +5.2761192172296485e-03
-9.5000000000000029e-01 +8.2849750589351689e+00 +0.0000000000000000e+00 -9.4999999956346448e-01 -2.8385444937063728e-02 -5.5134100588473833e-01 +5.2771990000820800e-03
-1.0000000000000002e+00 +8.2849723643964452e+00 +0.0000000000000000e+00 -9.9999999949084317e-01 -2.8385450002769232e-02 -5.5134932644708989e-01 +5.2782854997482790e-03
-1.0500000000000003e+00 +8.2849695316611243e+00 +0.0000000000000000e+00 -1.0499999994105833e+00 -2.8385477747197529e-02 -5.5135803866221778e-01 +5.2793786570929490e-03
-1.1000000000000003e+00 +8.2849665607270211e+00 +0.0000000000000000e+00 -1.0999999993223029e+00 -2.8385528135839895e-02 -5.5136714197836023e-01 +5.2804784129810546e-03
-1.1500000000000004e+00 +8.2849634515918549e+00 +0.0000000000000000e+00 -1.1499999992256198e+00 -2.8385601134188705e-02 -5.5137663584377306e-01 +5.2815847082777973e-03
-1.2000000000000004e+00 +8.2849602042532471e+00 +0.0000000000000000e+00 -1.1999999991201518e+00 -2.8385696707737388e-02 -5.5138651970672781e-01 +5.2826974838486099e-03
-1.2500000000000004e+00 +8.2849568187087197e+00 +0.0000000000000000e+00 -1.2499999990055168e+00 -2.8385814821980444e-02 -5.5139679301551603e-01 +5.2838166805591500e-03
-1.3000000000000005e+00 +8.2849532949556970e+00 +0.0000000000000000e+00 -1.2999999988813327e+00 -2.8385955442413503e-02 -5.5140745521844403e-01 +5.2849422392752853e-03
-1.3500000000000005e+00 +8.2849496329915073e+00 +0.0000000000000000e+00 -1.3499999987472169e+00 -2.8386118534533298e-02 -5.5141850576383666e-01 +5.2860741008630922e-03
-1.4000000000000006e+00 +8.2849458328133796e+00 +0.0000000000000000e+00 -1.3999999986027873e+00 -2.8386304063837679e-02 -5.5142994410003532e-01 +5.2872122061888398e-03
-1.4500000000000006e+00 +8.2849418944184485e+00 +0.0000000000000000e+00 -1.4499999984476619e+00 -2.8386511995825685e-02 -5.5144176967539871e-01 +5.2883564961189794e-03
-1.5000000000000007e+00 +8.2849378178037494e+00 +0.0000000000000000e+00 -1.4999999982814582e+00 -2.8386742295997455e-02 -5.5145398193830153e-01 +5.2895069115201435e-03
-1.5500000000000007e+00 +8.2849336029662215e+00 +0.0000000000000000e+00 -1.5499999981037937e+00 -2.8386994929854338e-02 -5.5146658033713625e-01 +5.2906633932591268e-03
-1.6000000000000008e+00 +8.2849292499027065e+00 +0.0000000000000000e+00 -1.5999999979142863e+00 -2.8387269862898877e-02 -5.5147956432031287e-01 +5.2918258822028923e-03
-1.6500000000000008e+00 +8.2849247586099501e+00 +0.0000000000000000e+00 -1.6499999977125532e+00 -2.8387567060634819e-02 -5.5149293333625637e-01 +5.2929943192185393e-03
-1.7000000000000008e+00 +8.2849201290846022e+00 +0.0000000000000000e+00 -1.6999999974982123e+00 -2.8387886488567122e-02 -5.5150668683340975e-01 +5.2941686451733133e-03
-1.7500000000000009e+00 +8.2849153613232147e+00 +0.0000000000000000e+00 -1.7499999972708808e+00 -2.8388228112201968e-02 -5.5152082426023208e-01 +5.2953488009345887e-03
-1.8000000000000009e+00 +8.2849104553222439e+00 +0.0000000000000000e+00 -1.7999999970301765e+00 -2.8388591897046817e-02 -5.5153534506519963e-01 +5.2965347273698591e-03
-1.8500000000000010e+00 +8.2849054110780500e+00 +0.0000000000000000e+00 -1.8499999967757166e+00 -2.8388977808610393e-02 -5.5155024869680402e-01 +5.2977263653467329e-03
-1.9000000000000010e+00 +8.2849002285868973e+00 +0.0000000000000000e+00 -1.8999999965071186e+00 -2.8389385812402662e-02 -5.5156553460355484e-01 +5.2989236557329199e-03
