# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.2850000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -3.1218442615975263e-02 -5.8083178243387112e-01 +5.2235977176424732e-03
5.0000000000000003e-02 +8.2849999306215949e+00 +0.0000000000000000e+00 +4.9999999999935811e-02 -3.1219163313841766e-02 -5.8083096402778345e-01 +5.2216713520050959e-03
1.0000000000000001e-01 +8.2849997224864929e+00 +0.0000000000000000e+00 +9.9999999999486555e-02 -3.1219907031224906e-02 -5.8083051996957991e-01 +5.2197579029981964e-03
1.5000000000000002e-01 +8.2849993755948006e+00 +0.0000000000000000e+00 +1.4999999999826716e-01 -3.1220673690966094e-02 -5.8083044974618880e-01 +5.2178574929569090e-03
2.0000000000000001e-01 +8.2849988899465341e+00 +0.0000000000000000e+00 +1.9999999999589257e-01 -3.1221463215908584e-02 -5.8083075284455787e-01 +5.2159702442169577e-03
2.5000000000000000e-01 +8.2849982655416223e+00 +0.0000000000000000e+00 +2.4999999999197772e-01 -3.1222275528897371e-02 -5.8083142875165172e-01 +5.2140962791146928e-03
2.9999999999999999e-01 +8.2849975023799036e+00 +0.0000000000000000e+00 +2.9999999998613752e-01 -3.1223110552779092e-02 -5.8083247695445184e-01 +5.2122357199870673e-03
3.4999999999999998e-01 +8.2849966004611275e+00 +0.0000000000000000e+00 +3.4999999997798692e-01 -3.1223968210402027e-02 -5.8083389693995846e-01 +5.2103886891716640e-03
3.9999999999999997e-01 +8.2849955597849547e+00 +0.0000000000000000e+00 +3.9999999996714081e-01 -3.1224848424615932e-02 -5.8083568819518916e-01 +5.2085553090066928e-03
4.4999999999999996e-01 +8.2849943803509571e+00 +0.0000000000000000e+00 +4.4999999995321410e-01 -3.1225751118272041e-02 -5.8083785020717893e-01 +5.2067357018309940e-03
4.9999999999999994e-01 +8.2849930621586179e+00 +0.0000000000000000e+00 +4.9999999993582173e-01 -3.1226676214222933e-02 -5.8084038246297998e-01 +5.2049299899840527e-03
5.4999999999999993e-01 +8.2849916052073329e+00 +0.0000000000000000e+00 +5.4999999991457860e-01 -3.1227623635322468e-02 -5.8084328444966260e-01 +5.2031382958059947e-03
5.9999999999999998e-01 +8.2849900094964077e+00 +0.0000000000000000e+00 +5.9999999988909958e-01 -3.1228593304425775e-02 -5.8084655565431398e-01 +5.2013607416376059e-03
6.5000000000000002e-01 +8.2849882750250625e+00 +0.0000000000000000e+00 +6.4999999985899959e-01 -3.1229585144389064e-02 -5.8085019556403872e-01 +5.1995974498203227e-03
7.0000000000000007e-01 +8.2849864017924268e+00 +0.0000000000000000e+00 +6.9999999982389349e-01 -3.1230599078069621e-02 -5.8085420366595863e-01 +5.1978485426962470e-03
7.5000000000000011e-01 +8.2849843897975433e+00 +0.0000000000000000e+00 +7.4999999978339615e-01 -3.1231635028325773e-02 -5.8085857944721331e-01 +5.1961141426081587e-03
8.0000000000000016e-01 +8.2849822390393655e+00 +0.0000000000000000e+00 +7.9999999973712255e-01 -3.1232692918016669e-02 -5.8086332239495897e-01 +5.1943943718994979e-03
8.5000000000000020e-01 +8.2849799495167620e+00 +0.0000000000000000e+00 +8.4999999968468731e-01 -3.1233772670002415e-02 -5.8086843199636951e-01 +5.1926893529144029e-03
9.0000000000000024e-01 +8.2849775212285124e+00 +0.0000000000000000e+00 +8.9999999962570543e-01 -3.1234874207143760e-02 -5.8087390773863534e-01 +5.1909992079976919e-03
9.5000000000000029e-01 +8.2849749541733075e+00 +0.0000000000000000e+00 +9.4999999955979164e-01 -3.1235997452302225e-02 -5.8087974910896478e-01 +5.1893240594948764e-03
1.0000000000000002e+00 +8.2849722483497530e+00 +0.0000000000000000e+00 +9.9999999948656082e-01 -3.1237142328339896e-02 -5.8088595559458245e-01 +5.1876640297521754e-03
1.0500000000000003e+00 +8.2849694037563655e+00 +0.0000000000000000e+00 +1.0499999994056277e+00 -3.1238308758119414e-02 -5.8089252668273039e-01 +5.1860192411165079e-03
