# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.7925843439865898e-01 +7.5749901012249010e+00 +7.2003154276626811e+00 -1.4189149896888006e+02 -2.2688405837642731e+04 +6.2130975925289735e+05 +1.4959948485786602e+08 
-5.0000000000000003e-02 -5.7925930784216317e-01 +7.5750169990137994e+00 +7.2037663754898666e+00 -1.4215799079718187e+02 -2.2782602517381903e+04 +6.2453433779409702e+05 +1.5007038560040545e+08 
-1.0000000000000001e-01 -5.7926058214479148e-01 +7.5750655964457350e+00 +7.2061824701196997e+00 -1.4242354102026317e+02 -2.2864001688783090e+04 +6.2781939026975166e+05 +1.5046506252791226e+08 
-1.5000000000000002e-01 -5.7926225643622264e-01 +7.5751358156947504e+00 +7.2075821101818942e+00 -1.4268691114978677e+02 -2.2933034135963626e+04 +6.3115313905115204e+05 +1.5078628257253629e+08 
-2.0000000000000001e-01 -5.7926432984615417e-01 +7.5752275789436103e+00 +7.2079836942390019e+00 -1.4294686304370418e+02 -2.2990130637585247e+04 +6.3452380941996642e+05 +1.5103681261074939e+08 
-2.5000000000000000e-01 -5.7926680150429855e-01 +7.5753408083698748e+00 +7.2074056202477017e+00 -1.4320215830554343e+02 -2.3035721959237988e+04 +6.3791962452251231e+05 +1.5121941944307104e+08 
-2.9999999999999999e-01 -5.7926967054038259e-01 +7.5754754261547195e+00 +7.2058662854734195e+00 -1.4345155865905576e+02 -2.3070238848626715e+04 +6.4132880848097592e+05 +1.5133686975152332e+08 
-3.4999999999999998e-01 -5.7927293608416319e-01 +7.5756313544807288e+00 +7.2033840891429399e+00 -1.4369382586128023e+02 -2.3094112104589316e+04 +6.4473958570980583e+05 +1.5139193055353567e+08 
-3.9999999999999997e-01 -5.7927659726539515e-01 +7.5758085155323585e+00 +7.1999774269990597e+00 -1.4392772171273839e+02 -2.3107772432860191e+04 +6.4814018095862039e+05 +1.5138736823888719e+08 
-4.4999999999999996e-01 -5.7928065321387834e-01 +7.5760068314947473e+00 +7.1956646993422915e+00 -1.4415200801098047e+02 -2.3111650663771128e+04 +6.5151881892866117e+05 +1.5132595004859716e+08 
