# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.3650000000000002e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-5.0000000000000003e-02 +8.3649999308431475e+00 +0.0000000000000000e+00 -4.9999999999936227e-02 +2.7662766057379536e-06 +0.0000000000000000e+00 +9.9999999999617384e-01
-1.0000000000000001e-01 +8.3649997233720743e+00 +0.0000000000000000e+00 -9.9999999999489844e-02 +5.5325691063440535e-06 +0.0000000000000000e+00 +9.9999999998469535e-01
-1.5000000000000002e-01 +8.3649993775859421e+00 +0.0000000000000000e+00 -1.4999999999827823e-01 +8.2988793069168678e-06 +0.0000000000000000e+00 +9.9999999996556432e-01
-2.0000000000000001e-01 +8.3649988934838184e+00 +0.0000000000000000e+00 -1.9999999999591875e-01 +1.1065209008629052e-05 +0.0000000000000000e+00 +9.9999999993878064e-01
-2.5000000000000000e-01 +8.3649982710646853e+00 +0.0000000000000000e+00 -2.4999999999202877e-01 +1.3831560008727428e-05 +0.0000000000000000e+00 +9.9999999990434407e-01
-2.9999999999999999e-01 +8.3649975103274326e+00 +0.0000000000000000e+00 -2.9999999998622562e-01 +1.6597934100533072e-05 +0.0000000000000000e+00 +9.9999999986225441e-01
-3.4999999999999998e-01 +8.3649966112708611e+00 +0.0000000000000000e+00 -3.4999999997812664e-01 +1.9364333073441386e-05 +0.0000000000000000e+00 +9.9999999981251142e-01
-3.9999999999999997e-01 +8.3649955738936814e+00 +0.0000000000000000e+00 -3.9999999996734920e-01 +2.2130758712922194e-05 +0.0000000000000000e+00 +9.9999999975511489e-01
-4.4999999999999996e-01 +8.3649943981945150e+00 +0.0000000000000000e+00 -4.4999999995351059e-01 +2.4897212800519812e-05 +0.0000000000000000e+00 +9.9999999969006448e-01
-4.9999999999999994e-01 +8.3649930841718962e+00 +0.0000000000000000e+00 -4.9999999993622812e-01 +2.7663697113853137e-05 +0.0000000000000000e+00 +9.9999999961735997e-01
-5.4999999999999993e-01 +8.3649916318242692e+00 +0.0000000000000000e+00 -5.4999999991511905e-01 +3.0430213426615717e-05 +0.0000000000000000e+00 +9.9999999953700114e-01
-5.9999999999999998e-01 +8.3649900411499907e+00 +0.0000000000000000e+00 -5.9999999988980068e-01 +3.3196763508575840e-05 +0.0000000000000000e+00 +9.9999999944898754e-01
-6.5000000000000002e-01 +8.3649883121473270e+00 +0.0000000000000000e+00 -6.4999999985989021e-01 +3.5963349125576615e-05 +0.0000000000000000e+00 +9.9999999935331885e-01
-7.0000000000000007e-01 +8.3649864448144573e+00 +0.0000000000000000e+00 -6.9999999982500494e-01 +3.8729972039536042e-05 +0.0000000000000000e+00 +9.9999999924999472e-01
-7.5000000000000011e-01 +8.3649844391494721e+00 +0.0000000000000000e+00 -7.4999999978476206e-01 +4.1496634008447099e-05 +0.0000000000000000e+00 +9.9999999913901472e-01
-8.0000000000000016e-01 +8.3649822951503765e+00 +0.0000000000000000e+00 -7.9999999973877878e-01 +4.4263336786377818e-05 +0.0000000000000000e+00 +9.9999999902037850e-01
