# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.5200661475282575e-01 +7.2482558957687990e+00 +5.4458898705545620e+00 -1.1857410550479565e+02 -3.2494748622591592e+03 +3.5795586943063047e+05 +1.6916662898096520e+07 
+5.0000000000000003e-02 -5.5200392128696429e-01 +7.2482428192508479e+00 +5.4460194545209317e+00 -1.1866180509752687e+02 -3.3138148294422972e+03 +3.5948257919079816e+05 +1.7381006514220890e+07 
+1.0000000000000001e-01 -5.5200158204505478e-01 +7.2482501781978259e+00 +5.4450953404708633e+00 -1.1874757931877022e+02 -3.3620376350756765e+03 +3.6093316320222302e+05 +1.7745237657329403e+07 
+1.4999999999999999e-01 -5.5199959643687202e-01 +7.2482778789063378e+00 +5.4431449069971753e+00 -1.1883117387114295e+02 -3.3947440706407087e+03 +3.6230861484014150e+05 +1.8012963387314975e+07 
+2.0000000000000001e-01 -5.5199796387223676e-01 +7.2483258276754610e+00 +5.4401955359278285e+00 -1.1891233454599848e+02 -3.4125350181060890e+03 +3.6360992827099975e+05 +1.8187791386245418e+07 
+2.5000000000000000e-01 -5.5199668376101096e-01 +7.2483939308029459e+00 +5.4362746081558990e+00 -1.1899080706192642e+02 -3.4160113310592083e+03 +3.6483809708010731e+05 +1.8273329138833582e+07 
+2.9999999999999999e-01 -5.5199575551304447e-01 +7.2484820945919779e+00 +5.4314095044963429e+00 -1.1906633732843093e+02 -3.4057738590933254e+03 +3.6599411641476769e+05 +1.8273184088811334e+07 
+3.4999999999999998e-01 -5.5199517853813773e-01 +7.2485902253426220e+00 +5.4256276033968112e+00 -1.1913867110244790e+02 -3.3824233898110642e+03 +3.6707898019015114e+05 +1.8190963274280511e+07 
+4.0000000000000002e-01 -5.5199495224626827e-01 +7.2487182293580705e+00 +5.4189562883684896e+00 -1.1920755424902214e+02 -3.3465608472843246e+03 +3.6809368319562200e+05 +1.8030274654720791e+07 
+4.5000000000000001e-01 -5.5199507604724629e-01 +7.2488660129427114e+00 +5.4114229387086930e+00 -1.1927273265932388e+02 -3.2987870425609449e+03 +3.6903922049175884e+05 +1.7794725428860255e+07 
+5.0000000000000000e-01 -5.5199554935103812e-01 +7.2490334824029494e+00 +5.4030549344585124e+00 -1.1933395228915383e+02 -3.2397027998955000e+03 +3.6991658767566417e+05 +1.7487922857055984e+07 
+5.5000000000000004e-01 -5.5199637156755099e-01 +7.2492205440421111e+00 +5.3938796571192533e+00 -1.1939095893576462e+02 -3.1699089918363675e+03 +3.7072677902960015e+05 +1.7113474563716315e+07 
+5.9999999999999998e-01 -5.5199754210676533e-01 +7.2494271041677880e+00 +5.3839244836173670e+00 -1.1944349855893259e+02 -3.0900063585938306e+03 +3.7147079021022108e+05 +1.6674987243417701e+07 
+6.5000000000000002e-01 -5.5199906037858459e-01 +7.2496530690893630e+00 +5.3732167986801933e+00 -1.1949131715182119e+02 -3.0005958592276006e+03 +3.7214961712504341e+05 +1.6176069100409037e+07 
