# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.5269999999999992e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
5.0000000000000003e-02 +8.5269999311271913e+00 +0.0000000000000000e+00 +4.9999999999936762e-02 -2.7549128056858937e-06 +0.0000000000000000e+00 +9.9999999999620526e-01
1.0000000000000001e-01 +8.5269997245086504e+00 +0.0000000000000000e+00 +9.9999999999494049e-02 -5.5098296334319550e-06 +0.0000000000000000e+00 +9.9999999998482092e-01
1.5000000000000002e-01 +8.5269993801441277e+00 +0.0000000000000000e+00 +1.4999999999829236e-01 -8.2647524648611729e-06 +0.0000000000000000e+00 +9.9999999996584699e-01
2.0000000000000001e-01 +8.5269988980332716e+00 +0.0000000000000000e+00 +1.9999999999595225e-01 -1.1019683276755560e-05 +0.0000000000000000e+00 +9.9999999993928335e-01
2.5000000000000000e-01 +8.5269982781756344e+00 +0.0000000000000000e+00 +2.4999999999209421e-01 -1.3774624041056240e-05 +0.0000000000000000e+00 +9.9999999990512989e-01
2.9999999999999999e-01 +8.5269975205706690e+00 +0.0000000000000000e+00 +2.9999999998633875e-01 -1.6529576724863542e-05 +0.0000000000000000e+00 +9.9999999986338661e-01
3.4999999999999998e-01 +8.5269966252177305e+00 +0.0000000000000000e+00 +3.4999999997830639e-01 -1.9284543290437097e-05 +0.0000000000000000e+00 +9.9999999981405330e-01
3.9999999999999997e-01 +8.5269955921160765e+00 +0.0000000000000000e+00 +3.9999999996761759e-01 -2.2039525695195918e-05 +0.0000000000000000e+00 +9.9999999975712972e-01
4.4999999999999996e-01 +8.5269944212648650e+00 +0.0000000000000000e+00 +4.4999999995389284e-01 -2.4794525891718495e-05 +0.0000000000000000e+00 +9.9999999969261577e-01
4.9999999999999994e-01 +8.5269931126631580e+00 +0.0000000000000000e+00 +4.9999999993675265e-01 -2.7549545827742881e-05 +0.0000000000000000e+00 +9.9999999962051134e-01
5.4999999999999993e-01 +8.5269916663099199e+00 +0.0000000000000000e+00 +5.4999999991581749e-01 -3.0304587446166781e-05 +0.0000000000000000e+00 +9.9999999954081609e-01
5.9999999999999998e-01 +8.5269900822040192e+00 +0.0000000000000000e+00 +5.9999999989070774e-01 -3.3059652685047640e-05 +0.0000000000000000e+00 +9.9999999945352980e-01
6.5000000000000002e-01 +8.5269883603442249e+00 +0.0000000000000000e+00 +6.4999999986104395e-01 -3.5814743477602731e-05 +0.0000000000000000e+00 +9.9999999935865214e-01
7.0000000000000007e-01 +8.5269865007292118e+00 +0.0000000000000000e+00 +6.9999999982644645e-01 -3.8569861752209240e-05 +0.0000000000000000e+00 +9.9999999925618299e-01
7.5000000000000011e-01 +8.5269845033575589e+00 +0.0000000000000000e+00 +7.4999999978653575e-01 -4.1325009432404349e-05 +0.0000000000000000e+00 +9.9999999914612192e-01
8.0000000000000016e-01 +8.5269823682277472e+00 +0.0000000000000000e+00 +7.9999999974093217e-01 -4.4080188436885316e-05 +0.0000000000000000e+00 +9.9999999902846859e-01
8.5000000000000020e-01 +8.5269800953381623e+00 +0.0000000000000000e+00 +8.4999999968925610e-01 -4.6835400679509572e-05 +0.0000000000000000e+00 +9.9999999890322266e-01
9.0000000000000024e-01 +8.5269776846870933e+00 +0.0000000000000000e+00 +8.9999999963112787e-01 -4.9590648069294794e-05 +0.0000000000000000e+00 +9.9999999877038381e-01
9.5000000000000029e-01 +8.5269751362727373e+00 +0.0000000000000000e+00 +9.4999999956616787e-01 -5.2345932510418988e-05 +0.0000000000000000e+00 +9.9999999862995170e-01
1.0000000000000002e+00 +8.5269724500931936e+00 +0.0000000000000000e+00 +9.9999999949399643e-01 -5.5101255902220583e-05 +0.0000000000000000e+00 +9.9999999848192578e-01
1.0500000000000003e+00 +8.5269696261464674e+00 +0.0000000000000000e+00 +1.0499999994142339e+00 -5.7856620139198493e-05 +0.0000000000000000e+00 +9.9999999832630571e-01
1.1000000000000003e+00 +8.5269666644304678e+00 +0.0000000000000000e+00 +1.0999999993265006e+00 -6.0612027111012215e-05 +0.0000000000000000e+00 +9.9999999816309104e-01
1.1500000000000004e+00 +8.5269635649430118e+00 +0.0000000000000000e+00 +1.1499999992304166e+00 -6.3367478702481888e-05 +0.0000000000000000e+00 +9.9999999799228123e-01
1.2000000000000004e+00 +8.5269603276818220e+00 +0.0000000000000000e+00 +1.1999999991256023e+00 -6.6122976793588399e-05 +0.0000000000000000e+00 +9.9999999781387583e-01
1.2500000000000004e+00 +8.5269569526445252e+00 +0.0000000000000000e+00 +1.2499999990116777e+00 -6.8878523259473443e-05 +0.0000000000000000e+00 +9.9999999762787439e-01
1.3000000000000005e+00 +8.5269534398286577e+00 +0.0000000000000000e+00 +1.2999999988882631e+00 -7.1634119970439601e-05 +0.0000000000000000e+00 +9.9999999743427626e-01
1.3500000000000005e+00 +8.5269497892316597e+00 +0.0000000000000000e+00 +1.3499999987549787e+00 -7.4389768791950425e-05 +0.0000000000000000e+00 +9.9999999723308097e-01
1.4000000000000006e+00 +8.5269460008508791e+00 +0.0000000000000000e+00 +1.3999999986114446e+00 -7.7145471584630512e-05 +0.0000000000000000e+00 +9.9999999702428788e-01
1.4500000000000006e+00 +8.5269420746835713e+00 +0.0000000000000000e+00 +1.4499999984572809e+00 -7.9901230204265568e-05 +0.0000000000000000e+00 +9.9999999680789653e-01
1.5000000000000007e+00 +8.5269380107268979e+00 +0.0000000000000000e+00 +1.4999999982921075e+00 -8.2657046501802522e-05 +0.0000000000000000e+00 +9.9999999658390615e-01
1.5500000000000007e+00 +8.5269338089779296e+00 +0.0000000000000000e+00 +1.5499999981155448e+00 -8.5412922323349532e-05 +0.0000000000000000e+00 +9.9999999635231618e-01
1.6000000000000008e+00 +8.5269294694336430e+00 +0.0000000000000000e+00 +1.5999999979272126e+00 -8.8168859510176126e-05 +0.0000000000000000e+00 +9.9999999611312596e-01
1.6500000000000008e+00 +8.5269249920909242e+00 +0.0000000000000000e+00 +1.6499999977267308e+00 -9.0924859898713255e-05 +0.0000000000000000e+00 +9.9999999586633481e-01
1.7000000000000008e+00 +8.5269203769465687e+00 +0.0000000000000000e+00 +1.6999999975137194e+00 -9.3680925320553332e-05 +0.0000000000000000e+00 +9.9999999561194197e-01
1.7500000000000009e+00 +8.5269156239972776e+00 +0.0000000000000000e+00 +1.7499999972877984e+00 -9.6437057602450342e-05 +0.0000000000000000e+00 +9.9999999534994677e-01
1.8000000000000009e+00 +8.5269107332396636e+00 +0.0000000000000000e+00 +1.7999999970485874e+00 -9.9193258566319909e-05 +0.0000000000000000e+00 +9.9999999508034854e-01
1.8500000000000010e+00 +8.5269057046702468e+00 +0.0000000000000000e+00 +1.8499999967957064e+00 -1.0194953002923935e-04 +0.0000000000000000e+00 +9.9999999480314650e-01
1.9000000000000010e+00 +8.5269005382854566e+00 +0.0000000000000000e+00 +1.8999999965287753e+00 -1.0470587380344777e-04 +0.0000000000000000e+00 +9.9999999451833987e-01
1.9500000000000011e+00 +8.5268952340816320e+00 +0.0000000000000000e+00 +1.9499999962474137e+00 -1.0746229169634607e-04 +0.0000000000000000e+00 +9.9999999422592778e-01
2.0000000000000009e+00 +8.5268897920550213e+00 +0.0000000000000000e+00 +1.9999999959512413e+00 -1.1021878551049711e-04 +0.0000000000000000e+00 +9.9999999392590955e-01
2.0500000000000007e+00 +8.5268842122017858e+00 +0.0000000000000000e+00 +2.0499999956398778e+00 -1.1297535704342072e-04 +0.0000000000000000e+00 +9.9999999361828429e-01
