# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.5089355664883877e-01 +7.2255495642214660e+00 +5.9781996144445015e+00 -2.1470603299611739e+01 -1.1956178295085645e+04 -2.3455066208645800e+05 +7.7079742910735711e+07 
+5.0000000000000003e-02 -5.5089252407458711e-01 +7.2255491137556715e+00 +5.9742837692296851e+00 -2.1026859586810524e+01 -1.1870520662428757e+04 -2.3760384459000576e+05 +7.6518514785969958e+07 
+1.0000000000000001e-01 -5.5089189127276295e-01 +7.2255711504336499e+00 +5.9699074216475276e+00 -2.0613222713168504e+01 -1.1782395068460519e+04 -2.4042912298809254e+05 +7.5935531180721432e+07 
+1.4999999999999999e-01 -5.5089165735781420e-01 +7.2256155908210653e+00 +5.9650763834725264e+00 -2.0229148772849310e+01 -1.1691998559859820e+04 -2.4302972756375154e+05 +7.5332218024131462e+07 
+2.0000000000000001e-01 -5.5089182144408577e-01 +7.2256823514847515e+00 +5.9597964617767722e+00 -1.9874093862062768e+01 -1.1599528063229087e+04 -2.4540888859424513e+05 +7.4710000458511338e+07 
+2.5000000000000000e-01 -5.5089238264606455e-01 +7.2257713489923034e+00 +5.9540734661373333e+00 -1.9547514092082803e+01 -1.1505180564572613e+04 -2.4756983619682956e+05 +7.4070303994570434e+07 
+2.9999999999999999e-01 -5.5089334007818558e-01 +7.2258824999125313e+00 +5.9479132078582397e+00 -1.9248865594313859e+01 -1.1409153097382063e+04 -2.4951580029362353e+05 +7.3414554464828491e+07 
+3.4999999999999998e-01 -5.5089469285491754e-01 +7.2260157208163109e+00 +5.9413214962030922e+00 -1.8977604565679769e+01 -1.1311642639841177e+04 -2.5125001021271540e+05 +7.2744177325191110e+07 
+4.0000000000000002e-01 -5.5089644009075200e-01 +7.2261709282718467e+00 +5.9343041414200233e+00 -1.8733187052690649e+01 -1.1212846198963418e+04 -2.5277569655241320e+05 +7.2060598234621599e+07 
+4.5000000000000001e-01 -5.5089858090021526e-01 +7.2263480388520884e+00 +5.9268669516638255e+00 -1.8515069279496437e+01 -1.1112960719964231e+04 -2.5409608839815162e+05 +7.1365242411635086e+07 
+5.0000000000000000e-01 -5.5090111439782152e-01 +7.2265469691249242e+00 +5.9190157394129290e+00 -1.8322707233823468e+01 -1.1012183268993154e+04 -2.5521441674658167e+05 +7.0659535906627074e+07 
+5.5000000000000004e-01 -5.5090403969808033e-01 +7.2267676356646122e+00 +5.9107563125957103e+00 -1.8155557120670519e+01 -1.0910710782970635e+04 -2.5613391085717489e+05 +6.9944903868833438e+07 
+5.9999999999999998e-01 -5.5090735591562023e-01 +7.2270099550443101e+00 +5.9020944833140119e+00 -1.8013075099333300e+01 -1.0808740315244208e+04 -2.5685780025916742e+05 +6.9222772250672787e+07 
+6.5000000000000002e-01 -5.5091106216499874e-01 +7.2272738438369428e+00 +5.8930360619438966e+00 -1.7894717270622824e+01 -1.0706468871834515e+04 -2.5738931500348100e+05 +6.8494566677199334e+07 
+6.9999999999999996e-01 -5.5091515756083398e-01 +7.2275592186151130e+00 +5.8835868569743255e+00 -1.7799939695956397e+01 -1.0604093405485268e+04 -2.5773168546385164e+05 +6.7761712403325394e+07 
+7.5000000000000000e-01 -5.5091964121770409e-01 +7.2278659959555229e+00 +5.8737526805380362e+00 -1.7728198576045457e+01 -1.0501810967796655e+04 -2.5788814083099752e+05 +6.7025635354053289e+07 
+8.0000000000000004e-01 -5.5092451225029371e-01 +7.2281940924308214e+00 +5.8635393421135946e+00 -1.7678949922702088e+01 -1.0399818538201685e+04 -2.5786191183860580e+05 +6.6287760959761366e+07 
+8.4999999999999998e-01 -5.5092976977323893e-01 +7.2285434246185849e+00 +5.8529526533423226e+00 -1.7651649909403616e+01 -1.0298313155344975e+04 -2.5765622791673694e+05 +6.5549515055537827e+07 
+9.0000000000000002e-01 -5.5093541290121650e-01 +7.2289139090952848e+00 +5.8419984254949293e+00 -1.7645754639849674e+01 -1.0197491848622718e+04 -2.5727431903315458e+05 +6.4812323414317481e+07 
