# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
-0.0000000000000000e+00 -5.2366717828669651e-01 +6.8807416433371698e+00 +5.0612248669172715e+00 -2.6260845099509321e+01 +5.4009024641824635e+03 -2.7637108473940514e+05 -3.3786745139029920e+07 
-5.0000000000000003e-02 -5.2366577782021539e-01 +6.8807443477024322e+00 +5.0575365417367255e+00 -2.6437520376742146e+01 +5.4403411559386632e+03 -2.7509360679886257e+05 -3.3953526335964695e+07 
-1.0000000000000001e-01 -5.2366475931961520e-01 +6.8807676935433149e+00 +5.0535770944825700e+00 -2.6616539268682754e+01 +5.4771584648205562e+03 -2.7373238402139855e+05 -3.4110067198042214e+07 
-1.4999999999999999e-01 -5.2366412204497803e-01 +6.8808115992835921e+00 +5.0493428509484151e+00 -2.6797073441092802e+01 +5.5114797156034083e+03 -2.7229440468593023e+05 -3.4257049389511965e+07 
-2.0000000000000001e-01 -5.2366386525629449e-01 +6.8808759833487070e+00 +5.0448301328860348e+00 -2.6978294572006700e+01 +5.5434303472740694e+03 -2.7078665703425341e+05 -3.4395155370590247e+07 
-2.5000000000000000e-01 -5.2366398821368265e-01 +6.8809607641623138e+00 +5.0400352642366890e+00 -2.7159374268450161e+01 +5.5731357335473840e+03 -2.6921612976349844e+05 -3.4525067139017016e+07 
-2.9999999999999999e-01 -5.2366449017721017e-01 +6.8810658601491239e+00 +5.0349545695017826e+00 -2.7339484138539127e+01 +5.6007212393412856e+03 -2.6758981159522029e+05 -3.4647466658702455e+07 
-3.4999999999999998e-01 -5.2366537040696404e-01 +6.8811911897349853e+00 +5.0295843693505917e+00 -2.7517795808522955e+01 +5.6263123291900438e+03 -2.6591469108231144e+05 -3.4763036555221140e+07 
-4.0000000000000002e-01 -5.2366662816307830e-01 +6.8813366713460677e+00 +5.0239209899992678e+00 -2.7693480895463018e+01 +5.6500343149816526e+03 -2.6419775681191194e+05 -3.4872458413182758e+07 
-4.5000000000000001e-01 -5.2366826270570987e-01 +6.8815022234089191e+00 +5.0179607540097200e+00 -2.7865711006292738e+01 +5.6720126087296585e+03 -2.6244599744307296e+05 -3.4976414501185611e+07 
-5.0000000000000000e-01 -5.2367027329498805e-01 +6.8816877643519385e+00 +5.0116999844115737e+00 -2.8033657792332871e+01 +5.6923726124426139e+03 -2.6066640124710338e+05 -3.5075587032153815e+07 
-5.5000000000000004e-01 -5.2367265919105799e-01 +6.8818932126012085e+00 +5.0051350048711480e+00 -2.8196492788678668e+01 +5.7112397042774492e+03 -2.5886595742073539e+05 -3.5170658035521097e+07 
-5.9999999999999998e-01 -5.2367541965416087e-01 +6.8821184865852638e+00 +4.9982621389279807e+00 -2.8353387602151621e+01 +5.7287392710239947e+03 -2.5705165457665894e+05 -3.5262309618653201e+07 
-6.5000000000000002e-01 -5.2367855394447416e-01 +6.8823635047344256e+00 +4.9910777097931041e+00 -2.8503513887947985e+01 +5.7449967021367047e+03 -2.5523048088523975e+05 -3.5351223886851221e+07 
-6.9999999999999996e-01 -5.2368206132224648e-01 +6.8826281854777447e+00 +4.9835780407580801e+00 -2.8646043222496480e+01 +5.7601373897416697e+03 -2.5340942517075187e+05 -3.5438082981480621e+07 
-7.5000000000000000e-01 -5.2368594104765886e-01 +6.8829124472438190e+00 +4.9757594541631436e+00 -2.8780147141691245e+01 +5.7742867465385134e+03 -2.5159547653432284e+05 -3.5523569167619087e+07 
-8.0000000000000004e-01 -5.2369019238102643e-01 +6.8832162084642441e+00 +4.9676182747925051e+00 -2.8904997272428620e+01 +5.7875701208087485e+03 -2.4979562337116693e+05 -3.5608364278398573e+07 
-8.4999999999999998e-01 -5.2369481458259182e-01 +6.8835393875708242e+00 +4.9591508252533485e+00 -2.9019765232351006e+01 +5.8001129203831979e+03 -2.4801685408342638e+05 -3.5693150557848774e+07 
-9.0000000000000002e-01 -5.2369980691263962e-01 +6.8838819029945002e+00 +4.9503534283262782e+00 -2.9123622575481626e+01 +5.8120405429039010e+03 -2.4626615760191329e+05 -3.5778610158462517e+07 
-9.4999999999999996e-01 -5.2370516863149352e-01 +6.8842436731682000e+00 +4.9412224062700574e+00 -2.9215740911389222e+01 +5.8234784027224296e+03 -2.4455052239822061e+05 -3.5865425358338267e+07 
-1.0000000000000000e+00 -5.2371089899942536e-01 +6.8846246165243983e+00 +4.9317540825404835e+00 -2.9295291810145319e+01 +5.8345518801377266e+03 -2.4287693722370232e+05 -3.5954278198048808e+07 
-1.0500000000000000e+00 -5.2371699727680587e-01 +6.8850246514983660e+00 +4.9219447817718027e+00 -2.9361446933739909e+01 +5.8453863250873719e+03 -2.4125239007704394e+05 -3.6045850522297934e+07 
-1.1000000000000001e+00 -5.2372346272399184e-01 +6.8854436965210652e+00 +4.9117908235186478e+00 -2.9413377737114907e+01 +5.8561072203777712e+03 -2.3968387066193341e+05 -3.6140825054888815e+07 
-1.1499999999999999e+00 -5.2373029460133169e-01 +6.8858816700304581e+00 +4.9012885318282500e+00 -2.9450255944795732e+01 +5.8668399294624278e+03 -2.3817836642644127e+05 -3.6239883723628908e+07 
-1.2000000000000000e+00 -5.2373749216920706e-01 +6.8863384904615321e+00 +4.8904342294369023e+00 -2.9471253129841955e+01 +5.8777098470504443e+03 -2.3674286608016121e+05 -3.6343708651057765e+07 
