# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.5269999999999992e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-5.0000000000000003e-02 +8.5269999310019866e+00 +0.0000000000000000e+00 -4.9999999999936526e-02 +2.7599263071229573e-06 +0.0000000000000000e+00 +9.9999999999619138e-01
-1.0000000000000001e-01 +8.5269997240067692e+00 +0.0000000000000000e+00 -9.9999999999492190e-02 +5.5198885175146657e-06 +0.0000000000000000e+00 +9.9999999998476541e-01
-1.5000000000000002e-01 +8.5269993790125049e+00 +0.0000000000000000e+00 -1.4999999999828612e-01 +8.2798884732294343e-06 +0.0000000000000000e+00 +9.9999999996572175e-01
-2.0000000000000001e-01 +8.5269988960172611e+00 +0.0000000000000000e+00 -1.9999999999593740e-01 +1.1039928009829867e-05 +0.0000000000000000e+00 +9.9999999993905997e-01
-2.5000000000000000e-01 +8.5269982750190128e+00 +0.0000000000000000e+00 -2.4999999999206513e-01 +1.3800008956386946e-05 +0.0000000000000000e+00 +9.9999999990477983e-01
-2.9999999999999999e-01 +8.5269975160156442e+00 +0.0000000000000000e+00 -2.9999999998628840e-01 +1.6560133135480109e-05 +0.0000000000000000e+00 +9.9999999986288091e-01
-3.4999999999999998e-01 +8.5269966190049473e+00 +0.0000000000000000e+00 -3.4999999997822623e-01 +1.9320302363197337e-05 +0.0000000000000000e+00 +9.9999999981336285e-01
-3.9999999999999997e-01 +8.5269955839846254e+00 +0.0000000000000000e+00 -3.9999999996749769e-01 +2.2080518449135231e-05 +0.0000000000000000e+00 +9.9999999975622522e-01
-4.4999999999999996e-01 +8.5269944109522910e+00 +0.0000000000000000e+00 -4.4999999995372175e-01 +2.4840783196399091e-05 +0.0000000000000000e+00 +9.9999999969146758e-01
-4.9999999999999994e-01 +8.5269930999054644e+00 +0.0000000000000000e+00 -4.9999999993651745e-01 +2.7601098401602996e-05 +0.0000000000000000e+00 +9.9999999961908947e-01
-5.4999999999999993e-01 +8.5269916508415786e+00 +0.0000000000000000e+00 -5.4999999991550375e-01 +3.0361465854869887e-05 +0.0000000000000000e+00 +9.9999999953909047e-01
-5.9999999999999998e-01 +8.5269900637579781e+00 +0.0000000000000000e+00 -5.9999999989029951e-01 +3.3121887339831641e-05 +0.0000000000000000e+00 +9.9999999945147011e-01
-6.5000000000000002e-01 +8.5269883386519147e+00 +0.0000000000000000e+00 -6.4999999986052370e-01 +3.5882364633629138e-05 +0.0000000000000000e+00 +9.9999999935622774e-01
-7.0000000000000007e-01 +8.5269864755205553e+00 +0.0000000000000000e+00 -6.9999999982579519e-01 +3.8642899506912349e-05 +0.0000000000000000e+00 +9.9999999925336291e-01
-7.5000000000000011e-01 +8.5269844743609760e+00 +0.0000000000000000e+00 -7.4999999978573295e-01 +4.1403493723840413e-05 +0.0000000000000000e+00 +9.9999999914287507e-01
-8.0000000000000016e-01 +8.5269823351701657e+00 +0.0000000000000000e+00 -7.9999999973995572e-01 +4.4164149042081702e-05 +0.0000000000000000e+00 +9.9999999902476366e-01
-8.5000000000000020e-01 +8.5269800579450248e+00 +0.0000000000000000e+00 -8.4999999968808226e-01 +4.6924867212813896e-05 +0.0000000000000000e+00 +9.9999999889902813e-01
-9.0000000000000024e-01 +8.5269776426823682e+00 +0.0000000000000000e+00 -8.9999999962973143e-01 +4.9685649980724072e-05 +0.0000000000000000e+00 +9.9999999876566781e-01
-9.5000000000000029e-01 +8.5269750893789222e+00 +0.0000000000000000e+00 -9.4999999956452197e-01 +5.2446499084008752e-05 +0.0000000000000000e+00 +9.9999999862468203e-01
-1.0000000000000002e+00 +8.5269723980313259e+00 +0.0000000000000000e+00 -9.9999999949207252e-01 +5.5207416254373982e-05 +0.0000000000000000e+00 +9.9999999847607024e-01
-1.0500000000000003e+00 +8.5269695686361331e+00 +0.0000000000000000e+00 -1.0499999994120019e+00 +5.7968403217035422e-05 +0.0000000000000000e+00 +9.9999999831983177e-01
-1.1000000000000003e+00 +8.5269666011898124e+00 +0.0000000000000000e+00 -1.0999999993239287e+00 +6.0729461690718386e-05 +0.0000000000000000e+00 +9.9999999815596585e-01
-1.1500000000000004e+00 +8.5269634956887437e+00 +0.0000000000000000e+00 -1.1499999992274714e+00 +6.3490593387657929e-05 +0.0000000000000000e+00 +9.9999999798447192e-01
-1.2000000000000004e+00 +8.5269602521292249e+00 +0.0000000000000000e+00 -1.1999999991222488e+00 +6.6251800013598919e-05 +0.0000000000000000e+00 +9.9999999780534909e-01
-1.2500000000000004e+00 +8.5269568705074654e+00 +0.0000000000000000e+00 -1.2499999990078792e+00 +6.9013083267796099e-05 +0.0000000000000000e+00 +9.9999999761859681e-01
-1.3000000000000005e+00 +8.5269533508195927e+00 +0.0000000000000000e+00 -1.2999999988839812e+00 +7.1774444843014144e-05 +0.0000000000000000e+00 +9.9999999742421419e-01
-1.3500000000000005e+00 +8.5269496930616473e+00 +0.0000000000000000e+00 -1.3499999987501734e+00 +7.4535886425527737e-05 +0.0000000000000000e+00 +9.9999999722220045e-01
-1.4000000000000006e+00 +8.5269458972295880e+00 +0.0000000000000000e+00 -1.3999999986060740e+00 +7.7297409695121648e-05 +0.0000000000000000e+00 +9.9999999701255482e-01
-1.4500000000000006e+00 +8.5269419633192882e+00 +0.0000000000000000e+00 -1.4499999984513017e+00 +8.0059016325090761e-05 +0.0000000000000000e+00 +9.9999999679527651e-01
-1.5000000000000007e+00 +8.5269378913265381e+00 +0.0000000000000000e+00 -1.4999999982854746e+00 +8.2820707982240186e-05 +0.0000000000000000e+00 +9.9999999657036476e-01
-1.5500000000000007e+00 +8.5269336812470442e+00 +0.0000000000000000e+00 -1.5499999981082109e+00 +8.5582486326885279e-05 +0.0000000000000000e+00 +9.9999999633781866e-01
