# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.7661024736437594e-01 +7.5404742458548446e+00 +6.0123722205087704e+00 -1.2623785463541347e+02 -6.7744940490662366e+03 +4.2187493324657076e+05 +7.3397725984639227e+07 
+5.0000000000000003e-02 -5.7660698099881558e-01 +7.5403187282823527e+00 +6.0211182166086710e+00 -1.2637382075267351e+02 -6.8974121121671851e+03 +4.2404471921189764e+05 +7.4131669783718407e+07 
+1.0000000000000001e-01 -5.7660412969192720e-01 +7.5401855988293001e+00 +6.0295158572749381e+00 -1.2650691578091025e+02 -7.0226888959243970e+03 +4.2623652232063957e+05 +7.4873890998571664e+07 
+1.5000000000000002e-01 -5.7660169273758910e-01 +7.5400748083474047e+00 +6.0375562372167906e+00 -1.2663632590674416e+02 -7.1501298306958843e+03 +4.2844243497636111e+05 +7.5623388250645995e+07 
+2.0000000000000001e-01 -5.7659966942969210e-01 +7.5399863076890377e+00 +6.0452304506588899e+00 -1.2676123732174423e+02 -7.2795403431580617e+03 +4.3065454966660315e+05 +7.6379160176537231e+07 
+2.5000000000000000e-01 -5.7659805906213979e-01 +7.5399200477065715e+00 +6.0525295899708320e+00 -1.2688083617113072e+02 -7.4107257995068485e+03 +4.3286495844978531e+05 +7.7140204958125323e+07 
+2.9999999999999999e-01 -5.7659686092886953e-01 +7.5398759792544370e+00 +6.0594447502764570e+00 -1.2699430868665154e+02 -7.5434916447670721e+03 +4.3506575423681992e+05 +7.7905521329283774e+07 
+3.4999999999999998e-01 -5.7659607432382332e-01 +7.5398540531853540e+00 +6.0659670243939132e+00 -1.2710084097103434e+02 -7.6776432639880650e+03 +4.3724902876707830e+05 +7.8674107626589611e+07 
+3.9999999999999997e-01 -5.7659569854097259e-01 +7.5398542203514918e+00 +6.0720875069916023e+00 -1.2719961909043728e+02 -7.8129860908930568e+03 +4.3940687356676266e+05 +7.9444962508021981e+07 
+4.4999999999999996e-01 -5.7659573287429389e-01 +7.5398764316115141e+00 +6.0777972896476680e+00 -1.2728982935137302e+02 -7.9493254726152391e+03 +4.4153138215189526e+05 +8.0217084036941648e+07 
