# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.5053909524870925e-01 +7.2235190484619825e+00 +5.2842239227294110e+00 -5.5587164796674735e+01 +6.5420583899123983e+02 -4.9134238060611809e+04 -3.9640394776035803e+06 
-5.0000000000000003e-02 -5.5054600945318510e-01 +7.2238426499058450e+00 +5.2773130213908530e+00 -5.5199673853808683e+01 +6.2763350852687518e+02 -5.0829527301390117e+04 -3.7590721238473780e+06 
-1.0000000000000001e-01 -5.5055329458753277e-01 +7.2241865026888394e+00 +5.2698358446769831e+00 -5.4820142929430439e+01 +6.0517166204935688e+02 -5.2450990447862234e+04 -3.5819841092023244e+06 
-1.5000000000000002e-01 -5.5056094928861121e-01 +7.2245504983936906e+00 +5.2617992609381474e+00 -5.4447981477383870e+01 +5.8670098402164842e+02 -5.4003467879365417e+04 -3.4319929304088522e+06 
-2.0000000000000001e-01 -5.5056897219329759e-01 +7.2249345286070090e+00 +5.2532101390756374e+00 -5.4082599085838858e+01 +5.7210214140461096e+02 -5.5491798867068566e+04 -3.3083159577160017e+06 
-2.5000000000000000e-01 -5.5057736193848239e-01 +7.2253384849169242e+00 +5.2440753470103081e+00 -5.3723405381294334e+01 +5.6125583231056441e+02 -5.6920822345667708e+04 -3.2101707922510765e+06 
-2.9999999999999999e-01 -5.5058611716107675e-01 +7.2257622589082251e+00 +5.2344017536142955e+00 -5.3369809831654571e+01 +5.5404272452107375e+02 -5.8295378544817875e+04 -3.1367748109830762e+06 
-3.4999999999999998e-01 -5.5059523649800413e-01 +7.2262057421733914e+00 +5.2241962267911966e+00 -5.3021222196678195e+01 +5.5034351550588394e+02 -5.9620305276557257e+04 -3.0873456075427700e+06 
-3.9999999999999997e-01 -5.5060471858621063e-01 +7.2266688262999548e+00 +5.2134656355256155e+00 -5.2677052008858240e+01 +5.5003887313931898e+02 -6.0900442217473967e+04 -3.0611005732777277e+06 
-4.4999999999999996e-01 -5.5061456206265291e-01 +7.2271514028761503e+00 +5.2022168479475166e+00 -5.2336708801715048e+01 +5.5300948662425787e+02 -6.2140629042924862e+04 -3.0572572383736474e+06 
-4.9999999999999994e-01 -5.5062476556430651e-01 +7.2276533634944951e+00 +5.1904567321390020e+00 -5.1999602267258147e+01 +5.5913605102397810e+02 -6.3345704089426006e+04 -3.0750331899333387e+06 
-5.4999999999999993e-01 -5.5063532772816082e-01 +7.2281745997464499e+00 +5.1781921563665909e+00 -5.1665142030829315e+01 +5.6829925269967964e+02 -6.4520506239092123e+04 -3.1136459440335394e+06 
-5.9999999999999998e-01 -5.5064624719122213e-01 +7.2287150032223924e+00 +5.1654299886513071e+00 -5.1332737645065592e+01 +5.8037978584303391e+02 -6.5669874979173270e+04 -3.1723130730991061e+06 
-6.5000000000000002e-01 -5.5065752259051648e-01 +7.2292744655153927e+00 +5.1521770980174528e+00 -5.1001798751472514e+01 +5.9525831626292506e+02 -6.6798649060346783e+04 -3.2502519536657934e+06 
-7.0000000000000007e-01 -5.5066915256309101e-01 +7.2298528782201412e+00 +5.1384403538262102e+00 -5.0671735045961171e+01 +6.1281550470109335e+02 -6.7911666728947297e+04 -3.3466799423523312e+06 
-7.5000000000000011e-01 -5.5068113574598287e-01 +7.2304501329266921e+00 +5.1242266217288828e+00 -5.0341955990324713e+01 +6.3293210761426133e+02 -6.9013768243536746e+04 -3.4608150293633090e+06 
-8.0000000000000016e-01 -5.5069347077627873e-01 +7.2310661212331544e+00 +5.1095427727732465e+00 -5.0011871377399601e+01 +6.5548873759638298e+02 -7.0109791037809919e+04 -3.5918742357538859e+06 
-8.5000000000000020e-01 -5.5070615629105291e-01 +7.2317007347325628e+00 +5.0943956732257769e+00 -4.9680890751711424e+01 +6.8036613694948107e+02 -7.1204574652736264e+04 -3.7390754621374551e+06 
-9.0000000000000024e-01 -5.5071919092740762e-01 +7.2323538650205492e+00 +5.0787921918444363e+00 -4.9348423756627319e+01 +7.0744497910526172e+02 -7.2302957757064069e+04 -3.9016361404972291e+06 
-9.5000000000000029e-01 -5.5073257332245618e-01 +7.2330254036947252e+00 +5.0627391962334016e+00 -4.9013880080082060e+01 +7.3660597039406332e+02 -7.3409778706304496e+04 -4.0787739274612260e+06 
-1.0000000000000002e+00 -5.5074630211333475e-01 +7.2337152423490556e+00 +5.0462435557546286e+00 -4.8676669254315676e+01 +7.6772976863782401e+02 -7.4529877072743475e+04 -4.2697061507686814e+06 
-1.0500000000000003e+00 -5.5076037593718430e-01 +7.2344232725838271e+00 +5.0293121377873966e+00 -4.8336201033898647e+01 +8.0069708549492316e+02 -7.5668090653048072e+04 -4.4736505014835792e+06 
-1.1000000000000003e+00 -5.5077479343116087e-01 +7.2351493859938740e+00 +5.0119518100216167e+00 -4.7991884941974362e+01 +8.3538862231889266e+02 -7.6829259091839296e+04 -4.6898245935857939e+06 
-1.1500000000000004e+00 -5.5078955323244094e-01 +7.2358934741768666e+00 +4.9941694407229020e+00 -4.7643130588621609e+01 +8.7168506839424958e+02 -7.8018221349286832e+04 -4.9174459720554408e+06 
-1.2000000000000004e+00 -5.5080465397821043e-01 +7.2366554287365439e+00 +4.9759718982206858e+00 -4.7289347813173784e+01 +9.0946710233559281e+02 -7.9239814492069607e+04 -5.1557320753216790e+06 
-1.2500000000000004e+00 -5.5082009430567158e-01 +7.2374351412671931e+00 +4.9573660497293170e+00 -4.6929946044911418e+01 +9.4861544767413534e+02 -8.0498878965470300e+04 -5.4039007011946989e+06 
-1.3000000000000005e+00 -5.5083587285203328e-01 +7.2382325033686481e+00 +4.9383587624640137e+00 -4.6564334925154810e+01 +9.8901081386144688e+02 -8.1800253444013288e+04 -5.6611694979639789e+06 
-1.3500000000000005e+00 -5.5085198825453430e-01 +7.2390474066434018e+00 +4.9189569058715161e+00 -4.6191924180104927e+01 +1.0305338538964568e+03 -8.3148775920235363e+04 -5.9267557451188536e+06 
-1.4000000000000006e+00 -5.5086843915040573e-01 +7.2398797426911630e+00 +4.8991673454452807e+00 -4.5812123397637450e+01 +1.0730653324977461e+03 -8.4549285544455895e+04 -6.1998774977508998e+06 
-1.4500000000000006e+00 -5.5088522417690644e-01 +7.2407294031092544e+00 +4.8789969496619365e+00 -4.5424342051425405e+01 +1.1164859241372383e+03 -8.6006622376706451e+04 -6.4797521604200574e+06 
-1.5000000000000007e+00 -5.5090234197131460e-01 +7.2415962795042690e+00 +4.8584525874358473e+00 -4.5027989977745186e+01 +1.1606762997681278e+03 -8.7525623497286520e+04 -6.7655971463131541e+06 
-1.5500000000000007e+00 -5.5091979117090217e-01 +7.2424802634749588e+00 +4.8375411245346402e+00 -4.4622476667487177e+01 +1.2055172099562583e+03 -8.9111128844318533e+04 -7.0566303843424395e+06 
-1.6000000000000008e+00 -5.5093757041296754e-01 +7.2433812466243497e+00 +4.8162694291102834e+00 -4.4207211772071318e+01 +1.2508893411551510e+03 -9.0767977008828559e+04 -7.3520693708192417e+06 
-1.6500000000000008e+00 -5.5095567833480796e-01 +7.2442991205534586e+00 +4.7946443663338965e+00 -4.3781604820914723e+01 +1.2966734614063896e+03 -9.2501007673582397e+04 -7.6511321543414965e+06 
