# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.5980000000000008e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.9782792281765225e-02 -5.5283504763470359e-01 +5.1321298130931605e-03
-5.0000000000000003e-02 +8.5979999309635033e+00 +0.0000000000000000e+00 -4.9999999999936449e-02 -2.9782158542081105e-02 -5.5283634980524254e-01 +5.1321318430551099e-03
-1.0000000000000001e-01 +8.5979997238537766e+00 +0.0000000000000000e+00 -9.9999999999491621e-02 -2.9781543869822121e-02 -5.5283802999376008e-01 +5.1321410261152504e-03
-1.5000000000000002e-01 +8.5979993786704014e+00 +0.0000000000000000e+00 -1.4999999999828423e-01 -2.9780948225237209e-02 -5.5284008746133928e-01 +5.1321572839102547e-03
-2.0000000000000001e-01 +8.5979988954128643e+00 +0.0000000000000000e+00 -1.9999999999593296e-01 -2.9780371568576540e-02 -5.5284252146907964e-01 +5.1321805380770327e-03
-2.5000000000000000e-01 +8.5979982740805578e+00 +0.0000000000000000e+00 -2.4999999999205655e-01 -2.9779813860091486e-02 -5.5284533127809965e-01 +5.1322107102527341e-03
-2.9999999999999999e-01 +8.5979975146727785e+00 +0.0000000000000000e+00 -2.9999999998627369e-01 -2.9779275060034641e-02 -5.5284851614953490e-01 +5.1322477220747537e-03
-3.4999999999999998e-01 +8.5979966171887323e+00 +0.0000000000000000e+00 -3.4999999997820302e-01 -2.9778755128659781e-02 -5.5285207534453884e-01 +5.1322914951807148e-03
-3.9999999999999997e-01 +8.5979955816275311e+00 +0.0000000000000000e+00 -3.9999999996746327e-01 -2.9778254026221904e-02 -5.5285600812428259e-01 +5.1323419512084812e-03
-4.4999999999999996e-01 +8.5979944079881907e+00 +0.0000000000000000e+00 -4.4999999995367312e-01 -2.9777771712977179e-02 -5.5286031374995448e-01 +5.1323990117961406e-03
-4.9999999999999994e-01 +8.5979930962696383e+00 +0.0000000000000000e+00 -4.9999999993645117e-01 -2.9777308149183026e-02 -5.5286499148276025e-01 +5.1324625985820251e-03
-5.4999999999999993e-01 +8.5979916464707031e+00 +0.0000000000000000e+00 -5.4999999991541615e-01 -2.9776863295098061e-02 -5.5287004058392375e-01 +5.1325326332046948e-03
-5.9999999999999998e-01 +8.5979900585901259e+00 +0.0000000000000000e+00 -5.9999999989018660e-01 -2.9776437110982074e-02 -5.5287546031468560e-01 +5.1326090373029305e-03
-6.5000000000000002e-01 +8.5979883326265512e+00 +0.0000000000000000e+00 -6.4999999986038115e-01 -2.9776029557096077e-02 -5.5288124993630361e-01 +5.1326917325157529e-03
-7.0000000000000007e-01 +8.5979864685785348e+00 +0.0000000000000000e+00 -6.9999999982561856e-01 -2.9775640593702267e-02 -5.5288740871005315e-01 +5.1327806404823980e-03
-7.5000000000000011e-01 +8.5979844664445384e+00 +0.0000000000000000e+00 -7.4999999978551724e-01 -2.9775270181064083e-02 -5.5289393589722691e-01 +5.1328756828423350e-03
-8.0000000000000016e-01 +8.5979823262229313e+00 +0.0000000000000000e+00 -7.9999999973969582e-01 -2.9774918279446127e-02 -5.5290083075913476e-01 +5.1329767812352527e-03
-8.5000000000000020e-01 +8.5979800479119906e+00 +0.0000000000000000e+00 -8.4999999968777296e-01 -2.9774584849114209e-02 -5.5290809255710283e-01 +5.1330838573010627e-03
-9.0000000000000024e-01 +8.5979776315099041e+00 +0.0000000000000000e+00 -8.9999999962936705e-01 -2.9774269850335350e-02 -5.5291572055247540e-01 +5.1331968326798977e-03
-9.5000000000000029e-01 +8.5979750770147660e+00 +0.0000000000000000e+00 -9.4999999956409675e-01 -2.9773973243377747e-02 -5.5292371400661311e-01 +5.1333156290121118e-03
-1.0000000000000002e+00 +8.5979723844245797e+00 +0.0000000000000000e+00 -9.9999999949158047e-01 -2.9773694988510863e-02 -5.5293207218089380e-01 +5.1334401679382713e-03
-1.0500000000000003e+00 +8.5979695537372596e+00 +0.0000000000000000e+00 -1.0499999994114366e+00 -2.9773435046005260e-02 -5.5294079433671162e-01 +5.1335703710991666e-03
-1.1000000000000003e+00 +8.5979665849506262e+00 +0.0000000000000000e+00 -1.0999999993232839e+00 -2.9773193376132771e-02 -5.5294987973547849e-01 +5.1337061601357927e-03
-1.1500000000000004e+00 +8.5979634780624092e+00 +0.0000000000000000e+00 -1.1499999992267405e+00 -2.9772969939166397e-02 -5.5295932763862232e-01 +5.1338474566893699e-03
-1.2000000000000004e+00 +8.5979602330702498e+00 +0.0000000000000000e+00 -1.1999999991214247e+00 -2.9772764695380361e-02 -5.5296913730758757e-01 +5.1339941824013208e-03
-1.2500000000000004e+00 +8.5979568499716983e+00 +0.0000000000000000e+00 -1.2499999990069552e+00 -2.9772577605050060e-02 -5.5297930800383666e-01 +5.1341462589132867e-03
-1.3000000000000005e+00 +8.5979533287642145e+00 +0.0000000000000000e+00 -1.2999999988829503e+00 -2.9772408628452089e-02 -5.5298983898884713e-01 +5.1343036078671097e-03
