# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.5980000000000008e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.9943954164584525e-02 -5.5045196656210005e-01 +5.5840038981979680e-03
5.0000000000000003e-02 +8.5979999309576929e+00 +0.0000000000000000e+00 +4.9999999999936436e-02 -2.9943994616980898e-02 -5.5045226706893269e-01 +5.5860630106582274e-03
1.0000000000000001e-01 +8.5979997238307018e+00 +0.0000000000000000e+00 +9.9999999999491523e-02 -2.9944053655925038e-02 -5.5045294387076893e-01 +5.5881272803418027e-03
1.5000000000000002e-01 +8.5979993786188569e+00 +0.0000000000000000e+00 +1.4999999999828392e-01 -2.9944131049623689e-02 -5.5045399615694435e-01 +5.5901965712909993e-03
2.0000000000000001e-01 +8.5979988953218953e+00 +0.0000000000000000e+00 +1.9999999999593226e-01 -2.9944226566283927e-02 -5.5045542311681217e-01 +5.5922707475483798e-03
2.5000000000000000e-01 +8.5979982739394583e+00 +0.0000000000000000e+00 +2.4999999999205522e-01 -2.9944339974113124e-02 -5.5045722393974317e-01 +5.5943496731567597e-03
2.9999999999999999e-01 +8.5979975144710945e+00 +0.0000000000000000e+00 +2.9999999998627142e-01 -2.9944471041319025e-02 -5.5045939781512554e-01 +5.5964332121591839e-03
3.4999999999999998e-01 +8.5979966169162605e+00 +0.0000000000000000e+00 +3.4999999997819947e-01 -2.9944619536109683e-02 -5.5046194393236481e-01 +5.5985212285989093e-03
3.9999999999999997e-01 +8.5979955812743150e+00 +0.0000000000000000e+00 +3.9999999996745805e-01 -2.9944785226693506e-02 -5.5046486148088425e-01 +5.6006135865193842e-03
4.4999999999999996e-01 +8.5979944075445278e+00 +0.0000000000000000e+00 +4.4999999995366574e-01 -2.9944967881279209e-02 -5.5046814965012425e-01 +5.6027101499642419e-03
4.9999999999999994e-01 +8.5979930957260731e+00 +0.0000000000000000e+00 +4.9999999993644118e-01 -2.9945167268075924e-02 -5.5047180762954195e-01 +5.6048107829772707e-03
5.4999999999999993e-01 +8.5979916458180323e+00 +0.0000000000000000e+00 +5.4999999991540294e-01 -2.9945383155293086e-02 -5.5047583460861282e-01 +5.6069153496024092e-03
5.9999999999999998e-01 +8.5979900578193966e+00 +0.0000000000000000e+00 +5.9999999989016961e-01 -2.9945615311140504e-02 -5.5048022977682765e-01 +5.6090237138837233e-03
6.5000000000000002e-01 +8.5979883317290646e+00 +0.0000000000000000e+00 +6.4999999986035983e-01 -2.9945863503828368e-02 -5.5048499232369597e-01 +5.6111357398653874e-03
7.0000000000000007e-01 +8.5979864675458391e+00 +0.0000000000000000e+00 +6.9999999982559213e-01 -2.9946127501567207e-02 -5.5049012143874210e-01 +5.6132512915916663e-03
7.5000000000000011e-01 +8.5979844652684356e+00 +0.0000000000000000e+00 +7.4999999978548504e-01 -2.9946407072567943e-02 -5.5049561631150945e-01 +5.6153702331069102e-03
8.0000000000000016e-01 +8.5979823248954741e+00 +0.0000000000000000e+00 +7.9999999973965719e-01 -2.9946701985041863e-02 -5.5050147613155609e-01 +5.6174924284555210e-03
8.5000000000000020e-01 +8.5979800464254854e+00 +0.0000000000000000e+00 +8.4999999968772699e-01 -2.9947012007200648e-02 -5.5050770008845795e-01 +5.6196177416819454e-03
9.0000000000000024e-01 +8.5979776298569082e+00 +0.0000000000000000e+00 +8.9999999962931310e-01 -2.9947336907256369e-02 -5.5051428737180752e-01 +5.6217460368306613e-03
9.5000000000000029e-01 +8.5979750751880903e+00 +0.0000000000000000e+00 +9.4999999956403380e-01 -2.9947676453421487e-02 -5.5052123717121271e-01 +5.6238771779461520e-03
1.0000000000000002e+00 +8.5979723824172893e+00 +0.0000000000000000e+00 +9.9999999949150775e-01 -2.9948030413908845e-02 -5.5052854867629886e-01 +5.6260110290728867e-03
1.0500000000000003e+00 +8.5979695515426684e+00 +0.0000000000000000e+00 +1.0499999994113534e+00 -2.9948398556931707e-02 -5.5053622107670686e-01 +5.6281474542553183e-03
1.1000000000000003e+00 +8.5979665825623055e+00 +0.0000000000000000e+00 +1.0999999993231890e+00 -2.9948780650703721e-02 -5.5054425356209413e-01 +5.6302863175378528e-03
1.1500000000000004e+00 +8.5979634754741845e+00 +0.0000000000000000e+00 +1.1499999992266332e+00 -2.9949176463438979e-02 -5.5055264532213433e-01 +5.6324274829648415e-03
1.2000000000000004e+00 +8.5979602302762004e+00 +0.0000000000000000e+00 +1.1999999991213042e+00 -2.9949585763351952e-02 -5.5056139554651706e-01 +5.6345708145805543e-03
1.2500000000000004e+00 +8.5979568469661576e+00 +0.0000000000000000e+00 +1.2499999990068205e+00 -2.9950008318657552e-02 -5.5057050342494762e-01 +5.6367161764291681e-03
1.3000000000000005e+00 +8.5979533255417717e+00 +0.0000000000000000e+00 +1.2999999988828002e+00 -2.9950443897571118e-02 -5.5057996814714694e-01 +5.6388634325547577e-03
1.3500000000000005e+00 +8.5979496660006696e+00 +0.0000000000000000e+00 +1.3499999987488618e+00 -2.9950892268308410e-02 -5.5058978890285326e-01 +5.6410124470012623e-03
1.4000000000000006e+00 +8.5979458683403873e+00 +0.0000000000000000e+00 +1.3999999986046237e+00 -2.9951353199085637e-02 -5.5059996488181850e-01 +5.6431630838124818e-03
1.4500000000000006e+00 +8.5979419325583706e+00 +0.0000000000000000e+00 +1.4499999984497038e+00 -2.9951826458119408e-02 -5.5061049527381145e-01 +5.6453152070320527e-03
1.5000000000000007e+00 +8.5979378586519797e+00 +0.0000000000000000e+00 +1.4999999982837209e+00 -2.9952311813626814e-02 -5.5062137926861598e-01 +5.6474686807034338e-03
1.5500000000000007e+00 +8.5979336466184826e+00 +0.0000000000000000e+00 +1.5499999981062926e+00 -2.9952809033825405e-02 -5.5063261605603209e-01 +5.6496233688698950e-03
1.6000000000000008e+00 +8.5979292964550620e+00 +0.0000000000000000e+00 +1.5999999979170376e+00 -2.9953317886933124e-02 -5.5064420482587384e-01 +5.6517791355744796e-03
1.6500000000000008e+00 +8.5979248081588100e+00 +0.0000000000000000e+00 +1.6499999977155737e+00 -2.9953838141168428e-02 -5.5065614476797176e-01 +5.6539358448600210e-03
1.7000000000000008e+00 +8.5979201817267317e+00 +0.0000000000000000e+00 +1.6999999975015190e+00 -2.9954369564750231e-02 -5.5066843507217100e-01 +5.6560933607690926e-03
1.7500000000000009e+00 +8.5979154171557450e+00 +0.0000000000000000e+00 +1.7499999972744917e+00 -2.9954911925897870e-02 -5.5068107492833229e-01 +5.6582515473440134e-03
1.8000000000000009e+00 +8.5979105144426793e+00 +0.0000000000000000e+00 +1.7999999970341098e+00 -2.9955464992831200e-02 -5.5069406352633066e-01 +5.6604102686268146e-03
1.8500000000000010e+00 +8.5979054735842748e+00 +0.0000000000000000e+00 +1.8499999967799914e+00 -2.9956028533770551e-02 -5.5070740005605701e-01 +5.6625693886592412e-03
1.9000000000000010e+00 +8.5979002945771867e+00 +0.0000000000000000e+00 +1.8999999965117542e+00 -2.9956602316936701e-02 -5.5072108370741657e-01 +5.6647287714827145e-03
1.9500000000000011e+00 +8.5978949774179814e+00 +0.0000000000000000e+00 +1.9499999962290164e+00 -2.9957186110550944e-02 -5.5073511367032957e-01 +5.6668882811383280e-03
2.0000000000000009e+00 +8.5978895221031415e+00 +0.0000000000000000e+00 +1.9999999959313959e+00 -2.9957779682835056e-02 -5.5074948913473076e-01 +5.6690477816668328e-03
2.0500000000000007e+00 +8.5978839286290594e+00 +0.0000000000000000e+00 +2.0499999956185104e+00 -2.9958382854336014e-02 -5.5076420909177415e-01 +5.6712071455344432e-03
2.1000000000000005e+00 +8.5978781969920419e+00 +0.0000000000000000e+00 +2.0999999952899779e+00 -2.9958995654900285e-02 -5.5077927173744590e-01 +5.6733662789104364e-03
2.1500000000000004e+00 +8.5978723271883126e+00 +0.0000000000000000e+00 +2.1499999949454160e+00 -2.9959618166699845e-02 -5.5079467506894941e-01 +5.6755250963898343e-03
2.2000000000000002e+00 +8.5978663192140061e+00 +0.0000000000000000e+00 +2.1999999945844424e+00 -2.9960250471907403e-02 -5.5081041708349909e-01 +5.6776835125675685e-03
2.2500000000000000e+00 +8.5978601730651736e+00 +0.0000000000000000e+00 +2.2499999942066751e+00 -2.9960892652696497e-02 -5.5082649577832088e-01 +5.6798414420385157e-03
