# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.5980000000000008e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
5.0000000000000003e-02 +8.5979999311059299e+00 +0.0000000000000000e+00 +4.9999999999936720e-02 -2.7557620697744205e-06 +0.0000000000000000e+00 +9.9999999999620293e-01
1.0000000000000001e-01 +8.5979997244238557e+00 +0.0000000000000000e+00 +9.9999999999493716e-02 -5.5115204089084293e-06 +0.0000000000000000e+00 +9.9999999998481159e-01
1.5000000000000002e-01 +8.5979993799539169e+00 +0.0000000000000000e+00 +1.4999999999829131e-01 -8.2672770400643620e-06 +0.0000000000000000e+00 +9.9999999996582611e-01
2.0000000000000001e-01 +8.5979988976961472e+00 +0.0000000000000000e+00 +1.9999999999594975e-01 -1.1023033981576219e-05 +0.0000000000000000e+00 +9.9999999993924638e-01
2.5000000000000000e-01 +8.5979982776504809e+00 +0.0000000000000000e+00 +2.4999999999208936e-01 -1.3778793247449757e-05 +0.0000000000000000e+00 +9.9999999990507249e-01
2.9999999999999999e-01 +8.5979975198167509e+00 +0.0000000000000000e+00 +2.9999999998633042e-01 -1.6534556847362577e-05 +0.0000000000000000e+00 +9.9999999986330423e-01
3.4999999999999998e-01 +8.5979966241946908e+00 +0.0000000000000000e+00 +3.4999999997829323e-01 -1.9290326786664220e-05 +0.0000000000000000e+00 +9.9999999981394172e-01
3.9999999999999997e-01 +8.5979955907839329e+00 +0.0000000000000000e+00 +3.9999999996759805e-01 -2.2046105066376256e-05 +0.0000000000000000e+00 +9.9999999975698473e-01
4.4999999999999996e-01 +8.5979944195840119e+00 +0.0000000000000000e+00 +4.4999999995386514e-01 -2.4801893683192369e-05 +0.0000000000000000e+00 +9.9999999969243314e-01
4.9999999999999994e-01 +8.5979931105943592e+00 +0.0000000000000000e+00 +4.9999999993671479e-01 -2.7557694629478456e-05 +0.0000000000000000e+00 +9.9999999962028685e-01
5.4999999999999993e-01 +8.5979916638143106e+00 +0.0000000000000000e+00 +5.4999999991576720e-01 -3.0313509893272708e-05 +0.0000000000000000e+00 +9.9999999954054564e-01
5.9999999999999998e-01 +8.5979900792430985e+00 +0.0000000000000000e+00 +5.9999999989064268e-01 -3.3069341458285696e-05 +0.0000000000000000e+00 +9.9999999945320939e-01
6.5000000000000002e-01 +8.5979883568798599e+00 +0.0000000000000000e+00 +6.4999999986096146e-01 -3.5825191303900472e-05 +0.0000000000000000e+00 +9.9999999935827788e-01
7.0000000000000007e-01 +8.5979864967236299e+00 +0.0000000000000000e+00 +6.9999999982634387e-01 -3.8581061405172636e-05 +0.0000000000000000e+00 +9.9999999925575089e-01
7.5000000000000011e-01 +8.5979844987733482e+00 +0.0000000000000000e+00 +7.4999999978640997e-01 -4.1336953732830448e-05 +0.0000000000000000e+00 +9.9999999914562820e-01
8.0000000000000016e-01 +8.5979823630278531e+00 +0.0000000000000000e+00 +7.9999999974078007e-01 -4.4092870253274890e-05 +0.0000000000000000e+00 +9.9999999902790948e-01
8.5000000000000020e-01 +8.5979800894858869e+00 +0.0000000000000000e+00 +8.4999999968907436e-01 -4.6848812928579761e-05 +0.0000000000000000e+00 +9.9999999890259450e-01
9.0000000000000024e-01 +8.5979776781460924e+00 +0.0000000000000000e+00 +8.9999999963091293e-01 -4.9604783716491770e-05 +0.0000000000000000e+00 +9.9999999876968282e-01
9.5000000000000029e-01 +8.5979751290070148e+00 +0.0000000000000000e+00 +9.4999999956591596e-01 -5.2360784570430616e-05 +0.0000000000000000e+00 +9.9999999862917421e-01
1.0000000000000002e+00 +8.5979724420671015e+00 +0.0000000000000000e+00 +9.9999999949370366e-01 -5.5116817439489056e-05 +0.0000000000000000e+00 +9.9999999848106835e-01
1.0500000000000003e+00 +8.5979696173247042e+00 +0.0000000000000000e+00 +1.0499999994138962e+00 -5.7872884268433017e-05 +0.0000000000000000e+00 +9.9999999832536479e-01
1.1000000000000003e+00 +8.5979666547780766e+00 +0.0000000000000000e+00 +1.0999999993261136e+00 -6.0628986997701657e-05 +0.0000000000000000e+00 +9.9999999816206309e-01
1.1500000000000004e+00 +8.5979635544253750e+00 +0.0000000000000000e+00 +1.1499999992299759e+00 -6.3385127563407459e-05 +0.0000000000000000e+00 +9.9999999799116290e-01
1.2000000000000004e+00 +8.5979603162646576e+00 +0.0000000000000000e+00 +1.1999999991251031e+00 -6.6141307897336305e-05 +0.0000000000000000e+00 +9.9999999781266380e-01
1.2500000000000004e+00 +8.5979569402938889e+00 +0.0000000000000000e+00 +1.2499999990111155e+00 -6.8897529926947567e-05 +0.0000000000000000e+00 +9.9999999762656533e-01
1.3000000000000005e+00 +8.5979534265109372e+00 +0.0000000000000000e+00 +1.2999999988876330e+00 -7.1653795575374175e-05 +0.0000000000000000e+00 +9.9999999743286694e-01
1.3500000000000005e+00 +8.5979497749135732e+00 +0.0000000000000000e+00 +1.3499999987542755e+00 -7.4410106761422701e-05 +0.0000000000000000e+00 +9.9999999723156818e-01
1.4000000000000006e+00 +8.5979459854994715e+00 +0.0000000000000000e+00 +1.3999999986106630e+00 -7.7166465399573466e-05 +0.0000000000000000e+00 +9.9999999702266851e-01
1.4500000000000006e+00 +8.5979420582662112e+00 +0.0000000000000000e+00 +1.4499999984564156e+00 -7.9922873399980579e-05 +0.0000000000000000e+00 +9.9999999680616736e-01
1.5000000000000007e+00 +8.5979379932112767e+00 +0.0000000000000000e+00 +1.4999999982911532e+00 -8.2679332668472033e-05 +0.0000000000000000e+00 +9.9999999658206418e-01
1.5500000000000007e+00 +8.5979337903320570e+00 +0.0000000000000000e+00 +1.5499999981144954e+00 -8.5435845106549788e-05 +0.0000000000000000e+00 +9.9999999635035841e-01
1.6000000000000008e+00 +8.5979294496258483e+00 +0.0000000000000000e+00 +1.5999999979260622e+00 -8.8192412611389851e-05 +0.0000000000000000e+00 +9.9999999611104939e-01
1.6500000000000008e+00 +8.5979249710898475e+00 +0.0000000000000000e+00 +1.6499999977254736e+00 -9.0949037075842341e-05 +0.0000000000000000e+00 +9.9999999586413657e-01
1.7000000000000008e+00 +8.5979203547211593e+00 +0.0000000000000000e+00 +1.6999999975123492e+00 -9.3705720388431564e-05 +0.0000000000000000e+00 +9.9999999560961927e-01
1.7500000000000009e+00 +8.5979156005167958e+00 +0.0000000000000000e+00 +1.7499999972863087e+00 -9.6462464433356111e-05 +0.0000000000000000e+00 +9.9999999534749673e-01
1.8000000000000009e+00 +8.5979107084736732e+00 +0.0000000000000000e+00 +1.7999999970469720e+00 -9.9219271090488924e-05 +0.0000000000000000e+00 +9.9999999507776838e-01
1.8500000000000010e+00 +8.5979056785886119e+00 +0.0000000000000000e+00 +1.8499999967939587e+00 -1.0197614223537735e-04 +0.0000000000000000e+00 +9.9999999480043344e-01
1.9000000000000010e+00 +8.5979005108583433e+00 +0.0000000000000000e+00 +1.8999999965268886e+00 -1.0473307973924325e-04 +0.0000000000000000e+00 +9.9999999451549126e-01
1.9500000000000011e+00 +8.5978952052795012e+00 +0.0000000000000000e+00 +1.9499999962453811e+00 -1.0749008546898302e-04 +0.0000000000000000e+00 +9.9999999422294106e-01
2.0000000000000009e+00 +8.5978897618486290e+00 +0.0000000000000000e+00 +1.9999999959490560e+00 -1.1024716128716776e-04 +0.0000000000000000e+00 +9.9999999392278205e-01
2.0500000000000007e+00 +8.5978841805621737e+00 +0.0000000000000000e+00 +2.0499999956375325e+00 -1.1300430905179212e-04 +0.0000000000000000e+00 +9.9999999361501335e-01
2.1000000000000005e+00 +8.5978784614164940e+00 +0.0000000000000000e+00 +2.0999999953104305e+00 -1.1576153061351189e-04 +0.0000000000000000e+00 +9.9999999329963429e-01
2.1500000000000004e+00 +8.5978726044078524e+00 +0.0000000000000000e+00 +2.1499999949673692e+00 -1.1851882781288152e-04 +0.0000000000000000e+00 +9.9999999297664399e-01
2.2000000000000002e+00 +8.5978666095324208e+00 +0.0000000000000000e+00 +2.1999999946079680e+00 -1.2127620248010311e-04 +0.0000000000000000e+00 +9.9999999264604167e-01
2.2500000000000000e+00 +8.5978604767862823e+00 +0.0000000000000000e+00 +2.2499999942318465e+00 -1.2403365643502641e-04 +0.0000000000000000e+00 +9.9999999230782632e-01
2.2999999999999998e+00 +8.5978542061654259e+00 +0.0000000000000000e+00 +2.2999999938386240e+00 -1.2679119148714893e-04 +0.0000000000000000e+00 +9.9999999196199718e-01
2.3499999999999996e+00 +8.5978477976657519e+00 +0.0000000000000000e+00 +2.3499999934279194e+00 -1.2954880943561597e-04 +0.0000000000000000e+00 +9.9999999160855324e-01
2.3999999999999995e+00 +8.5978412512830715e+00 +0.0000000000000000e+00 +2.3999999929993523e+00 -1.3230651206922072e-04 +0.0000000000000000e+00 +9.9999999124749372e-01
2.4499999999999993e+00 +8.5978345670131038e+00 +0.0000000000000000e+00 +2.4499999925525420e+00 -1.3506430116640424e-04 +0.0000000000000000e+00 +9.9999999087881752e-01
2.4999999999999991e+00 +8.5978277448514842e+00 +0.0000000000000000e+00 +2.4999999920871074e+00 -1.3782217849525564e-04 +0.0000000000000000e+00 +9.9999999050252375e-01
2.5499999999999989e+00 +8.5978207847937558e+00 +0.0000000000000000e+00 +2.5499999916026677e+00 -1.4058014581351202e-04 +0.0000000000000000e+00 +9.9999999011861151e-01
2.5999999999999988e+00 +8.5978136868353747e+00 +0.0000000000000000e+00 +2.5999999910988416e+00 -1.4333820486855860e-04 +0.0000000000000000e+00 +9.9999998972707971e-01
2.6499999999999986e+00 +8.5978064509717118e+00 +0.0000000000000000e+00 +2.6499999905752487e+00 -1.4609635739742878e-04 +0.0000000000000000e+00 +9.9999998932792733e-01
2.6999999999999984e+00 +8.5977990771980490e+00 +0.0000000000000000e+00 +2.6999999900315075e+00 -1.4885460512680416e-04 +0.0000000000000000e+00 +9.9999998892115338e-01
2.7499999999999982e+00 +8.5977915655095831e+00 +0.0000000000000000e+00 +2.7499999894672369e+00 -1.5161294977301460e-04 +0.0000000000000000e+00 +9.9999998850675687e-01
2.7999999999999980e+00 +8.5977839159014273e+00 +0.0000000000000000e+00 +2.7999999888820559e+00 -1.5437139304203830e-04 +0.0000000000000000e+00 +9.9999998808473667e-01
2.8499999999999979e+00 +8.5977761283686078e+00 +0.0000000000000000e+00 +2.8499999882755835e+00 -1.5712993662950184e-04 +0.0000000000000000e+00 +9.9999998765509168e-01
2.8999999999999977e+00 +8.5977682029060656e+00 +0.0000000000000000e+00 +2.8999999876474383e+00 -1.5988858222068021e-04 +0.0000000000000000e+00 +9.9999998721782080e-01
2.9499999999999975e+00 +8.5977601395086580e+00 +0.0000000000000000e+00 +2.9499999869972386e+00 -1.6264733149049692e-04 +0.0000000000000000e+00 +9.9999998677292290e-01
2.9999999999999973e+00 +8.5977519381711609e+00 +0.0000000000000000e+00 +2.9999999863246036e+00 -1.6540618610352400e-04 +0.0000000000000000e+00 +9.9999998632039688e-01
3.0499999999999972e+00 +8.5977435988882647e+00 +0.0000000000000000e+00 +3.0499999856291513e+00 -1.6816514771398204e-04 +0.0000000000000000e+00 +9.9999998586024164e-01
3.0999999999999970e+00 +8.5977351216545781e+00 +0.0000000000000000e+00 +3.0999999849105007e+00 -1.7092421796574030e-04 +0.0000000000000000e+00 +9.9999998539245594e-01
3.1499999999999968e+00 +8.5977265064646300e+00 +0.0000000000000000e+00 +3.1499999841682698e+00 -1.7368339849231670e-04 +0.0000000000000000e+00 +9.9999998491703856e-01
3.1999999999999966e+00 +8.5977177533128639e+00 +0.0000000000000000e+00 +3.1999999834020771e+00 -1.7644269091687787e-04 +0.0000000000000000e+00 +9.9999998443398841e-01
3.2499999999999964e+00 +8.5977088621936453e+00 +0.0000000000000000e+00 +3.2499999826115413e+00 -1.7920209685223928e-04 +0.0000000000000000e+00 +9.9999998394330425e-01
3.2999999999999963e+00 +8.5976998331012595e+00 +0.0000000000000000e+00 +3.2999999817962804e+00 -1.8196161790086517e-04 +0.0000000000000000e+00 +9.9999998344498475e-01
3.3499999999999961e+00 +8.5976906660299104e+00 +0.0000000000000000e+00 +3.3499999809559124e+00 -1.8472125565486866e-04 +0.0000000000000000e+00 +9.9999998293902881e-01
3.3999999999999959e+00 +8.5976813609737235e+00 +0.0000000000000000e+00 +3.3999999800900560e+00 -1.8748101169601176e-04 +0.0000000000000000e+00 +9.9999998242543509e-01
3.4499999999999957e+00 +8.5976719179267445e+00 +0.0000000000000000e+00 +3.4499999791983287e+00 -1.9024088759570548e-04 +0.0000000000000000e+00 +9.9999998190420225e-01
