# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.2464327321585780e-01 +6.8585871835690817e+00 +5.1060655493426559e+00 +3.7912654925395337e+01 -3.4148968649536090e+02 -6.3793450278479967e+05 +1.1110402061844707e+07 
-5.0000000000000003e-02 -5.2465153938535525e-01 +6.8589866454454951e+00 +5.0978308831210333e+00 +3.7904645626414805e+01 -3.6132280178282230e+02 -6.3739054170484294e+05 +1.1269695135743570e+07 
-1.0000000000000001e-01 -5.2466017254189212e-01 +6.8594070418225108e+00 +5.0893538359220409e+00 +3.7857158925034661e+01 -3.8485119279740940e+02 -6.3657494315291313e+05 +1.1449459730591848e+07 
-1.5000000000000002e-01 -5.2466917116767475e-01 +6.8598482318450476e+00 +5.0806315259914081e+00 +3.7771411974440362e+01 -4.1196456906686183e+02 -6.3549554440741334e+05 +1.1649191280438768e+07 
-2.0000000000000001e-01 -5.2467853374489037e-01 +6.8603100746601440e+00 +5.0716610648333260e+00 +3.7648621873214630e+01 -4.4255245242248185e+02 -6.3416018232352438e+05 +1.1868383927038914e+07 
-2.5000000000000000e-01 -5.2468825875579161e-01 +6.8607924294147624e+00 +5.0624395730990761e+00 +3.7490005743232025e+01 -4.7650461627969628e+02 -6.3257669392213947e+05 +1.2106533530382659e+07 
-2.9999999999999999e-01 -5.2469834468260279e-01 +6.8612951552554922e+00 +5.0529641629250097e+00 +3.7296780751781355e+01 -5.1371059731981165e+02 -6.3075291661312152e+05 +1.2363134322788019e+07 
-3.4999999999999998e-01 -5.2470879000760451e-01 +6.8618181113325241e+00 +5.0432319540367532e+00 +3.7070163934918291e+01 -5.5406014175878602e+02 -6.2869668669772812e+05 +1.2637681968909429e+07 
-3.9999999999999997e-01 -5.2471959321306161e-01 +6.8623611567927956e+00 +5.0332400597789499e+00 +3.6811372492281471e+01 -5.9744281887754323e+02 -6.2641584183959349e+05 +1.2929670923951467e+07 
-4.4999999999999996e-01 -5.2473075278128256e-01 +6.8629241507837389e+00 +5.0229855990432570e+00 +3.6521623629560629e+01 -6.4374834920827561e+02 -6.2391821975609416e+05 +1.3238596663939551e+07 
-4.9999999999999994e-01 -5.2474226719457362e-01 +6.8635069524574135e+00 +5.0124656868876558e+00 +3.6202134379779835e+01 -6.9286634785392198e+02 -6.2121165672409965e+05 +1.3563953951299768e+07 
-5.4999999999999993e-01 -5.2475413493526535e-01 +6.8641094209609301e+00 +5.0016774399432649e+00 +3.5854122005225399e+01 -7.4468646969063127e+02 -6.1830399091150076e+05 +1.3905237800452508e+07 
-5.9999999999999998e-01 -5.2476635448570752e-01 +6.8647314154463661e+00 +4.9906179757713334e+00 +3.5478803592372550e+01 -7.9909839877982881e+02 -6.1520305906848318e+05 +1.4261943442306044e+07 
-6.5000000000000002e-01 -5.2477892432826345e-01 +6.8653727950634016e+00 +4.9792844113510721e+00 +3.5077396342910205e+01 -8.5599179925337944e+02 -6.1191669886279653e+05 +1.4633565953976162e+07 
-7.0000000000000007e-01 -5.2479184294530223e-01 +6.8660334189645056e+00 +4.9676738619960839e+00 +3.4651117372612397e+01 -9.1525629253371267e+02 -6.0845274728229281e+05 +1.5019600133558955e+07 
-7.5000000000000011e-01 -5.2480510881922027e-01 +6.8667131463001736e+00 +4.9557834447898061e+00 +3.4201183895261337e+01 -9.7678154300522954e+02 -6.0481904210551083e+05 +1.5419541050525241e+07 
-8.0000000000000016e-01 -5.2481872043243594e-01 +6.8674118362235399e+00 +4.9436102785639076e+00 +3.3728813045779646e+01 -1.0404572666140577e+03 -6.0102342049516237e+05 +1.5832884138410453e+07 
-8.5000000000000020e-01 -5.2483267626736518e-01 +6.8681293478872583e+00 +4.9311514789596336e+00 +3.3235221995480750e+01 -1.1061730928849506e+03 -5.9707371990080120e+05 +1.6259124244637879e+07 
-9.0000000000000024e-01 -5.2484697480645037e-01 +6.8688655404453911e+00 +4.9184041632818580e+00 +3.2721627880328526e+01 -1.1738186910989220e+03 -5.9297777748057514e+05 +1.6697756466542199e+07 
-9.5000000000000029e-01 -5.2486161453214142e-01 +6.8696202730496232e+00 +4.9053654480140665e+00 +3.2189247958421795e+01 -1.2432837147484349e+03 -5.8874343142973422e+05 +1.7148275819108158e+07 
-1.0000000000000002e+00 -5.2487659392691532e-01 +6.8703934048549824e+00 +4.8920324514301621e+00 +3.1639299372700158e+01 -1.3144578586735829e+03 -5.8437851900361513e+05 +1.7610177567568459e+07 
-1.0500000000000003e+00 -5.2489191147324421e-01 +6.8711847950181699e+00 +4.8784022889460017e+00 +3.1072999221623462e+01 -1.3872307470578676e+03 -5.7989087710789149e+05 +1.8082956524821617e+07 
