# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.2850000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -3.0469651964237735e-02 -5.5447332469431765e-01 +5.6482862305253867e-03
5.0000000000000003e-02 +8.2849999310479987e+00 +0.0000000000000000e+00 +4.9999999999936616e-02 -3.0469241985574859e-02 -5.5447164337912713e-01 +5.6448039733158770e-03
1.0000000000000001e-01 +8.2849997241922555e+00 +0.0000000000000000e+00 +9.9999999999492883e-02 -3.0468858963990163e-02 -5.5447035628412455e-01 +5.6413162535626374e-03
1.5000000000000002e-01 +8.2849993794330921e+00 +0.0000000000000000e+00 +1.4999999999828845e-01 -3.0468502985562605e-02 -5.5446946281236353e-01 +5.6378234166508051e-03
2.0000000000000001e-01 +8.2849988967707304e+00 +0.0000000000000000e+00 +1.9999999999594298e-01 -3.0468174136371873e-02 -5.5446896236691534e-01 +5.6343258079652597e-03
2.5000000000000000e-01 +8.2849982762052949e+00 +0.0000000000000000e+00 +2.4999999999207612e-01 -3.0467872502498453e-02 -5.5446885435086801e-01 +5.6308237728906665e-03
2.9999999999999999e-01 +8.2849975177368123e+00 +0.0000000000000000e+00 +2.9999999998630755e-01 -3.0467598170023660e-02 -5.5446913816732812e-01 +5.6273176568115051e-03
3.4999999999999998e-01 +8.2849966213652113e+00 +0.0000000000000000e+00 +3.4999999997825687e-01 -3.0467351225029665e-02 -5.5446981321941857e-01 +5.6238078051121044e-03
3.9999999999999997e-01 +8.2849955870903234e+00 +0.0000000000000000e+00 +3.9999999996754376e-01 -3.0467131753599514e-02 -5.5447087891027924e-01 +5.6202945631766664e-03
4.4999999999999996e-01 +8.2849944149118855e+00 +0.0000000000000000e+00 +4.4999999995378792e-01 -3.0466939841817225e-02 -5.5447233464306844e-01 +5.6167782763893205e-03
4.9999999999999994e-01 +8.2849931048295353e+00 +0.0000000000000000e+00 +4.9999999993660893e-01 -3.0466775575767824e-02 -5.5447417982096081e-01 +5.6132592901341370e-03
5.4999999999999993e-01 +8.2849916568428128e+00 +0.0000000000000000e+00 +5.4999999991562643e-01 -3.0466639041537340e-02 -5.5447641384714841e-01 +5.6097379497951731e-03
5.9999999999999998e-01 +8.2849900709511637e+00 +0.0000000000000000e+00 +5.9999999989046005e-01 -3.0466530325212859e-02 -5.5447903612483995e-01 +5.6062146007564984e-03
6.5000000000000002e-01 +8.2849883471539343e+00 +0.0000000000000000e+00 +6.4999999986072943e-01 -3.0466449512882604e-02 -5.5448204605726303e-01 +5.6026895884022368e-03
7.0000000000000007e-01 +8.2849864854503767e+00 +0.0000000000000000e+00 +6.9999999982605421e-01 -3.0466396690635923e-02 -5.5448544304766012e-01 +5.5991632581165905e-03
7.5000000000000011e-01 +8.2849844858396473e+00 +0.0000000000000000e+00 +7.4999999978605392e-01 -3.0466371944563395e-02 -5.5448922649929255e-01 +5.5956359552838857e-03
8.0000000000000016e-01 +8.2849823483208045e+00 +0.0000000000000000e+00 +7.9999999974034819e-01 -3.0466375360756765e-02 -5.5449339581543766e-01 +5.5921080252885899e-03
8.5000000000000020e-01 +8.2849800728928109e+00 +0.0000000000000000e+00 +8.4999999968855655e-01 -3.0466407025309134e-02 -5.5449795039939120e-01 +5.5885798135153616e-03
9.0000000000000024e-01 +8.2849776595545332e+00 +0.0000000000000000e+00 +8.9999999963029864e-01 -3.0466467024314828e-02 -5.5450288965446426e-01 +5.5850516653490724e-03
