# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.2850000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -3.0340696523012509e-02 -5.8200481690616701e-01 +5.2913555634503256e-03
-5.0000000000000003e-02 +8.2849999304812965e+00 +0.0000000000000000e+00 -4.9999999999935561e-02 -3.0339943993543565e-02 -5.8200857171623288e-01 +5.2922579849258959e-03
-1.0000000000000001e-01 +8.2849997219245743e+00 +0.0000000000000000e+00 -9.9999999999484501e-02 -3.0339211172484545e-02 -5.8201267536216517e-01 +5.2931686384757341e-03
-1.5000000000000002e-01 +8.2849993743288532e+00 +0.0000000000000000e+00 -1.4999999999826016e-01 -3.0338498119712939e-02 -5.8201712710446085e-01 +5.2940874685224234e-03
-2.0000000000000001e-01 +8.2849988876930709e+00 +0.0000000000000000e+00 -1.9999999999587592e-01 -3.0337804895107387e-02 -5.8202192620363336e-01 +5.2950144194888757e-03
-2.5000000000000000e-01 +8.2849982620160798e+00 +0.0000000000000000e+00 -2.4999999999194508e-01 -3.0337131558547670e-02 -5.8202707192021230e-01 +5.2959494357983196e-03
-2.9999999999999999e-01 +8.2849974972966507e+00 +0.0000000000000000e+00 -2.9999999998608101e-01 -3.0336478169914752e-02 -5.8203256351474364e-01 +5.2968924618742984e-03
-3.4999999999999998e-01 +8.2849965935334708e+00 +0.0000000000000000e+00 -3.4999999997789699e-01 -3.0335844789090731e-02 -5.8203840024778852e-01 +5.2978434421406539e-03
-3.9999999999999997e-01 +8.2849955507251476e+00 +0.0000000000000000e+00 -3.9999999996700641e-01 -3.0335231475958905e-02 -5.8204458137992465e-01 +5.2988023210215332e-03
-4.4999999999999996e-01 +8.2849943688702030e+00 +0.0000000000000000e+00 -4.4999999995302248e-01 -3.0334638290403754e-02 -5.8205110617174483e-01 +5.2997690429413815e-03
-4.9999999999999994e-01 +8.2849930479670792e+00 +0.0000000000000000e+00 -4.9999999993555849e-01 -3.0334065292310950e-02 -5.8205797388385783e-01 +5.3007435523249481e-03
-5.4999999999999993e-01 +8.2849915880141349e+00 +0.0000000000000000e+00 -5.4999999991422777e-01 -3.0333512541567360e-02 -5.8206518377688776e-01 +5.3017257935972454e-03
-5.9999999999999998e-01 +8.2849899890096488e+00 +0.0000000000000000e+00 -5.9999999988864350e-01 -3.0332980098061089e-02 -5.8207273511147450e-01 +5.3027157111835907e-03
-6.5000000000000002e-01 +8.2849882509518160e+00 +0.0000000000000000e+00 -6.4999999985841894e-01 -3.0332468021681453e-02 -5.8208062714827313e-01 +5.3037132495095743e-03
-7.0000000000000007e-01 +8.2849863738387501e+00 +0.0000000000000000e+00 -6.9999999982316730e-01 -3.0331976372318981e-02 -5.8208885914795327e-01 +5.3047183530010537e-03
-7.5000000000000011e-01 +8.2849843576684865e+00 +0.0000000000000000e+00 -7.4999999978250176e-01 -3.0331505209865495e-02 -5.8209743037120054e-01 +5.3057309660841639e-03
-8.0000000000000016e-01 +8.2849822024389770e+00 +0.0000000000000000e+00 -7.9999999973603553e-01 -3.0331054594214018e-02 -5.8210634007871531e-01 +5.3067510331853036e-03
-8.5000000000000020e-01 +8.2849799081480935e+00 +0.0000000000000000e+00 -8.4999999968338169e-01 -3.0330624585258849e-02 -5.8211558753121195e-01 +5.3077784987311223e-03
-9.0000000000000024e-01 +8.2849774747936262e+00 +0.0000000000000000e+00 -8.9999999962415345e-01 -3.0330215242895576e-02 -5.8212517198942093e-01 +5.3088133071485365e-03
-9.5000000000000029e-01 +8.2849749023732855e+00 +0.0000000000000000e+00 -9.4999999955796388e-01 -3.0329826627021026e-02 -5.8213509271408703e-01 +5.3098554028647056e-03
-1.0000000000000002e+00 +8.2849721908847016e+00 +0.0000000000000000e+00 -9.9999999948442608e-01 -3.0329458797533373e-02 -5.8214534896596848e-01 +5.3109047303070370e-03
-1.0500000000000003e+00 +8.2849693403254250e+00 +0.0000000000000000e+00 -1.0499999994031530e+00 -3.0329111814332031e-02 -5.8215594000583981e-01 +5.3119612339031777e-03
-1.1000000000000003e+00 +8.2849663506929261e+00 +0.0000000000000000e+00 -1.0999999993137579e+00 -3.0328785737317766e-02 -5.8216686509448867e-01 +5.3130248580810138e-03
-1.1500000000000004e+00 +8.2849632219845937e+00 +0.0000000000000000e+00 -1.1499999992158536e+00 -3.0328480626392627e-02 -5.8217812349271736e-01 +5.3140955472686571e-03
