# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.2850000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-5.0000000000000003e-02 +8.2849999308848457e+00 +0.0000000000000000e+00 -4.9999999999936304e-02 +2.7646072854077793e-06 +0.0000000000000000e+00 +9.9999999999617850e-01
-1.0000000000000001e-01 +8.2849997235391406e+00 +0.0000000000000000e+00 -9.9999999999490469e-02 +5.5292223922671036e-06 +0.0000000000000000e+00 +9.9999999998471389e-01
-1.5000000000000002e-01 +8.2849993779624427e+00 +0.0000000000000000e+00 -1.4999999999828031e-01 +8.2938473664322115e-06 +0.0000000000000000e+00 +9.9999999996560607e-01
-2.0000000000000001e-01 +8.2849988941542065e+00 +0.0000000000000000e+00 -1.9999999999592369e-01 +1.1058484249472774e-05 +0.0000000000000000e+00 +9.9999999993885502e-01
-2.5000000000000000e-01 +8.2849982721137856e+00 +0.0000000000000000e+00 -2.4999999999203842e-01 +1.3823135078673986e-05 +0.0000000000000000e+00 +9.9999999990446053e-01
-2.9999999999999999e-01 +8.2849975118404320e+00 +0.0000000000000000e+00 -2.9999999998624233e-01 +1.6587801887036663e-05 +0.0000000000000000e+00 +9.9999999986242250e-01
-3.4999999999999998e-01 +8.2849966133332966e+00 +0.0000000000000000e+00 -3.4999999997815323e-01 +1.9352486703277331e-05 +0.0000000000000000e+00 +9.9999999981274068e-01
-3.9999999999999997e-01 +8.2849955765914274e+00 +0.0000000000000000e+00 -3.9999999996738900e-01 +2.2117191551828319e-05 +0.0000000000000000e+00 +9.9999999975541498e-01
-4.4999999999999996e-01 +8.2849944016137727e+00 +0.0000000000000000e+00 -4.4999999995356732e-01 +2.4881918452837853e-05 +0.0000000000000000e+00 +9.9999999969044517e-01
-4.9999999999999994e-01 +8.2849930883991796e+00 +0.0000000000000000e+00 -4.9999999993630606e-01 +2.7646669422170141e-05 +0.0000000000000000e+00 +9.9999999961783093e-01
-5.4999999999999993e-01 +8.2849916369463958e+00 +0.0000000000000000e+00 -5.4999999991522297e-01 +3.0411446471405478e-05 +0.0000000000000000e+00 +9.9999999953757202e-01
-5.9999999999999998e-01 +8.2849900472540643e+00 +0.0000000000000000e+00 -5.9999999988993580e-01 +3.3176251607840312e-05 +0.0000000000000000e+00 +9.9999999944966822e-01
-6.5000000000000002e-01 +8.2849883193207337e+00 +0.0000000000000000e+00 -6.4999999986006229e-01 +3.5941086834487362e-05 +0.0000000000000000e+00 +9.9999999935411921e-01
-7.0000000000000007e-01 +8.2849864531448461e+00 +0.0000000000000000e+00 -6.9999999982522021e-01 +3.8705954150075684e-05 +0.0000000000000000e+00 +9.9999999925092464e-01
-7.5000000000000011e-01 +8.2849844487247495e+00 +0.0000000000000000e+00 -7.4999999978502729e-01 +4.1470855549050768e-05 +0.0000000000000000e+00 +9.9999999914008419e-01
-8.0000000000000016e-01 +8.2849823060586889e+00 +0.0000000000000000e+00 -7.9999999973910119e-01 +4.4235793021574622e-05 +0.0000000000000000e+00 +9.9999999902159742e-01
-8.5000000000000020e-01 +8.2849800251448116e+00 +0.0000000000000000e+00 -8.4999999968705953e-01 +4.7000768553525865e-05 +0.0000000000000000e+00 +9.9999999889546398e-01
-9.0000000000000024e-01 +8.2849776059811653e+00 +0.0000000000000000e+00 -8.9999999962852006e-01 +4.9765784126499817e-05 +0.0000000000000000e+00 +9.9999999876168344e-01
-9.5000000000000029e-01 +8.2849750485656983e+00 +0.0000000000000000e+00 -9.4999999956310044e-01 +5.2530841717808565e-05 +0.0000000000000000e+00 +9.9999999862025546e-01
-1.0000000000000002e+00 +8.2849723528962596e+00 +0.0000000000000000e+00 -9.9999999949041818e-01 +5.5295943300481073e-05 +0.0000000000000000e+00 +9.9999999847117949e-01
-1.0500000000000003e+00 +8.2849695189706019e+00 +0.0000000000000000e+00 -1.0499999994100908e+00 +5.8061090843263249e-05 +0.0000000000000000e+00 +9.9999999831445507e-01
-1.1000000000000003e+00 +8.2849665467863769e+00 +0.0000000000000000e+00 -1.0999999993217362e+00 +6.0826286310618033e-05 +0.0000000000000000e+00 +9.9999999815008167e-01
-1.1500000000000004e+00 +8.2849634363411386e+00 +0.0000000000000000e+00 -1.1499999992249716e+00 +6.3591531662725490e-05 +0.0000000000000000e+00 +9.9999999797805872e-01
-1.2000000000000004e+00 +8.2849601876323451e+00 +0.0000000000000000e+00 -1.1999999991194146e+00 +6.6356828855482878e-05 +0.0000000000000000e+00 +9.9999999779838578e-01
-1.2500000000000004e+00 +8.2849568006573566e+00 +0.0000000000000000e+00 -1.2499999990046826e+00 +6.9122179840504745e-05 +0.0000000000000000e+00 +9.9999999761106229e-01
-1.3000000000000005e+00 +8.2849532754134323e+00 +0.0000000000000000e+00 -1.2999999988803932e+00 +7.1887586565122996e-05 +0.0000000000000000e+00 +9.9999999741608758e-01
-1.3500000000000005e+00 +8.2849496118977388e+00 +0.0000000000000000e+00 -1.3499999987461637e+00 +7.4653050972386988e-05 +0.0000000000000000e+00 +9.9999999721346111e-01
-1.4000000000000006e+00 +8.2849458101073417e+00 +0.0000000000000000e+00 -1.3999999986016116e+00 +7.7418575001063591e-05 +0.0000000000000000e+00 +9.9999999700318221e-01
-1.4500000000000006e+00 +8.2849418700392121e+00 +0.0000000000000000e+00 -1.4499999984463543e+00 +8.0184160585637307e-05 +0.0000000000000000e+00 +9.9999999678525031e-01
-1.5000000000000007e+00 +8.2849377916902238e+00 +0.0000000000000000e+00 -1.4999999982800092e+00 +8.2949809656310307e-05 +0.0000000000000000e+00 +9.9999999655966465e-01
-1.5500000000000007e+00 +8.2849335750571562e+00 +0.0000000000000000e+00 -1.5499999981021932e+00 +8.5715524139002533e-05 +0.0000000000000000e+00 +9.9999999632642456e-01
-1.6000000000000008e+00 +8.2849292201366875e+00 +0.0000000000000000e+00 -1.5999999979125239e+00 +8.8481305955351761e-05 +0.0000000000000000e+00 +9.9999999608552936e-01
-1.6500000000000008e+00 +8.2849247269254054e+00 +0.0000000000000000e+00 -1.6499999977106186e+00 +9.1247157022713695e-05 +0.0000000000000000e+00 +9.9999999583697829e-01
-1.7000000000000008e+00 +8.2849200954197997e+00 +0.0000000000000000e+00 -1.6999999974960942e+00 +9.4013079254162026e-05 +0.0000000000000000e+00 +9.9999999558077057e-01
-1.7500000000000009e+00 +8.2849153256162626e+00 +0.0000000000000000e+00 -1.7499999972685680e+00 +9.6779074558488536e-05 +0.0000000000000000e+00 +9.9999999531690542e-01
-1.8000000000000009e+00 +8.2849104175110941e+00 +0.0000000000000000e+00 -1.7999999970276572e+00 +9.9545144840203155e-05 +0.0000000000000000e+00 +9.9999999504538217e-01
-1.8500000000000010e+00 +8.2849053711004981e+00 +0.0000000000000000e+00 -1.8499999967729788e+00 +1.0231129199953403e-04 +0.0000000000000000e+00 +9.9999999476619983e-01
-1.9000000000000010e+00 +8.2849001863805825e+00 +0.0000000000000000e+00 -1.8999999965041496e+00 +1.0507751793242760e-04 +0.0000000000000000e+00 +9.9999999447935772e-01
-1.9500000000000011e+00 +8.2848948633473611e+00 +0.0000000000000000e+00 -1.9499999962207868e+00 +1.0784382453054871e-04 +0.0000000000000000e+00 +9.9999999418485486e-01
-2.0000000000000009e+00 +8.2848894019967538e+00 +0.0000000000000000e+00 -1.9999999959225074e+00 +1.1061021368128064e-04 +0.0000000000000000e+00 +9.9999999388269045e-01
-2.0500000000000007e+00 +8.2848838023245861e+00 +0.0000000000000000e+00 -2.0499999956089283e+00 +1.1337668726742668e-04 +0.0000000000000000e+00 +9.9999999357286351e-01
-2.1000000000000005e+00 +8.2848780643265894e+00 +0.0000000000000000e+00 -2.0999999952796662e+00 +1.1614324716392702e-04 +0.0000000000000000e+00 +9.9999999325537314e-01
-2.1500000000000004e+00 +8.2848721879984009e+00 +0.0000000000000000e+00 -2.1499999949343378e+00 +1.1890989523457554e-04 +0.0000000000000000e+00 +9.9999999293021846e-01
-2.2000000000000002e+00 +8.2848661733355655e+00 +0.0000000000000000e+00 -2.1999999945725603e+00 +1.2167663333172135e-04 +0.0000000000000000e+00 +9.9999999259739847e-01
-2.2500000000000000e+00 +8.2848600203335359e+00 +0.0000000000000000e+00 -2.2499999941939501e+00 +1.2444346329626893e-04 +0.0000000000000000e+00 +9.9999999225691227e-01
-2.2999999999999998e+00 +8.2848537289876738e+00 +0.0000000000000000e+00 -2.2999999937981239e+00 +1.2721038695767814e-04 +0.0000000000000000e+00 +9.9999999190875877e-01
-2.3499999999999996e+00 +8.2848472992932489e+00 +0.0000000000000000e+00 -2.3499999933846984e+00 +1.2997740613396427e-04 +0.0000000000000000e+00 +9.9999999155293695e-01
-2.3999999999999995e+00 +8.2848407312454384e+00 +0.0000000000000000e+00 -2.3999999929532900e+00 +1.3274452263169819e-04 +0.0000000000000000e+00 +9.9999999118944582e-01
-2.4499999999999993e+00 +8.2848340248393324e+00 +0.0000000000000000e+00 -2.4499999925035154e+00 +1.3551173824600629e-04 +0.0000000000000000e+00 +9.9999999081828439e-01
-2.4999999999999991e+00 +8.2848271800699322e+00 +0.0000000000000000e+00 -2.4999999920349909e+00 +1.3827905476057064e-04 +0.0000000000000000e+00 +9.9999999043945154e-01
-2.5499999999999989e+00 +8.2848201969321469e+00 +0.0000000000000000e+00 -2.5499999915473328e+00 +1.4104647394762898e-04 +0.0000000000000000e+00 +9.9999999005294615e-01
-2.5999999999999988e+00 +8.2848130754207983e+00 +0.0000000000000000e+00 -2.5999999910401574e+00 +1.4381399756797483e-04 +0.0000000000000000e+00 +9.9999998965876713e-01
