# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.2850000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
5.0000000000000003e-02 +8.2849999311409057e+00 +0.0000000000000000e+00 +4.9999999999936776e-02 -2.7543625465234474e-06 +0.0000000000000000e+00 +9.9999999999620670e-01
1.0000000000000001e-01 +8.2849997245638534e+00 +0.0000000000000000e+00 +9.9999999999494216e-02 -5.5087186682757133e-06 +0.0000000000000000e+00 +9.9999999998482691e-01
1.5000000000000002e-01 +8.2849993802691131e+00 +0.0000000000000000e+00 +1.4999999999829303e-01 -8.2630703898936365e-06 +0.0000000000000000e+00 +9.9999999996586075e-01
2.0000000000000001e-01 +8.2849988982568536e+00 +0.0000000000000000e+00 +1.9999999999595386e-01 -1.1017419732497538e-05 +0.0000000000000000e+00 +9.9999999993930810e-01
2.5000000000000000e-01 +8.2849982785271443e+00 +0.0000000000000000e+00 +2.4999999999209740e-01 -1.3771768713691313e-05 +0.0000000000000000e+00 +9.9999999990516908e-01
2.9999999999999999e-01 +8.2849975210799531e+00 +0.0000000000000000e+00 +2.9999999998634430e-01 -1.6526119347562524e-05 +0.0000000000000000e+00 +9.9999999986344357e-01
3.4999999999999998e-01 +8.2849966259151486e+00 +0.0000000000000000e+00 +3.4999999997831532e-01 -1.9280473644682494e-05 +0.0000000000000000e+00 +9.9999999981413157e-01
3.9999999999999997e-01 +8.2849955930324946e+00 +0.0000000000000000e+00 +3.9999999996763103e-01 -2.2034833612106396e-05 +0.0000000000000000e+00 +9.9999999975723297e-01
4.4999999999999996e-01 +8.2849944224316587e+00 +0.0000000000000000e+00 +4.4999999995391216e-01 -2.4789201253373344e-05 +0.0000000000000000e+00 +9.9999999969274767e-01
4.9999999999999994e-01 +8.2849931141122077e+00 +0.0000000000000000e+00 +4.9999999993677935e-01 -2.7543578568506489e-05 +0.0000000000000000e+00 +9.9999999962067554e-01
5.4999999999999993e-01 +8.2849916680736069e+00 +0.0000000000000000e+00 +5.4999999991585324e-01 -3.0297967554013104e-05 +0.0000000000000000e+00 +9.9999999954101648e-01
