# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.3650000000000002e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.8250129288890955e-02 -5.5286458230449476e-01 +5.7182496903468612e-03
-5.0000000000000003e-02 +8.3649999308713276e+00 +0.0000000000000000e+00 -4.9999999999936290e-02 -2.8250357865632156e-02 -5.5286326099059069e-01 +5.7175806413248490e-03
-1.0000000000000001e-01 +8.3649997234855125e+00 +0.0000000000000000e+00 -9.9999999999490274e-02 -2.8250605174865887e-02 -5.5286229826108901e-01 +5.7169094717576027e-03
-1.5000000000000002e-01 +8.3649993778427980e+00 +0.0000000000000000e+00 -1.4999999999827965e-01 -2.8250871124987812e-02 -5.5286169392919404e-01 +5.7162362847064359e-03
-2.0000000000000001e-01 +8.3649988939433335e+00 +0.0000000000000000e+00 -1.9999999999592213e-01 -2.8251155624394161e-02 -5.5286144780812929e-01 +5.7155611832325464e-03
-2.5000000000000000e-01 +8.3649982717871811e+00 +0.0000000000000000e+00 -2.4999999999203543e-01 -2.8251458581481616e-02 -5.5286155971113393e-01 +5.7148842703970207e-03
-2.9999999999999999e-01 +8.3649975113743142e+00 +0.0000000000000000e+00 -2.9999999998623722e-01 -2.8251779904647490e-02 -5.5286202945146556e-01 +5.7142056492608473e-03
-3.4999999999999998e-01 +8.3649966127046138e+00 +0.0000000000000000e+00 -3.4999999997814524e-01 -2.8252119502289647e-02 -5.5286285684239833e-01 +5.7135254228849498e-03
-3.9999999999999997e-01 +8.3649955757778738e+00 +0.0000000000000000e+00 -3.9999999996737712e-01 -2.8252477282806509e-02 -5.5286404169722336e-01 +5.7128436943301728e-03
-4.4999999999999996e-01 +8.3649944005937975e+00 +0.0000000000000000e+00 -4.4999999995355061e-01 -2.8252853154597139e-02 -5.5286558382924955e-01 +5.7121605666573174e-03
-4.9999999999999994e-01 +8.3649930871519995e+00 +0.0000000000000000e+00 -4.9999999993628341e-01 -2.8253247026061235e-02 -5.5286748305180200e-01 +5.7114761429271433e-03
-5.4999999999999993e-01 +8.3649916354520037e+00 +0.0000000000000000e+00 -5.4999999991519311e-01 -2.8253658805599099e-02 -5.5286973917822313e-01 +5.7107905262003839e-03
-5.9999999999999998e-01 +8.3649900454932471e+00 +0.0000000000000000e+00 -5.9999999988989750e-01 -2.8254088401611754e-02 -5.5287235202187268e-01 +5.7101038195377712e-03
-6.5000000000000002e-01 +8.3649883172750759e+00 +0.0000000000000000e+00 -6.4999999986001422e-01 -2.8254535722500862e-02 -5.5287532139612627e-01 +5.7094161260000326e-03
-7.0000000000000007e-01 +8.3649864507967475e+00 +0.0000000000000000e+00 -6.9999999982516092e-01 -2.8255000676668803e-02 -5.5287864711437673e-01 +5.7087275486479173e-03
-7.5000000000000011e-01 +8.3649844460574307e+00 +0.0000000000000000e+00 -7.4999999978495524e-01 -2.8255483172518695e-02 -5.5288232899003398e-01 +5.7080381905422022e-03
-8.0000000000000016e-01 +8.3649823030562054e+00 +0.0000000000000000e+00 -7.9999999973901481e-01 -2.8255983118454373e-02 -5.5288636683652403e-01 +5.7073481547437179e-03
-8.5000000000000020e-01 +8.3649800217920607e+00 +0.0000000000000000e+00 -8.4999999968695716e-01 -2.8256500422880443e-02 -5.5289076046728991e-01 +5.7066575443133465e-03
-9.0000000000000024e-01 +8.3649776022638971e+00 +0.0000000000000000e+00 -8.9999999962840005e-01 -2.8257034994202280e-02 -5.5289550969579038e-01 +5.7059664623120461e-03
-9.5000000000000029e-01 +8.3649750444705280e+00 +0.0000000000000000e+00 -9.4999999956296100e-01 -2.8257586740826072e-02 -5.5290061433550164e-01 +5.7052750118008616e-03
-1.0000000000000002e+00 +8.3649723484106779e+00 +0.0000000000000000e+00 -9.9999999949025764e-01 -2.8258155571158808e-02 -5.5290607419991622e-01 +5.7045832958409421e-03
-1.0500000000000003e+00 +8.3649695140829810e+00 +0.0000000000000000e+00 -1.0499999994099076e+00 -2.8258741393608306e-02 -5.5291188910254219e-01 +5.7038914174935432e-03
-1.1000000000000003e+00 +8.3649665414859822e+00 +0.0000000000000000e+00 -1.0999999993215284e+00 -2.8259344116583270e-02 -5.5291805885690481e-01 +5.7031994798200586e-03
-1.1500000000000004e+00 +8.3649634306181380e+00 +0.0000000000000000e+00 -1.1499999992247374e+00 -2.8259963648493234e-02 -5.5292458327654515e-01 +5.7025075858820242e-03
-1.2000000000000004e+00 +8.3649601814778176e+00 +0.0000000000000000e+00 -1.1999999991191523e+00 -2.8260599897748637e-02 -5.5293146217502054e-01 +5.7018158387411241e-03
-1.2500000000000004e+00 +8.3649567940633016e+00 +0.0000000000000000e+00 -1.2499999990043906e+00 -2.8261252772760842e-02 -5.5293869536590412e-01 +5.7011243414592169e-03
-1.3000000000000005e+00 +8.3649532683727816e+00 +0.0000000000000000e+00 -1.2999999988800697e+00 -2.8261922181942126e-02 -5.5294628266278578e-01 +5.7004331970983511e-03
-1.3500000000000005e+00 +8.3649496044043588e+00 +0.0000000000000000e+00 -1.3499999987458071e+00 -2.8262608033705710e-02 -5.5295422387927118e-01 +5.6997425087207659e-03
-1.4000000000000006e+00 +8.3649458021560470e+00 +0.0000000000000000e+00 -1.3999999986012202e+00 -2.8263310236465798e-02 -5.5296251882898140e-01 +5.6990523793889140e-03
