# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.2379247062907108e-01 +6.8467645985989103e+00 +4.7532732000320594e+00 -8.6691255256172511e+01 +7.1215861460061433e+03 +1.8084802796741581e+05 -4.0437310765240803e+07 
+5.0000000000000003e-02 -5.2378949787888351e-01 +6.8466387818804391e+00 +4.7576092046848224e+00 -8.6979573795349822e+01 +7.0893253631261014e+03 +1.8339162478109697e+05 -4.0246572559130415e+07 
+1.0000000000000001e-01 -5.2378690161965791e-01 +6.8465334624205374e+00 +4.7615379300759875e+00 -8.7267875166286345e+01 +7.0540878444313339e+03 +1.8597839405732515e+05 -4.0031640725533299e+07 
+1.5000000000000002e-01 -5.2378468134591827e-01 +6.8464485954767316e+00 +4.7650602313048767e+00 -8.7555848819881220e+01 +7.0159762049922947e+03 +1.8860462025813517e+05 -3.9793506696578816e+07 
+2.0000000000000001e-01 -5.2378283655217883e-01 +6.8463841363024791e+00 +4.7681769586425204e+00 -8.7843184022117725e+01 +6.9750931883826252e+03 +1.9126658635883193e+05 -3.9533162763115831e+07 
+2.5000000000000000e-01 -5.2378136673298514e-01 +6.8463400401544714e+00 +4.7708889648102639e+00 -8.8129570111008917e+01 +6.9315414729649910e+03 +1.9396057579376767e+05 -3.9251600782667309e+07 
+2.9999999999999999e-01 -5.2378027138289673e-01 +6.8463162622916789e+00 +4.7731971023502267e+00 -8.8414696514229959e+01 +6.8854237367841206e+03 +1.9668287283111675e+05 -3.8949812590729304e+07 
+3.4999999999999998e-01 -5.2377954999649579e-01 +6.8463127579692955e+00 +4.7751022242105234e+00 -8.8698252464658580e+01 +6.8368426526684470e+03 +1.9942976007943304e+05 -3.8628790009989142e+07 
+3.9999999999999997e-01 -5.2377920206837114e-01 +6.8463294824462544e+00 +4.7766051815649266e+00 -8.8979927311407820e+01 +6.7859009383947678e+03 +2.0219752106855271e+05 -3.8289525155664153e+07 
+4.4999999999999996e-01 -5.2377922709313662e-01 +6.8463663909832375e+00 +4.7777068271428949e+00 -8.9259410450031979e+01 +6.7327012699302441e+03 +2.0498243971851066e+05 -3.7933009863343291e+07 
+4.9999999999999994e-01 -5.2377962456542715e-01 +6.8464234388380731e+00 +4.7784080142603234e+00 -8.9536391134654707e+01 +6.6773463069984655e+03 +2.0778079879780443e+05 -3.7560235856936596e+07 
+5.4999999999999993e-01 -5.2378039397987530e-01 +6.8465005812719593e+00 +4.7787095927895722e+00 -8.9810558722494022e+01 +6.6199388016854700e+03 +2.1058888189246910e+05 -3.7172195481569164e+07 
+5.9999999999999998e-01 -5.2378153483115963e-01 +6.8465977735463062e+00 +4.7786124176508906e+00 -9.0081602558588486e+01 +6.5605813715103714e+03 +2.1340297251334798e+05 -3.6769880181828097e+07 
+6.5000000000000002e-01 -5.2378304661395014e-01 +6.8467149709206820e+00 +4.7781173393357417e+00 -9.0349211872935143e+01 +6.4993767510887319e+03 +2.1621935318252438e+05 -3.6354282183681309e+07 
+7.0000000000000007e-01 -5.2378492882295169e-01 +6.8468521286585382e+00 +4.7772252112882247e+00 -9.0613076034845790e+01 +6.4364275969597975e+03 +2.1903430759682684e+05 -3.5926393190213196e+07 
+7.5000000000000011e-01 -5.2378718095288057e-01 +6.8470092020236910e+00 +4.7759368861789495e+00 -9.0872884402514785e+01 +6.3718365867473294e+03 +2.2184411936421017e+05 -3.5487205050558515e+07 
+8.0000000000000016e-01 -5.2378980249845297e-01 +6.8471861462772319e+00 +4.7742532138203462e+00 -9.1128326194731287e+01 +6.3057064714792095e+03 +2.2464507095597984e+05 -3.5037710094897896e+07 
+8.5000000000000020e-01 -5.2379279295443715e-01 +6.8473829166838689e+00 +4.7721750495852460e+00 -9.1379090750490903e+01 +6.2381398591595480e+03 +2.2743344582592612e+05 -3.4578899712723799e+07 
+9.0000000000000024e-01 -5.2379615181557648e-01 +6.8475994685086636e+00 +4.7697032424826808e+00 -9.1624867404652107e+01 +6.1692395185993464e+03 +2.3020552743450447e+05 -3.4111766338271022e+07 
+9.5000000000000029e-01 -5.2379987857666910e-01 +6.8478357570165844e+00 +4.7668386474037687e+00 -9.1865345453761719e+01 +6.0991080708818572e+03 +2.3295759889824170e+05 -3.3637301451531164e+07 
+1.0000000000000002e+00 -5.2380397273250101e-01 +6.8480917374729682e+00 +4.7635821143386767e+00 -9.2100214190229437e+01 +6.0278482648045228e+03 +2.3568594334032992e+05 -3.3156497376351863e+07 
+1.0500000000000003e+00 -5.2380843377789321e-01 +6.8483673651426944e+00 +4.7599344968030319e+00 -9.2329162865006637e+01 +5.9555627508669349e+03 +2.3838684356282328e+05 -3.2670345759175893e+07 
+1.1000000000000003e+00 -5.2381326120766225e-01 +6.8486625952934155e+00 +4.7558966443527826e+00 -9.2551880820886197e+01 +5.8823542907380033e+03 +2.4105658315274029e+05 -3.2179839014925469e+07 
+1.1500000000000004e+00 -5.2381845451667886e-01 +6.8489773831906682e+00 +4.7514694130796595e+00 -9.2768057283525891e+01 +5.8083254696418426e+03 +2.4369144472244312e+05 -3.1685968365130093e+07 
+1.2000000000000004e+00 -5.2382401319978333e-01 +6.8493116841039487e+00 +4.7466536511730499e+00 -9.2977381625917147e+01 +5.7335790817340066e+03 +2.4628771214999008e+05 -3.1189726426455073e+07 
+1.2500000000000004e+00 -5.2382993675185685e-01 +6.8496654532996155e+00 +4.7414502107244774e+00 -9.3179543070477294e+01 +5.6582178213797361e+03 +2.4884166810944615e+05 -3.0692105160839193e+07 
+1.3000000000000005e+00 -5.2383622466780588e-01 +6.8500386460468281e+00 +4.7358599453837869e+00 -9.3374230925502061e+01 +5.5823443393547113e+03 +2.5134959596967167e+05 -3.0194096229840808e+07 
+1.3500000000000005e+00 -5.2384287644252847e-01 +6.8504312176151876e+00 +4.7298837049759772e+00 -9.3561134501163409e+01 +5.5060613851784510e+03 +2.5380777917566619e+05 -2.9696691943473976e+07 
+1.4000000000000006e+00 -5.2384989157095896e-01 +6.8508431232722451e+00 +4.7235223423503312e+00 -9.3739943009539445e+01 +5.4294716326647349e+03 +2.5621250041649904e+05 -2.9200884124143291e+07 
+1.4500000000000006e+00 -5.2385726954804179e-01 +6.8512743182877696e+00 +4.7167767093845931e+00 -9.3910345725294434e+01 +5.3526777786663806e+03 +2.5856004291116400e+05 -2.8707664733985759e+07 
+1.5000000000000007e+00 -5.2386500986872653e-01 +6.8517247579337832e+00 +4.7096476560379026e+00 -9.4072031993757847e+01 +5.2757825729807828e+03 +2.6084669047469652e+05 -2.8218026098141178e+07 
+1.5500000000000007e+00 -5.2387311202798592e-01 +6.8521943974805293e+00 +4.7021360335758535e+00 -9.4224691079240600e+01 +5.1988887290947687e+03 +2.6306872634688887e+05 -2.7732960290583849e+07 
