# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +8.5270000000000206e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 -3.0599311959412685e-02 -5.4948172114175220e-01 +5.6128481796246816e-03
-5.0000000000000003e-02 +8.5269999309457507e+00 +0.0000000000000000e+00 -4.9999999999936401e-02 -3.0599655593776851e-02 -5.4948362991619237e-01 +5.6140278516368840e-03
-1.0000000000000001e-01 +8.5269997237846802e+00 +0.0000000000000000e+00 -9.9999999999491399e-02 -3.0600027989111107e-02 -5.4948594029460085e-01 +5.6152043071145304e-03
-1.4999999999999999e-01 +8.5269993785186706e+00 +0.0000000000000000e+00 -1.4999999999828301e-01 -3.0600428988409076e-02 -5.4948865148958759e-01 +5.6163773966455156e-03
-2.0000000000000001e-01 +8.5269988951477007e+00 +0.0000000000000000e+00 -1.9999999999593099e-01 -3.0600858434666343e-02 -5.4949176271379252e-01 +5.6175469708175021e-03
-2.5000000000000000e-01 +8.5269982736681396e+00 +0.0000000000000000e+00 -2.4999999999205300e-01 -3.0601316170881090e-02 -5.4949527317990221e-01 +5.6187128802180466e-03
-2.9999999999999999e-01 +8.5269975140799907e+00 +0.0000000000000000e+00 -2.9999999998626697e-01 -3.0601802040051373e-02 -5.4949918210059356e-01 +5.6198749754340386e-03
-3.4999999999999998e-01 +8.5269966163905302e+00 +0.0000000000000000e+00 -3.4999999997819298e-01 -3.0602315885173800e-02 -5.4950348868851084e-01 +5.6210331070513991e-03
-4.0000000000000002e-01 +8.5269955805888493e+00 +0.0000000000000000e+00 -3.9999999996744801e-01 -3.0602857549253095e-02 -5.4950819215644653e-01 +5.6221871256571000e-03
-4.5000000000000001e-01 +8.5269944066858407e+00 +0.0000000000000000e+00 -4.4999999995365197e-01 -3.0603426875286992e-02 -5.4951329171705410e-01 +5.6233368818359676e-03
-5.0000000000000000e-01 +8.5269930946742498e+00 +0.0000000000000000e+00 -4.9999999993642202e-01 -3.0604023706281392e-02 -5.4951878658313602e-01 +5.6244822261738827e-03
-5.5000000000000004e-01 +8.5269916445577092e+00 +0.0000000000000000e+00 -5.4999999991537796e-01 -3.0604647885239335e-02 -5.4952467596743360e-01 +5.6256230092554434e-03
-5.9999999999999998e-01 +8.5269900563289394e+00 +0.0000000000000000e+00 -5.9999999989013697e-01 -3.0605299255169326e-02 -5.4953095908278460e-01 +5.6267590816657144e-03
-6.5000000000000002e-01 +8.5269883299988596e+00 +0.0000000000000000e+00 -6.4999999986031898e-01 -3.0605977659074229e-02 -5.4953763514191356e-01 +5.6278902939878766e-03
-6.9999999999999996e-01 +8.5269864655601904e+00 +0.0000000000000000e+00 -6.9999999982554195e-01 -3.0606682939965074e-02 -5.4954470335769234e-01 +5.6290164968061549e-03
-7.5000000000000000e-01 +8.5269844630165608e+00 +0.0000000000000000e+00 -7.4999999978542398e-01 -3.0607414940850137e-02 -5.4955216294293274e-01 +5.6301375407034789e-03
-8.0000000000000004e-01 +8.5269823223679904e+00 +0.0000000000000000e+00 -7.9999999973958402e-01 -3.0608173504740301e-02 -5.4956001311048841e-01 +5.6312532762626310e-03
-8.4999999999999998e-01 +8.5269800436108198e+00 +0.0000000000000000e+00 -8.4999999968764095e-01 -3.0608958474649200e-02 -5.4956825307325763e-01 +5.6323635540662595e-03
-9.0000000000000002e-01 +8.5269776267450705e+00 +0.0000000000000000e+00 -8.9999999962921295e-01 -3.0609769693590364e-02 -5.4957688204412880e-01 +5.6334682246962833e-03
-9.4999999999999996e-01 +8.5269750717743609e+00 +0.0000000000000000e+00 -9.4999999956391801e-01 -3.0610607004577288e-02 -5.4958589923598022e-01 +5.6345671387338821e-03
-1.0000000000000000e+00 +8.5269723786986997e+00 +0.0000000000000000e+00 -9.9999999949137597e-01 -3.0611470250626174e-02 -5.4959530386173405e-01 +5.6356601467600883e-03
-1.0500000000000000e+00 +8.5269695475144491e+00 +0.0000000000000000e+00 -1.0499999994111999e+00 -3.0612359274755922e-02 -5.4960509513435385e-01 +5.6367470993557755e-03
-1.1000000000000001e+00 +8.5269665782288904e+00 +0.0000000000000000e+00 -1.0999999993230201e+00 -3.0613273919982663e-02 -5.4961527226674234e-01 +5.6378278471004841e-03
-1.1499999999999999e+00 +8.5269634708311095e+00 +0.0000000000000000e+00 -1.1499999992264500e+00 -3.0614214029330733e-02 -5.4962583447194857e-01 +5.6389022405747644e-03
-1.2000000000000000e+00 +8.5269602253283701e+00 +0.0000000000000000e+00 -1.1999999991210999e+00 -3.0615179445818951e-02 -5.4963678096290725e-01 +5.6399701303572356e-03
-1.2500000000000000e+00 +8.5269568417206791e+00 +0.0000000000000000e+00 -1.2499999990065900e+00 -3.0616170012470224e-02 -5.4964811095262045e-01 +5.6410313670266369e-03
-1.3000000000000000e+00 +8.5269533200044005e+00 +0.0000000000000000e+00 -1.2999999988825499e+00 -3.0617185572310215e-02 -5.4965982365413391e-01 +5.6420858011615319e-03
-1.3500000000000001e+00 +8.5269496601795307e+00 +0.0000000000000000e+00 -1.3499999987485900e+00 -3.0618225968364571e-02 -5.4967191828048123e-01 +5.6431332833397222e-03
-1.3999999999999999e+00 +8.5269458622533403e+00 +0.0000000000000000e+00 -1.3999999986043401e+00 -3.0619291043657550e-02 -5.4968439404466041e-01 +5.6441736641379301e-03
-1.4500000000000000e+00 +8.5269419262185693e+00 +0.0000000000000000e+00 -1.4499999984494001e+00 -3.0620380641220267e-02 -5.4969725015978887e-01 +5.6452067941335756e-03
