# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
-0.0000000000000000e+00 -5.5185918022444436e-01 +7.2528374889600515e+00 +5.0698874027701990e+00 +2.0820979290251401e+01 +3.3927963419613961e+03 -4.5463368110995920e+05 -1.9469258380351238e+07 
-5.0000000000000003e-02 -5.5186037432865798e-01 +7.2529159655053528e+00 +5.0720226356344966e+00 +2.0307149320719454e+01 +3.3477570864440140e+03 -4.5118727302818059e+05 -1.9273912836248364e+07 
-1.0000000000000001e-01 -5.5186192233296116e-01 +7.2530143187642153e+00 +5.0734725203330715e+00 +1.9789041422486271e+01 +3.3082085732622340e+03 -4.4771518386693281e+05 -1.9108559735264059e+07 
-1.4999999999999999e-01 -5.5186382336845952e-01 +7.2531324613869108e+00 +5.0742446329098412e+00 +1.9267090939844341e+01 +3.2740018936734423e+03 -4.4421933638173068e+05 -1.8972377415432900e+07 
-2.0000000000000001e-01 -5.5186607656624520e-01 +7.2532703060314851e+00 +5.0743465412079507e+00 +1.8741732937204464e+01 +3.2449883594169228e+03 -4.4070165107092686e+05 -1.8864545695598911e+07 
-2.5000000000000000e-01 -5.5186868105749654e-01 +7.2534277653537655e+00 +5.0737858208952158e+00 +1.8213402583100848e+01 +3.2210190772829346e+03 -4.3716404925081291e+05 -1.8784243040373005e+07 
-2.9999999999999999e-01 -5.5187163597334987e-01 +7.2536047520126283e+00 +5.0725700423720195e+00 +1.7682534970140711e+01 +3.2019452876488276e+03 -4.3360845168679854e+05 -1.8730648779113553e+07 
-3.4999999999999998e-01 -5.5187494044492502e-01 +7.2538011786636263e+00 +5.0707067793893321e+00 +1.7149565340569701e+01 +3.1876181457491775e+03 -4.3003678030981554e+05 -1.8702941690154366e+07 
-4.0000000000000002e-01 -5.5187859360347324e-01 +7.2540169579689522e+00 +5.0682036024949024e+00 +1.6614928704115474e+01 +3.1778888962541109e+03 -4.2645095522810589e+05 -1.8700301166714087e+07 
-4.5000000000000001e-01 -5.5188259458011313e-01 +7.2542520025874344e+00 +5.0650680843610854e+00 +1.6079060231253685e+01 +3.1726087208479948e+03 -4.2285289780677430e+05 -1.8721906154354434e+07 
-5.0000000000000000e-01 -5.5188694250611792e-01 +7.2545062251828991e+00 +5.0613077991682589e+00 +1.5542394920611633e+01 +3.1716287611447779e+03 -4.1924452805857570e+05 -1.8766935332859963e+07 
-5.5000000000000004e-01 -5.5189163651267903e-01 +7.2547795384143168e+00 +5.0569303170964428e+00 +1.5005367995093064e+01 +3.1748002706479365e+03 -4.1562776781904593e+05 -1.8834568151143108e+07 
-5.9999999999999998e-01 -5.5189667573109402e-01 +7.2550718549461539e+00 +5.0519432112317046e+00 +1.4468414482609411e+01 +3.1819744193249880e+03 -4.1200453734439571e+05 -1.8923983477066230e+07 
-6.5000000000000002e-01 -5.5190205929253544e-01 +7.2553830874439313e+00 +5.0463540526742525e+00 +1.3931969396988880e+01 +3.1930024341477128e+03 -4.0837675675109815e+05 -1.9034360577025201e+07 
