# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.7641470308026255e-01 +7.5296986546011366e+00 +7.2694250153430451e+00 -3.1989494885085215e+01 -8.1342712235663666e+03 -2.5424390395922374e+05 +4.4471431721301802e+07 
+5.0000000000000003e-02 -5.7641492764943170e-01 +7.5297555142780608e+00 +7.2673288687935349e+00 -3.2037550023163888e+01 -8.0821057817628234e+03 -2.5444288217251512e+05 +4.4105306834124178e+07 
+1.0000000000000001e-01 -5.7641557750453376e-01 +7.5298336290137646e+00 +7.2646199796515045e+00 -3.2038792350834505e+01 -8.0278609884386851e+03 -2.5486266096579639e+05 +4.3725393561887763e+07 
+1.4999999999999999e-01 -5.7641665175409651e-01 +7.5299330107064302e+00 +7.2613096494824774e+00 -3.1995381261223031e+01 -7.9717773677669120e+03 -2.5549041952426315e+05 +4.3333216738456592e+07 
+2.0000000000000001e-01 -5.7641814950668091e-01 +7.5300536712592994e+00 +7.2574091804747907e+00 -3.1909476337185293e+01 -7.9140954647000935e+03 -2.5631333540778689e+05 +4.2930301346370459e+07 
+2.5000000000000000e-01 -5.7642006987089522e-01 +7.5301956225716378e+00 +7.2529298742158943e+00 -3.1783236966596480e+01 -7.8550558033608468e+03 -2.5731858776053396e+05 +4.2518172213014789e+07 
+2.9999999999999999e-01 -5.7642241195533883e-01 +7.5303588765468454e+00 +7.2478830331549782e+00 -3.1618822647644915e+01 -7.7948989384002443e+03 -2.5849335491210676e+05 +4.2098354392241977e+07 
+3.4999999999999998e-01 -5.7642517486854561e-01 +7.5305434450886670e+00 +7.2422799542484562e+00 -3.1418392875250269e+01 -7.7338652771287052e+03 -2.5982481511881677e+05 +4.1672371946702659e+07 
+4.0000000000000002e-01 -5.7642835771926149e-01 +7.5307493401005763e+00 +7.2361319446783448e+00 -3.1184107098003889e+01 -7.6721955007453953e+03 -2.6130014707352675e+05 +4.1241750775638536e+07 
+4.5000000000000001e-01 -5.7643195961602456e-01 +7.5309765734875693e+00 +7.2294503006898525e+00 -3.0918124783609510e+01 -7.6101300018067641e+03 -2.6290652927933983e+05 +4.0808014853010304e+07 
+5.0000000000000000e-01 -5.7643597966756366e-01 +7.5312251571564692e+00 +7.2222463247975854e+00 -3.0622605443287600e+01 -7.5479093373927935e+03 -2.6463113991741580e+05 +4.0372689241812959e+07 
+5.5000000000000004e-01 -5.7644041698253667e-01 +7.5314951030108084e+00 +7.2145313183345214e+00 -3.0299708422506669e+01 -7.4857740366973021e+03 -2.6646115848656901e+05 +3.9937298831391312e+07 
+5.9999999999999998e-01 -5.7644527066970175e-01 +7.5317864229601827e+00 +7.2063165826680331e+00 -2.9951593282914633e+01 -7.4239646303425343e+03 -2.6838376272234385e+05 +3.9503368518933713e+07 
