# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.5270000000000206e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.8257048736119315e-02 -5.5044569042360725e-01 +5.6360636694519082e-03
5.0000000000000003e-02 +8.5269999309457507e+00 +0.0000000000000000e+00 +4.9999999999936401e-02 -2.8256935143748569e-02 -5.5044525113086584e-01 +5.6353868196447002e-03
1.0000000000000001e-01 +8.5269997237846802e+00 +0.0000000000000000e+00 +9.9999999999491399e-02 -2.8256840822345097e-02 -5.5044519323549024e-01 +5.6347111787939099e-03
1.4999999999999999e-01 +8.5269993785186706e+00 +0.0000000000000000e+00 +1.4999999999828301e-01 -2.8256765790437146e-02 -5.5044551592807822e-01 +5.6340367516899987e-03
2.0000000000000001e-01 +8.5269988951477007e+00 +0.0000000000000000e+00 +1.9999999999593099e-01 -2.8256710066554266e-02 -5.5044621839925845e-01 +5.6333635431236812e-03
2.5000000000000000e-01 +8.5269982736681396e+00 +0.0000000000000000e+00 +2.4999999999205300e-01 -2.8256673669228016e-02 -5.5044729983970353e-01 +5.6326915578860425e-03
2.9999999999999999e-01 +8.5269975140799907e+00 +0.0000000000000000e+00 +2.9999999998626697e-01 -2.8256656616989052e-02 -5.5044875944007765e-01 +5.6320208007679898e-03
3.4999999999999998e-01 +8.5269966163905302e+00 +0.0000000000000000e+00 +3.4999999997819298e-01 -2.8256658928365729e-02 -5.5045059639100957e-01 +5.6313512765599682e-03
4.0000000000000002e-01 +8.5269955805888493e+00 +0.0000000000000000e+00 +3.9999999996744801e-01 -2.8256680621894067e-02 -5.5045280988327683e-01 +5.6306829900538598e-03
4.5000000000000001e-01 +8.5269944066858407e+00 +0.0000000000000000e+00 +4.4999999995365197e-01 -2.8256721716101968e-02 -5.5045539910751706e-01 +5.6300159460399811e-03
5.0000000000000000e-01 +8.5269930946742498e+00 +0.0000000000000000e+00 +4.9999999993642202e-01 -2.8256782229525001e-02 -5.5045836325451591e-01 +5.6293501493100565e-03
5.5000000000000004e-01 +8.5269916445577092e+00 +0.0000000000000000e+00 +5.4999999991537796e-01 -2.8256862180694866e-02 -5.5046170151499729e-01 +5.6286856046550461e-03
5.9999999999999998e-01 +8.5269900563289394e+00 +0.0000000000000000e+00 +5.9999999989013697e-01 -2.8256961588148031e-02 -5.5046541307978136e-01 +5.6280223168667645e-03
6.5000000000000002e-01 +8.5269883299988596e+00 +0.0000000000000000e+00 +6.4999999986031898e-01 -2.8257080470414170e-02 -5.5046949713957383e-01 +5.6273602907356791e-03
6.9999999999999996e-01 +8.5269864655601904e+00 +0.0000000000000000e+00 +6.9999999982554195e-01 -2.8257218846030541e-02 -5.5047395288522827e-01 +5.6266995310536496e-03
7.5000000000000000e-01 +8.5269844630165608e+00 +0.0000000000000000e+00 +7.4999999978542398e-01 -2.8257376733530484e-02 -5.5047877950753599e-01 +5.6260400426117237e-03
8.0000000000000004e-01 +8.5269823223679904e+00 +0.0000000000000000e+00 +7.9999999973958402e-01 -2.8257554151449111e-02 -5.5048397619733180e-01 +5.6253818302012112e-03
8.4999999999999998e-01 +8.5269800436108198e+00 +0.0000000000000000e+00 +8.4999999968764095e-01 -2.8257751118323345e-02 -5.5048954214549251e-01 +5.6247248986136863e-03
9.0000000000000002e-01 +8.5269776267450705e+00 +0.0000000000000000e+00 +8.9999999962921295e-01 -2.8257967652688940e-02 -5.5049547654288633e-01 +5.6240692526404379e-03
9.4999999999999996e-01 +8.5269750717743609e+00 +0.0000000000000000e+00 +9.4999999956391801e-01 -2.8258203773080533e-02 -5.5050177858037008e-01 +5.6234148970724400e-03
1.0000000000000000e+00 +8.5269723786986997e+00 +0.0000000000000000e+00 +9.9999999949137597e-01 -2.8258459498034495e-02 -5.5050844744884375e-01 +5.6227618367009034e-03
1.0500000000000000e+00 +8.5269695475144491e+00 +0.0000000000000000e+00 +1.0499999994111999e+00 -2.8258734846088839e-02 -5.5051548233924985e-01 +5.6221100763172577e-03
1.1000000000000001e+00 +8.5269665782288904e+00 +0.0000000000000000e+00 +1.0999999993230201e+00 -2.8259029835777574e-02 -5.5052288244246839e-01 +5.6214596207120647e-03
1.1499999999999999e+00 +8.5269634708311095e+00 +0.0000000000000000e+00 +1.1499999992264500e+00 -2.8259344485642057e-02 -5.5053064694952603e-01 +5.6208104746771738e-03
1.2000000000000000e+00 +8.5269602253283701e+00 +0.0000000000000000e+00 +1.1999999991210999e+00 -2.8259678814216694e-02 -5.5053877505133431e-01 +5.6201626430029917e-03
1.2500000000000000e+00 +8.5269568417206791e+00 +0.0000000000000000e+00 +1.2499999990065900e+00 -2.8260032840038918e-02 -5.5054726593887304e-01 +5.6195161304803867e-03
1.3000000000000000e+00 +8.5269533200044005e+00 +0.0000000000000000e+00 +1.2999999988825499e+00 -2.8260406581647770e-02 -5.5055611880316402e-01 +5.6188709419003951e-03
1.3500000000000001e+00 +8.5269496601795307e+00 +0.0000000000000000e+00 +1.3499999987485900e+00 -2.8260800057581019e-02 -5.5056533283521858e-01 +5.6182270820536824e-03
1.3999999999999999e+00 +8.5269458622533403e+00 +0.0000000000000000e+00 +1.3999999986043401e+00 -2.8261213286373637e-02 -5.5057490722601032e-01 +5.6175845557302475e-03
1.4500000000000000e+00 +8.5269419262185693e+00 +0.0000000000000000e+00 +1.4499999984494001e+00 -2.8261646286566449e-02 -5.5058484116663364e-01 +5.6169433677210516e-03
1.5000000000000000e+00 +8.5269378520752106e+00 +0.0000000000000000e+00 +1.4999999982833900e+00 -2.8262099076697536e-02 -5.5059513384814596e-01 +5.6163035228163792e-03
1.5500000000000000e+00 +8.5269336398268898e+00 +0.0000000000000000e+00 +1.5499999981059500e+00 -2.8262571675303556e-02 -5.5060578446159381e-01 +5.6156650258060940e-03
1.6000000000000001e+00 +8.5269292894736299e+00 +0.0000000000000000e+00 +1.5999999979166799e+00 -2.8263064100922632e-02 -5.5061679219806381e-01 +5.6150278814801795e-03
1.6499999999999999e+00 +8.5269248010117700e+00 +0.0000000000000000e+00 +1.6499999977152000e+00 -2.8263576372094427e-02 -5.5062815624868622e-01 +5.6143920946287243e-03
1.7000000000000000e+00 +8.5269201744449692e+00 +0.0000000000000000e+00 +1.6999999975011300e+00 -2.8264108507355622e-02 -5.5063987580455065e-01 +5.6137576700411012e-03
1.7500000000000000e+00 +8.5269154097695701e+00 +0.0000000000000000e+00 +1.7499999972740901e+00 -2.8264660525245858e-02 -5.5065195005681666e-01 +5.6131246125070431e-03
1.8000000000000000e+00 +8.5269105069892195e+00 +0.0000000000000000e+00 +1.7999999970336999e+00 -2.8265232444301784e-02 -5.5066437819660485e-01 +5.6124929268155446e-03
1.8500000000000001e+00 +8.5269054661039299e+00 +0.0000000000000000e+00 +1.8499999967795799e+00 -2.8265824283061465e-02 -5.5067715941507644e-01 +5.6118626177556708e-03
1.8999999999999999e+00 +8.5269002871100401e+00 +0.0000000000000000e+00 +1.8999999965113501e+00 -2.8266436060064369e-02 -5.5069029290343463e-01 +5.6112336901165518e-03
1.9500000000000000e+00 +8.5268949700112007e+00 +0.0000000000000000e+00 +1.9499999962286201e+00 -2.8267067793846891e-02 -5.5070377785284308e-01 +5.6106061486865420e-03
2.0000000000000000e+00 +8.5268895148037700e+00 +0.0000000000000000e+00 +1.9999999959310100e+00 -2.8267719502948294e-02 -5.5071761345453418e-01 +5.6099799982543188e-03
2.0499999999999998e+00 +8.5268839213858900e+00 +0.0000000000000000e+00 +2.0499999956181298e+00 -2.8268391193419149e-02 -5.5073179868373379e-01 +5.6093552520357784e-03
2.1000000000000001e+00 +8.5268781896593300e+00 +0.0000000000000000e+00 +2.0999999952895898e+00 -2.8269082821199186e-02 -5.5074633164873810e-01 +5.6087319569270364e-03
2.1499999999999999e+00 +8.5268723196240899e+00 +0.0000000000000000e+00 +2.1499999949449999e+00 -2.8269794329662697e-02 -5.5076121024041291e-01 +5.6081101682371242e-03
2.2000000000000002e+00 +8.5268663112729008e+00 +0.0000000000000000e+00 +2.1999999945839801e+00 -2.8270525662188139e-02 -5.5077643234968765e-01 +5.6074899412758101e-03
2.2500000000000000e+00 +8.5268601646093902e+00 +0.0000000000000000e+00 +2.2499999942061502e+00 -2.8271276762150993e-02 -5.5079199586742533e-01 +5.6068713313522393e-03
2.2999999999999998e+00 +8.5268538796335598e+00 +0.0000000000000000e+00 +2.2999999938111202e+00 -2.8272047572929487e-02 -5.5080789868452495e-01 +5.6062543937760280e-03
2.3500000000000001e+00 +8.5268474563490599e+00 +0.0000000000000000e+00 +2.3499999933985198e+00 -2.8272838037901853e-02 -5.5082413869186997e-01 +5.6056391838567483e-03
2.3999999999999999e+00 +8.5268408947522403e+00 +0.0000000000000000e+00 +2.3999999929679601e+00 -2.8273648100450733e-02 -5.5084071378040778e-01 +5.6050257569047581e-03
2.4500000000000002e+00 +8.5268341948467405e+00 +0.0000000000000000e+00 +2.4499999925190501e+00 -2.8274477703957402e-02 -5.5085762184104259e-01 +5.6044141682301289e-03
2.5000000000000000e+00 +8.5268273566252901e+00 +0.0000000000000000e+00 +2.4999999920514302e+00 -2.8275326791809070e-02 -5.5087486076476821e-01 +5.6038044731440018e-03
2.5499999999999998e+00 +8.5268203800987994e+00 +0.0000000000000000e+00 +2.5499999915646900e+00 -2.8276195307387422e-02 -5.5089242844245634e-01 +5.6031967269564633e-03
2.6000000000000001e+00 +8.5268132652563509e+00 +0.0000000000000000e+00 +2.5999999910584699e+00 -2.8277083194084528e-02 -5.5091032276514573e-01 +5.6025909849795139e-03
2.6499999999999999e+00 +8.5268060121015896e+00 +0.0000000000000000e+00 +2.6499999905323701e+00 -2.8277990395288510e-02 -5.5092854162378024e-01 +5.6019873025243954e-03
2.7000000000000002e+00 +8.5267986206345103e+00 +0.0000000000000000e+00 +2.6999999899860101e+00 -2.8278916854390702e-02 -5.5094708290933769e-01 +5.6013857349029427e-03
2.7500000000000000e+00 +8.5267910908551094e+00 +0.0000000000000000e+00 +2.7499999894190199e+00 -2.8279862514784454e-02 -5.5096594451280601e-01 +5.6007863374273456e-03
2.7999999999999998e+00 +8.5267834227670392e+00 +0.0000000000000000e+00 +2.7999999888310101e+00 -2.8280827319863550e-02 -5.5098512432515390e-01 +5.6001891654098744e-03
2.8500000000000001e+00 +8.5267756163666508e+00 +0.0000000000000000e+00 +2.8499999882215898e+00 -2.8281811213026784e-02 -5.5100462023741259e-01 +5.5995942741637276e-03
2.8999999999999999e+00 +8.5267676716539391e+00 +0.0000000000000000e+00 +2.8999999875903901e+00 -2.8282814137673536e-02 -5.5102443014059455e-01 +5.5990017190022182e-03
2.9500000000000002e+00 +8.5267595886289200e+00 +0.0000000000000000e+00 +2.9499999869370299e+00 -2.8283836037205384e-02 -5.5104455192571944e-01 +5.5984115552390658e-03
3.0000000000000000e+00 +8.5267513672915793e+00 +0.0000000000000000e+00 +2.9999999862611100e+00 -2.8284876855026102e-02 -5.5106498348381572e-01 +5.5978238381884215e-03
3.0499999999999998e+00 +8.5267430076455604e+00 +0.0000000000000000e+00 +3.0499999855622502e+00 -2.8285936534540295e-02 -5.5108572270589185e-01 +5.5972386231645955e-03
3.1000000000000001e+00 +8.5267345096872305e+00 +0.0000000000000000e+00 +3.0999999848400801e+00 -2.8287015019157792e-02 -5.5110676748301668e-01 +5.5966559654828966e-03
3.1499999999999999e+00 +8.5267258734165807e+00 +0.0000000000000000e+00 +3.1499999840942201e+00 -2.8288112252289398e-02 -5.5112811570623932e-01 +5.5960759204588262e-03
3.2000000000000002e+00 +8.5267170988336094e+00 +0.0000000000000000e+00 +3.1999999833242700e+00 -2.8289228177348358e-02 -5.5114976526661608e-01 +5.5954985434083773e-03
3.2500000000000000e+00 +8.5267081859419704e+00 +0.0000000000000000e+00 +3.2499999825298600e+00 -2.8290362737748969e-02 -5.5117171405518273e-01 +5.5949238896477642e-03
3.2999999999999998e+00 +8.5266991347380099e+00 +0.0000000000000000e+00 +3.2999999817106000e+00 -2.8291515876911061e-02 -5.5119395996303444e-01 +5.5943520144942638e-03
3.3500000000000001e+00 +8.5266899452181004e+00 +0.0000000000000000e+00 +3.3499999808661101e+00 -2.8292687538257030e-02 -5.5121650088127216e-01 +5.5937829732656758e-03
3.3999999999999999e+00 +8.5266806173895002e+00 +0.0000000000000000e+00 +3.3999999799960099e+00 -2.8293877665207686e-02 -5.5123933470092346e-01 +5.5932168212795425e-03
3.4500000000000002e+00 +8.5266711512522306e+00 +0.0000000000000000e+00 +3.4499999790999101e+00 -2.8295086201189482e-02 -5.5126245931307383e-01 +5.5926536138544989e-03
3.5000000000000000e+00 +8.5266615468026394e+00 +0.0000000000000000e+00 +3.4999999781774398e+00 -2.8296313089633124e-02 -5.5128587260884132e-01 +5.5920934063100310e-03
3.5499999999999998e+00 +8.5266518040407409e+00 +0.0000000000000000e+00 +3.5499999772282100e+00 -2.8297558273970739e-02 -5.5130957247932133e-01 +5.5915362539659414e-03
3.6000000000000001e+00 +8.5266419229665207e+00 +0.0000000000000000e+00 +3.5999999762518402e+00 -2.8298821697637453e-02 -5.5133355681561513e-01 +5.5909822121426467e-03
3.6499999999999999e+00 +8.5266319035799807e+00 +0.0000000000000000e+00 +3.6499999752479400e+00 -2.8300103304071320e-02 -5.5135782350882812e-01 +5.5904313361611769e-03
3.6999999999999900e+00 +8.5266217458847695e+00 +0.0000000000000000e+00 +3.6999999742161398e+00 -2.8301403036712067e-02 -5.5138237045004290e-01 +5.5898836813429329e-03
3.7499999999999898e+00 +8.5266114498736005e+00 +0.0000000000000000e+00 +3.7499999731560498e+00 -2.8302720839006888e-02 -5.5140719553042727e-01 +5.5893393030107775e-03
3.7999999999999901e+00 +8.5266010155537497e+00 +0.0000000000000000e+00 +3.7999999720672801e+00 -2.8304056654400309e-02 -5.5143229664104498e-01 +5.5887982564871621e-03
3.8499999999999899e+00 +8.5265904429179500e+00 +0.0000000000000000e+00 +3.8499999709494599e+00 -2.8305410426345958e-02 -5.5145767167307047e-01 +5.5882605970963024e-03
3.8999999999999901e+00 +8.5265797319771099e+00 +0.0000000000000000e+00 +3.8999999698022001e+00 -2.8306782098293490e-02 -5.5148331851754850e-01 +5.5877263801617566e-03
3.9499999999999900e+00 +8.5265688827203103e+00 +0.0000000000000000e+00 +3.9499999686251202e+00 -2.8308171613704646e-02 -5.5150923506568683e-01 +5.5871956610094231e-03
3.9999999999999898e+00 +8.5265578951548395e+00 +0.0000000000000000e+00 +3.9999999674178399e+00 -2.8309578916037293e-02 -5.5153541920856242e-01 +5.5866684949645714e-03
4.0499999999999901e+00 +8.5265467692734092e+00 +0.0000000000000000e+00 +4.0499999661799704e+00 -2.8311003918110211e-02 -5.5156186874464663e-01 +5.5861449330023303e-03
4.0999999999999899e+00 +8.5265355050833005e+00 +0.0000000000000000e+00 +4.0999999649111301e+00 -2.8312446410144479e-02 -5.5158858110144648e-01 +5.5856250086893473e-03
4.1499999999999897e+00 +8.5265241025808791e+00 +0.0000000000000000e+00 +4.1499999636109504e+00 -2.8313906151716386e-02 -5.5161555361383308e-01 +5.5851087512412412e-03
4.1999999999999904e+00 +8.5265125617697795e+00 +0.0000000000000000e+00 +4.1999999622790298e+00 -2.8315382902398278e-02 -5.5164278361662467e-01 +5.5845961898731925e-03
4.2499999999999902e+00 +8.5265008826427202e+00 +0.0000000000000000e+00 +4.2499999609149901e+00 -2.8316876421765752e-02 -5.5167026844471811e-01 +5.5840873538012849e-03
