# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +8.5270000000000206e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 -2.8321364578908197e-02 -5.2335807318706873e-01 +5.3919939547225062e-03
-5.0000000000000003e-02 +8.5269999273587000e+00 +0.0000000000000000e+00 -5.1282051281982703e-02 -2.8322246903732178e-02 -5.2336611259356058e-01 +5.3943649392912520e-03
-1.0000000000000001e-01 +8.5269997094401297e+00 +0.0000000000000000e+00 -1.0256410256355400e-01 -2.8323157105161763e-02 -5.2337453025467751e-01 +5.3967305473630774e-03
-1.4999999999999999e-01 +8.5269993462388793e+00 +0.0000000000000000e+00 -1.5384615384430200e-01 -2.8324094980951679e-02 -5.2338332476377192e-01 +5.3990905609295611e-03
-2.0000000000000001e-01 +8.5269988377622195e+00 +0.0000000000000000e+00 -2.0512820512381499e-01 -2.8325060328853360e-02 -5.2339249471412708e-01 +5.4014447619809367e-03
-2.5000000000000000e-01 +8.5269981840028795e+00 +0.0000000000000000e+00 -2.5641025640168202e-01 -2.8326052946624557e-02 -5.2340203869914392e-01 +5.4037929325082071e-03
-2.9999999999999999e-01 +8.5269973849644902e+00 +0.0000000000000000e+00 -3.0769230767749101e-01 -2.8327072632020316e-02 -5.2341195531216489e-01 +5.4061348545011295e-03
-3.4999999999999998e-01 +8.5269964406470500e+00 +0.0000000000000000e+00 -3.5897435895083102e-01 -2.8328119182798109e-02 -5.2342224314657404e-01 +5.4084703099493616e-03
-4.0000000000000002e-01 +8.5269953510505694e+00 +0.0000000000000000e+00 -4.1025641022129000e-01 -2.8329192396716572e-02 -5.2343290079577309e-01 +5.4107990808421533e-03
-4.5000000000000001e-01 +8.5269941161714105e+00 +0.0000000000000000e+00 -4.6153846148845601e-01 -2.8330292071536728e-02 -5.2344392685320495e-01 +5.4131209491686165e-03
-5.0000000000000000e-01 +8.5269927360132005e+00 +0.0000000000000000e+00 -5.1282051275191798e-01 -2.8331418005018160e-02 -5.2345531991227945e-01 +5.4154356969168703e-03
-5.5000000000000004e-01 +8.5269912105795793e+00 +0.0000000000000000e+00 -5.6410256401126402e-01 -2.8332569994921571e-02 -5.2346707856642205e-01 +5.4177431060745901e-03
-5.9999999999999998e-01 +8.5269895398632798e+00 +0.0000000000000000e+00 -6.1538461526608301e-01 -2.8333747839012640e-02 -5.2347920140915005e-01 +5.4200429586298482e-03
-6.5000000000000002e-01 +8.5269877238679292e+00 +0.0000000000000000e+00 -6.6666666651596296e-01 -2.8334951335054238e-02 -5.2349168703392146e-01 +5.4223350365694015e-03
-6.9999999999999996e-01 +8.5269857625899004e+00 +0.0000000000000000e+00 -7.1794871776049296e-01 -2.8336180280812962e-02 -5.2350453403426089e-01 +5.4246191218801035e-03
-7.5000000000000000e-01 +8.5269836560364602e+00 +0.0000000000000000e+00 -7.6923076899926102e-01 -2.8337434474052573e-02 -5.2351774100363269e-01 +5.4268949965474520e-03
-8.0000000000000004e-01 +8.5269814042003400e+00 +0.0000000000000000e+00 -8.2051282023185501e-01 -2.8338713712543054e-02 -5.2353130653561730e-01 +5.4291624425575943e-03
-8.4999999999999998e-01 +8.5269790070851705e+00 +0.0000000000000000e+00 -8.7179487145786405e-01 -2.8340017794051615e-02 -5.2354522922373570e-01 +5.4314212418953055e-03
-9.0000000000000002e-01 +8.5269764646909607e+00 +0.0000000000000000e+00 -9.2307692267687602e-01 -2.8341346516347794e-02 -5.2355950766154913e-01 +5.4336711765451181e-03
-9.4999999999999996e-01 +8.5269737770140601e+00 +0.0000000000000000e+00 -9.7435897388848103e-01 -2.8342699677203438e-02 -5.2357414044265915e-01 +5.4359120284913250e-03
-1.0000000000000000e+00 +8.5269709440617607e+00 +0.0000000000000000e+00 -1.0256410250922601e+00 -2.8344077074387589e-02 -5.2358912616060649e-01 +5.4381435797167949e-03
-1.0500000000000000e+00 +8.5269679658304103e+00 +0.0000000000000000e+00 -1.0769230762878199e+00 -2.8345478505674183e-02 -5.2360446340902267e-01 +5.4403656122047044e-03
-1.1000000000000001e+00 +8.5269648423163709e+00 +0.0000000000000000e+00 -1.1282051274747300e+00 -2.8346903768838153e-02 -5.2362015078155355e-01 +5.4425779079376674e-03
-1.1499999999999999e+00 +8.5269615735232893e+00 +0.0000000000000000e+00 -1.1794871786525800e+00 -2.8348352661652861e-02 -5.2363618687180968e-01 +5.4447802488971240e-03
-1.2000000000000000e+00 +8.5269581594511692e+00 +0.0000000000000000e+00 -1.2307692298209700e+00 -2.8349824981893968e-02 -5.2365257027344070e-01 +5.4469724170642074e-03
-1.2500000000000000e+00 +8.5269546000999998e+00 +0.0000000000000000e+00 -1.2820512809794800e+00 -2.8351320527338124e-02 -5.2366929958011066e-01 +5.4491541944194531e-03
-1.3000000000000000e+00 +8.5269508954661397e+00 +0.0000000000000000e+00 -1.3333333321277101e+00 -2.8352839095764252e-02 -5.2368637338552249e-01 +5.4513253629430583e-03
-1.3500000000000001e+00 +8.5269470455568808e+00 +0.0000000000000000e+00 -1.3846153832652299e+00 -2.8354380484948392e-02 -5.2370379028331870e-01 +5.4534857046137208e-03
-1.3999999999999999e+00 +8.5269430503649293e+00 +0.0000000000000000e+00 -1.4358974343916400e+00 -2.8355944492672636e-02 -5.2372154886725464e-01 +5.4556350014106515e-03
