# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.5269999999999992e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.9599303737862518e-02 -5.5312020633303138e-01 +5.3489132512317857e-03
5.0000000000000003e-02 +8.5269999309953661e+00 +0.0000000000000000e+00 +4.9999999999936512e-02 -2.9599493378005749e-02 -5.5312194374999013e-01 +5.3494497766184250e-03
1.0000000000000001e-01 +8.5269997239811648e+00 +0.0000000000000000e+00 +9.9999999999492092e-02 -2.9599700689350198e-02 -5.5312406395036406e-01 +5.3499957104204115e-03
1.5000000000000002e-01 +8.5269993789568641e+00 +0.0000000000000000e+00 +1.4999999999828581e-01 -2.9599925789907611e-02 -5.5312656619142553e-01 +5.3505510315797122e-03
2.0000000000000001e-01 +8.5269988959218406e+00 +0.0000000000000000e+00 +1.9999999999593671e-01 -2.9600168797690337e-02 -5.5312944973046674e-01 +5.3511157190387409e-03
2.5000000000000000e-01 +8.5269982748753748e+00 +0.0000000000000000e+00 +2.4999999999206385e-01 -2.9600429830711306e-02 -5.5313271382479912e-01 +5.3516897517403511e-03
2.9999999999999999e-01 +8.5269975158166513e+00 +0.0000000000000000e+00 +2.9999999998628629e-01 -2.9600709006984034e-02 -5.5313635773175451e-01 +5.3522731086278266e-03
3.4999999999999998e-01 +8.5269966187447626e+00 +0.0000000000000000e+00 +3.4999999997822306e-01 -2.9601006444522668e-02 -5.5314038070868277e-01 +5.3528657686448709e-03
3.9999999999999997e-01 +8.5269955836587048e+00 +0.0000000000000000e+00 +3.9999999996749314e-01 -2.9601322261341993e-02 -5.5314478201295403e-01 +5.3534677107356038e-03
4.4999999999999996e-01 +8.5269944105573785e+00 +0.0000000000000000e+00 +4.4999999995371559e-01 -2.9601656575457401e-02 -5.5314956090195622e-01 +5.3540789138445417e-03
4.9999999999999994e-01 +8.5269930994395917e+00 +0.0000000000000000e+00 +4.9999999993650940e-01 -2.9602009504885000e-02 -5.5315471663309757e-01 +5.3546993569166083e-03
5.4999999999999993e-01 +8.5269916503040584e+00 +0.0000000000000000e+00 +5.4999999991549364e-01 -2.9602381167641568e-02 -5.5316024846380363e-01 +5.3553290188971077e-03
5.9999999999999998e-01 +8.5269900631493982e+00 +0.0000000000000000e+00 +5.9999999989028718e-01 -2.9602771681744539e-02 -5.5316615565151905e-01 +5.3559678787317207e-03
6.5000000000000002e-01 +8.5269883379741387e+00 +0.0000000000000000e+00 +6.4999999986050905e-01 -2.9603181165212083e-02 -5.5317243745370637e-01 +5.3566159153665069e-03
7.0000000000000007e-01 +8.5269864747767095e+00 +0.0000000000000000e+00 +6.9999999982577810e-01 -2.9603609736063120e-02 -5.5317909312784719e-01 +5.3572731077478819e-03
7.5000000000000011e-01 +8.5269844735554532e+00 +0.0000000000000000e+00 +7.4999999978571330e-01 -2.9604057512317285e-02 -5.5318612193143979e-01 +5.3579394348226240e-03
8.0000000000000016e-01 +8.5269823343086131e+00 +0.0000000000000000e+00 +7.9999999973993363e-01 -2.9604524611994951e-02 -5.5319352312200143e-01 +5.3586148755378447e-03
8.5000000000000020e-01 +8.5269800570343453e+00 +0.0000000000000000e+00 +8.4999999968805795e-01 -2.9605011153117308e-02 -5.5320129595706613e-01 +5.3592994088410024e-03
9.0000000000000024e-01 +8.5269776417307082e+00 +0.0000000000000000e+00 +8.9999999962970512e-01 -2.9605517253706339e-02 -5.5320943969418623e-01 +5.3599930136798849e-03
9.5000000000000029e-01 +8.5269750883956714e+00 +0.0000000000000000e+00 +9.4999999956449399e-01 -2.9606043031784778e-02 -5.5321795359093062e-01 +5.3606956690025881e-03
1.0000000000000002e+00 +8.5269723970271105e+00 +0.0000000000000000e+00 +9.9999999949204343e-01 -2.9606588605376214e-02 -5.5322683690488594e-01 +5.3614073537575383e-03
1.0500000000000003e+00 +8.5269695676228086e+00 +0.0000000000000000e+00 +1.0499999994119722e+00 -2.9607154092505087e-02 -5.5323608889365528e-01 +5.3621280468934491e-03
1.1000000000000003e+00 +8.5269666001804563e+00 +0.0000000000000000e+00 +1.0999999993238991e+00 -2.9607739611196678e-02 -5.5324570881485946e-01 +5.3628577273593441e-03
1.1500000000000004e+00 +8.5269634946976538e+00 +0.0000000000000000e+00 +1.1499999992274430e+00 -2.9608345279477116e-02 -5.5325569592613499e-01 +5.3635963741045251e-03
1.2000000000000004e+00 +8.5269602511719107e+00 +0.0000000000000000e+00 +1.1999999991222225e+00 -2.9608971215373450e-02 -5.5326604948513547e-01 +5.3643439660785702e-03
1.2500000000000004e+00 +8.5269568696006424e+00 +0.0000000000000000e+00 +1.2499999990078565e+00 -2.9609617536913591e-02 -5.5327676874953080e-01 +5.3651004822313332e-03
1.3000000000000005e+00 +8.5269533499811754e+00 +0.0000000000000000e+00 +1.2999999988839634e+00 -2.9610284362126402e-02 -5.5328785297700678e-01 +5.3658659015129303e-03
1.3500000000000005e+00 +8.5269496923107422e+00 +0.0000000000000000e+00 +1.3499999987501621e+00 -2.9610971809041649e-02 -5.5329930142526540e-01 +5.3666402028737271e-03
1.4000000000000006e+00 +8.5269458965864882e+00 +0.0000000000000000e+00 +1.3999999986060709e+00 -2.9611679995690077e-02 -5.5331111335202487e-01 +5.3674233652643366e-03
1.4500000000000006e+00 +8.5269419628054663e+00 +0.0000000000000000e+00 +1.4499999984513088e+00 -2.9612409040103344e-02 -5.5332328801501807e-01 +5.3682153676356068e-03
1.5000000000000007e+00 +8.5269378909646374e+00 +0.0000000000000000e+00 +1.4999999982854941e+00 -2.9613159060314143e-02 -5.5333582467199471e-01 +5.3690161889386155e-03
1.5500000000000007e+00 +8.5269336810608749e+00 +0.0000000000000000e+00 +1.5499999981082453e+00 -2.9613930174356116e-02 -5.5334872258071910e-01 +5.3698258081246618e-03
1.6000000000000008e+00 +8.5269293330909601e+00 +0.0000000000000000e+00 +1.5999999979191810e+00 -2.9614722500263962e-02 -5.5336198099897116e-01 +5.3706442041452536e-03
1.6500000000000008e+00 +8.5269248470515855e+00 +0.0000000000000000e+00 +1.6499999977179196e+00 -2.9615536156073364e-02 -5.5337559918454504e-01 +5.3714713559521038e-03
1.7000000000000008e+00 +8.5269202229393528e+00 +0.0000000000000000e+00 +1.6999999975040796e+00 -2.9616371259821049e-02 -5.5338957639525066e-01 +5.3723072424971159e-03
1.7500000000000009e+00 +8.5269154607507733e+00 +0.0000000000000000e+00 +1.7499999972772793e+00 -2.9617227929544823e-02 -5.5340391188891236e-01 +5.3731518427323826e-03
1.8000000000000009e+00 +8.5269105604822713e+00 +0.0000000000000000e+00 +1.7999999970371370e+00 -2.9618106283283565e-02 -5.5341860492336892e-01 +5.3740051356101805e-03
1.8500000000000010e+00 +8.5269055221301819e+00 +0.0000000000000000e+00 +1.8499999967832712e+00 -2.9619006439077236e-02 -5.5343365475647399e-01 +5.3748671000829439e-03
1.9000000000000010e+00 +8.5269003456907484e+00 +0.0000000000000000e+00 +1.8999999965153000e+00 -2.9619928514966906e-02 -5.5344906064609456e-01 +5.3757377151032789e-03
1.9500000000000011e+00 +8.5268950311601284e+00 +0.0000000000000000e+00 +1.9499999962328418e+00 -2.9620872628994738e-02 -5.5346482185011225e-01 +5.3766169596239366e-03
2.0000000000000009e+00 +8.5268895785343890e+00 +0.0000000000000000e+00 +1.9999999959355146e+00 -2.9621838899204066e-02 -5.5348093762642259e-01 +5.3775048125978180e-03
2.0500000000000007e+00 +8.5268839878095086e+00 +0.0000000000000000e+00 +2.0499999956229367e+00 -2.9622827376056222e-02 -5.5349740699215033e-01 +5.3784012464966873e-03
2.1000000000000005e+00 +8.5268782589813767e+00 +0.0000000000000000e+00 +2.0999999952947261e+00 -2.9623837839680769e-02 -5.5351422800129302e-01 +5.3793062078674094e-03
2.1500000000000004e+00 +8.5268723920457994e+00 +0.0000000000000000e+00 +2.1499999949505009e+00 -2.9624870002624752e-02 -5.5353139846707500e-01 +5.3802196367758650e-03
2.2000000000000002e+00 +8.5268663869984902e+00 +0.0000000000000000e+00 +2.1999999945898789e+00 -2.9625923577435737e-02 -5.5354891620273161e-01 +5.3811414732882505e-03
2.2500000000000000e+00 +8.5268602438350793e+00 +0.0000000000000000e+00 +2.2499999942124784e+00 -2.9626998276661827e-02 -5.5356677902150897e-01 +5.3820716574710693e-03
2.2999999999999998e+00 +8.5268539625511099e+00 +0.0000000000000000e+00 +2.2999999938179174e+00 -2.9628093812851645e-02 -5.5358498473666407e-01 +5.3830101293911468e-03
2.3499999999999996e+00 +8.5268475431420399e+00 +0.0000000000000000e+00 +2.3499999934058136e+00 -2.9629209898554304e-02 -5.5360353116146233e-01 +5.3839568291156230e-03
2.3999999999999995e+00 +8.5268409856032417e+00 +0.0000000000000000e+00 +2.3999999929757845e+00 -2.9630346246319415e-02 -5.5362241610918139e-01 +5.3849116967119590e-03
2.4499999999999993e+00 +8.5268342899300027e+00 +0.0000000000000000e+00 +2.4499999925274483e+00 -2.9631502568697014e-02 -5.5364163739310635e-01 +5.3858746722479410e-03
2.4999999999999991e+00 +8.5268274561175268e+00 +0.0000000000000000e+00 +2.4999999920604226e+00 -2.9632678578237561e-02 -5.5366119282653259e-01 +5.3868456957916781e-03
2.5499999999999989e+00 +8.5268204841609361e+00 +0.0000000000000000e+00 +2.5499999915743250e+00 -2.9633873987491982e-02 -5.5368108022276463e-01 +5.3878247074116122e-03
2.5999999999999988e+00 +8.5268133740552674e+00 +0.0000000000000000e+00 +2.5999999910687732e+00 -2.9635088509011535e-02 -5.5370129739511476e-01 +5.3888116471765167e-03
2.6499999999999986e+00 +8.5268061257954777e+00 +0.0000000000000000e+00 +2.6499999905433844e+00 -2.9636321855347900e-02 -5.5372184215690445e-01 +5.3898064551554980e-03
2.6999999999999984e+00 +8.5267987393764404e+00 +0.0000000000000000e+00 +2.6999999899977767e+00 -2.9637573739053069e-02 -5.5374271232146266e-01 +5.3908090714179981e-03
2.7499999999999982e+00 +8.5267912147929472e+00 +0.0000000000000000e+00 +2.7499999894315672e+00 -2.9638843872679399e-02 -5.5376390570212630e-01 +5.3918194360337993e-03
