# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.5269999999999904e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -3.0952340487062229e-02 -5.8092864367391039e-01 +5.6112733771030779e-03
5.0000000000000003e-02 +8.5269999309457507e+00 +0.0000000000000000e+00 +4.9999999999936401e-02 -3.0952661060606682e-02 -5.8092948515700760e-01 +5.6113559246251327e-03
1.0000000000000001e-01 +8.5269997237883199e+00 +0.0000000000000000e+00 +9.9999999999491399e-02 -3.0952997475816941e-02 -5.8093064488942003e-01 +5.6114504067159496e-03
1.4999999999999999e-01 +8.5269993785295792e+00 +0.0000000000000000e+00 +1.4999999999828301e-01 -3.0953349606332479e-02 -5.8093212247738368e-01 +5.6115568095302113e-03
2.0000000000000001e-01 +8.5269988951622508e+00 +0.0000000000000000e+00 +1.9999999999593099e-01 -3.0953717325798422e-02 -5.8093391752721835e-01 +5.6116751192237819e-03
2.5000000000000000e-01 +8.5269982736936107e+00 +0.0000000000000000e+00 +2.4999999999205300e-01 -3.0954100507855561e-02 -5.8093602964514635e-01 +5.6118053219519591e-03
2.9999999999999999e-01 +8.5269975141200103e+00 +0.0000000000000000e+00 +2.9999999998626797e-01 -3.0954499026150994e-02 -5.8093845843748770e-01 +5.6119474038713677e-03
3.4999999999999998e-01 +8.5269966164378292e+00 +0.0000000000000000e+00 +3.4999999997819298e-01 -3.0954912754333382e-02 -5.8094120351057577e-01 +5.6121013511391329e-03
4.0000000000000002e-01 +8.5269955806543294e+00 +0.0000000000000000e+00 +3.9999999996744900e-01 -3.0955341566048386e-02 -5.8094426447067538e-01 +5.6122671499120912e-03
4.5000000000000001e-01 +8.5269944067658798e+00 +0.0000000000000000e+00 +4.4999999995365297e-01 -3.0955785334947670e-02 -5.8094764092414830e-01 +5.6124447863483955e-03
5.0000000000000000e-01 +8.5269930947724806e+00 +0.0000000000000000e+00 +4.9999999993642402e-01 -3.0956243934682780e-02 -5.8095133247734254e-01 +5.6126342466064332e-03
5.5000000000000004e-01 +8.5269916446777607e+00 +0.0000000000000000e+00 +5.4999999991537996e-01 -3.0956717238905026e-02 -5.8095533873659189e-01 +5.6128355168448421e-03
5.9999999999999998e-01 +8.5269900564744603e+00 +0.0000000000000000e+00 +5.9999999989013997e-01 -3.0957205121271501e-02 -5.8095965930832838e-01 +5.6130485832235656e-03
6.5000000000000002e-01 +8.5269883301661995e+00 +0.0000000000000000e+00 +6.4999999986032297e-01 -3.0957707455435916e-02 -5.8096429379891368e-01 +5.6132734319022590e-03
6.9999999999999996e-01 +8.5269864657566394e+00 +0.0000000000000000e+00 +6.9999999982554695e-01 -3.0958224115052994e-02 -5.8096924181472331e-01 +5.6135100490410806e-03
7.5000000000000000e-01 +8.5269844632421208e+00 +0.0000000000000000e+00 +7.4999999978543097e-01 -3.0958754973781553e-02 -5.8097450296220310e-01 +5.6137584208012375e-03
8.0000000000000004e-01 +8.5269823226226400e+00 +0.0000000000000000e+00 +7.9999999973959202e-01 -3.0959299905279781e-02 -5.8098007684778452e-01 +5.6140185333441797e-03
8.4999999999999998e-01 +8.5269800438982202e+00 +0.0000000000000000e+00 +8.4999999968765005e-01 -3.0959858783206673e-02 -5.8098596307791239e-01 +5.6142903728318514e-03
