# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
-0.0000000000000000e+00 -5.7956315698429839e-01 +7.6330511251283877e+00 +3.9114790893469142e+00 -1.7668769055050785e+02 +2.1684122862836641e+04 +7.8026139501314866e+05 -1.1260924622899693e+08 
-5.0000000000000003e-02 -5.7956275873111740e-01 +7.6329660597344260e+00 +3.9151140874600592e+00 -1.7651734676818899e+02 +2.1676196758985247e+04 +7.7879786093527265e+05 -1.1259350457257940e+08 
-1.0000000000000001e-01 -5.7956270933169374e-01 +7.6329006813158786e+00 +3.9182824570490253e+00 -1.7635048325473446e+02 +2.1670295736691100e+04 +7.7732982584094466e+05 -1.1259502784033327e+08 
-1.4999999999999999e-01 -5.7956300822009144e-01 +7.6328549070963536e+00 +3.9209858832811531e+00 -1.7618656582752917e+02 +2.1666377380403133e+04 +7.7585634910935466e+05 -1.1261341324834548e+08 
-2.0000000000000001e-01 -5.7956365483049699e-01 +7.6328286542979944e+00 +3.9232260578095617e+00 -1.7602506022811701e+02 +2.1664399102854426e+04 +7.7437648953321495e+05 -1.1264825686816134e+08 
-2.5000000000000000e-01 -5.7956464859698775e-01 +7.6328218401448806e+00 +3.9250046696608045e+00 -1.7586543224544857e+02 +2.1664318385551254e+04 +7.7288930632233049e+05 -1.1269915522505642e+08 
-2.9999999999999999e-01 -5.7956598895373668e-01 +7.6328343818615219e+00 +3.9263234076064233e+00 -1.7570714764638575e+02 +2.1666092716174688e+04 +7.7139385844917456e+05 -1.1276570488563970e+08 
-3.4999999999999998e-01 -5.7956767533494624e-01 +7.6328661966734268e+00 +3.9271839625264255e+00 -1.7554967223892379e+02 +2.1669679527133248e+04 +7.6988920534146205e+05 -1.1284750204726723e+08 
-4.0000000000000002e-01 -5.7956970717473788e-01 +7.6329172018070084e+00 +3.9275880228088957e+00 -1.7539247181606336e+02 +2.1675036319744453e+04 +7.6837440623792354e+05 -1.1294414338183121e+08 
-4.5000000000000001e-01 -5.7957208390732751e-01 +7.6329873144883802e+00 +3.9275372760873628e+00 -1.7523501214746932e+02 +2.1682120615453128e+04 +7.6684852022979048e+05 -1.1305522569423707e+08 
-5.0000000000000000e-01 -5.7957480496695091e-01 +7.6330764519446701e+00 +3.9270334161152918e+00 -1.7507675900685851e+02 +2.1690889764356420e+04 +7.6531060643638915e+05 -1.1318034460825205e+08 
-5.5000000000000004e-01 -5.7957786978778125e-01 +7.6331845314038365e+00 +3.9260781272057281e+00 -1.7491717819105307e+02 +2.1701301380480923e+04 +7.6375972421974549e+05 -1.1331909757062411e+08 
-5.9999999999999998e-01 -5.7958127780413671e-01 +7.6333114700948839e+00 +3.9246731021122896e+00 -1.7475573550399946e+02 +2.1713312844646742e+04 +7.6219493297781760e+05 -1.1347108042895639e+08 
-6.5000000000000002e-01 -5.7958502845023874e-01 +7.6334571852481634e+00 +3.9228200285874237e+00 -1.7459189677689838e+02 +2.1726881672080948e+04 +7.6061529233962786e+05 -1.1363588993793251e+08 
-6.9999999999999996e-01 -5.7958912116033179e-01 +7.6336215940922072e+00 +3.9205205955031981e+00 -1.7442512774192176e+02 +2.1741965349278078e+04 +7.5901986113895813e+05 -1.1381312266407868e+08 
-7.5000000000000000e-01 -5.7959355536873736e-01 +7.6338046138586551e+00 +3.9177764931662691e+00 -1.7425489423926209e+02 +2.1758521323266701e+04 +7.5740769912020862e+05 -1.1400237490777086e+08 
-8.0000000000000004e-01 -5.7959833050975051e-01 +7.6340061617785633e+00 +3.9145894092494018e+00 -1.7408066204156898e+02 +2.1776507113465814e+04 +7.5577786541803216e+05 -1.1420324346501574e+08 
-8.4999999999999998e-01 -5.7960344601769132e-01 +7.6342261550826658e+00 +3.9109610333490403e+00 -1.7390189690210576e+02 +2.1795880184347574e+04 +7.5412941908989591e+05 -1.1441532474755223e+08 
-9.0000000000000002e-01 -5.7960890132689880e-01 +7.6344645110059171e+00 +3.9068930558543373e+00 -1.7371806471056726e+02 +2.1816597978388549e+04 +7.5246142028236389e+05 -1.1463821501963277e+08 
-9.4999999999999996e-01 -5.7961469587167536e-01 +7.6347211467819402e+00 +3.9023871630989082e+00 -1.7352863127882003e+02 +2.1838618045531344e+04 +7.5077292852574936e+05 -1.1487151126414581e+08 
-1.0000000000000000e+00 -5.7962082908645562e-01 +7.6349959796420777e+00 +3.8974450468968400e+00 -1.7333306230059782e+02 +2.1861897795521272e+04 +7.4906300236205652e+05 -1.1511480955031508e+08 
-1.0500000000000000e+00 -5.7962730040558008e-01 +7.6352889268242858e+00 +3.8920683952618762e+00 -1.7313082370500300e+02 +2.1886394731003140e+04 +7.4733070225486753e+05 -1.1536770653852083e+08 
-1.1000000000000001e+00 -5.7963410926340586e-01 +7.6355999055612740e+00 +3.8862588963616740e+00 -1.7292138119474521e+02 +2.1912066352419733e+04 +7.4557508686818718e+05 -1.1562979888251048e+08 
-1.1499999999999999e+00 -5.7964125509436148e-01 +7.6359288330909001e+00 +3.8800182390052802e+00 -1.7270420064539519e+02 +2.1938870140039722e+04 +7.4379521622539207e+05 -1.1590068309459664e+08 
-1.2000000000000000e+00 -5.7964873733287636e-01 +7.6362756266504599e+00 +3.8733481136422880e+00 -1.7247874788901811e+02 +2.1966763537282401e+04 +7.4199015002378623e+05 -1.1617995546548007e+08 
-1.2500000000000000e+00 -5.7965655541336158e-01 +7.6366402034736147e+00 +3.8662502062021966e+00 -1.7224448858395624e+02 +2.1995704096255380e+04 +7.4015894653135363e+05 -1.1646721297337359e+08 
-1.3000000000000000e+00 -5.7966470877027665e-01 +7.6370224808028340e+00 +3.8587262079153453e+00 -1.7200088871887215e+02 +2.2025649234205161e+04 +7.3830066671472648e+05 -1.1676205171830074e+08 
-1.3500000000000001e+00 -5.7967319683808249e-01 +7.6374223758753148e+00 +3.8507778077324386e+00 -1.7174741404804996e+02 +2.2056556427954165e+04 +7.3641436963508255e+05 -1.1706406819736141e+08 
-1.3999999999999999e+00 -5.7968201905121353e-01 +7.6378398059305423e+00 +3.8424066932507435e+00 -1.7148353038440800e+02 +2.2088383183815051e+04 +7.3449911481403536e+05 -1.1737285908638954e+08 
-1.4500000000000000e+00 -5.7969117484420873e-01 +7.6382746882105481e+00 +3.8336145526721848e+00 -1.7120870362073461e+02 +2.2121086995216210e+04 +7.3255396239687304e+05 -1.1768802098553620e+08 
-1.5000000000000000e+00 -5.7970066365151840e-01 +7.6387269399511597e+00 +3.8244030759598302e+00 -1.7092239938496979e+02 +2.2154625306675905e+04 +7.3057797044413933e+05 -1.1800915016533686e+08 
-1.5500000000000000e+00 -5.7971048490767962e-01 +7.6391964783976860e+00 +3.8147739514702197e+00 -1.7062408363770416e+02 +2.2188955603785667e+04 +7.2857019960408518e+05 -1.1833584316758323e+08 
-1.6000000000000001e+00 -5.7972063804720519e-01 +7.6396832207912579e+00 +3.8047288655263620e+00 -1.7031322218262255e+02 +2.2224035426609717e+04 +7.2652970938227745e+05 -1.1866769690336843e+08 
-1.6499999999999999e+00 -5.7973112250464820e-01 +7.6401870843751443e+00 +3.7942695096401389e+00 -1.6998928084297270e+02 +2.2259822171703636e+04 +7.2445555928862223e+05 -1.1900430730496807e+08 
-1.7000000000000000e+00 -5.7974193771454707e-01 +7.6407079863927390e+00 +3.7833975703855449e+00 -1.6965172545287436e+02 +2.2296273367787693e+04 +7.2234680902288586e+05 -1.1934527119721963e+08 
-1.7500000000000000e+00 -5.7975308311146967e-01 +7.6412458440879361e+00 +3.7721147364002876e+00 -1.6930002182238815e+02 +2.2333346491031094e+04 +7.2020251801026938e+05 -1.1969018506325653e+08 
