# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
-0.0000000000000000e+00 +8.5270000000000206e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-5.0000000000000003e-02 +8.5269999309457507e+00 +0.0000000000000000e+00 -4.9999999999936401e-02 +2.7621298722361398e-06 +0.0000000000000000e+00 +9.9999999999618505e-01
-1.0000000000000001e-01 +8.5269997237846802e+00 +0.0000000000000000e+00 -9.9999999999491399e-02 +5.5242597444512097e-06 +0.0000000000000000e+00 +9.9999999998474098e-01
-1.4999999999999999e-01 +8.5269993785186706e+00 +0.0000000000000000e+00 -1.4999999999828301e-01 +8.2863896166241197e-06 +0.0000000000000000e+00 +9.9999999996566802e-01
-2.0000000000000001e-01 +8.5269988951477007e+00 +0.0000000000000000e+00 -1.9999999999593099e-01 +1.1048519488733800e-05 +0.0000000000000000e+00 +9.9999999993896505e-01
-2.5000000000000000e-01 +8.5269982736681396e+00 +0.0000000000000000e+00 -2.4999999999205300e-01 +1.3810649360759200e-05 +0.0000000000000000e+00 +9.9999999990463295e-01
-2.9999999999999999e-01 +8.5269975140799907e+00 +0.0000000000000000e+00 -2.9999999998626697e-01 +1.6572779232679301e-05 +0.0000000000000000e+00 +9.9999999986267196e-01
-3.4999999999999998e-01 +8.5269966163905302e+00 +0.0000000000000000e+00 -3.4999999997819298e-01 +1.9334909104472899e-05 +0.0000000000000000e+00 +9.9999999981308096e-01
-4.0000000000000002e-01 +8.5269955805888493e+00 +0.0000000000000000e+00 -3.9999999996744801e-01 +2.2097038976118999e-05 +0.0000000000000000e+00 +9.9999999975585996e-01
-4.5000000000000001e-01 +8.5269944066858407e+00 +0.0000000000000000e+00 -4.4999999995365197e-01 +2.4859168847596499e-05 +0.0000000000000000e+00 +9.9999999969101105e-01
-5.0000000000000000e-01 +8.5269930946742498e+00 +0.0000000000000000e+00 -4.9999999993642202e-01 +2.7621298718884300e-05 +0.0000000000000000e+00 +9.9999999961853203e-01
-5.5000000000000004e-01 +8.5269916445577092e+00 +0.0000000000000000e+00 -5.4999999991537796e-01 +3.0383428589961400e-05 +0.0000000000000000e+00 +9.9999999953842400e-01
-5.9999999999999998e-01 +8.5269900563289394e+00 +0.0000000000000000e+00 -5.9999999989013697e-01 +3.3145558460806701e-05 +0.0000000000000000e+00 +9.9999999945068596e-01
-6.5000000000000002e-01 +8.5269883299988596e+00 +0.0000000000000000e+00 -6.4999999986031898e-01 +3.5907688331399102e-05 +0.0000000000000000e+00 +9.9999999935531902e-01
-6.9999999999999996e-01 +8.5269864655601904e+00 +0.0000000000000000e+00 -6.9999999982554195e-01 +3.8669818201717599e-05 +0.0000000000000000e+00 +9.9999999925232297e-01
-7.5000000000000000e-01 +8.5269844630165608e+00 +0.0000000000000000e+00 -7.4999999978542398e-01 +4.1431948071741099e-05 +0.0000000000000000e+00 +9.9999999914169702e-01
-8.0000000000000004e-01 +8.5269823223679904e+00 +0.0000000000000000e+00 -7.9999999973958402e-01 +4.4194077941448398e-05 +0.0000000000000000e+00 +9.9999999902344205e-01
-8.4999999999999998e-01 +8.5269800436108198e+00 +0.0000000000000000e+00 -8.4999999968764095e-01 +4.6956207810818598e-05 +0.0000000000000000e+00 +9.9999999889755697e-01
-9.0000000000000002e-01 +8.5269776267450705e+00 +0.0000000000000000e+00 -8.9999999962921295e-01 +4.9718337679830503e-05 +0.0000000000000000e+00 +9.9999999876404300e-01
-9.4999999999999996e-01 +8.5269750717743609e+00 +0.0000000000000000e+00 -9.4999999956391801e-01 +5.2480467548463100e-05 +0.0000000000000000e+00 +9.9999999862290001e-01
-1.0000000000000000e+00 +8.5269723786986997e+00 +0.0000000000000000e+00 -9.9999999949137597e-01 +5.5242597416695301e-05 +0.0000000000000000e+00 +9.9999999847412802e-01
-1.0500000000000000e+00 +8.5269695475144491e+00 +0.0000000000000000e+00 -1.0499999994111999e+00 +5.8004727284506100e-05 +0.0000000000000000e+00 +9.9999999831772601e-01
-1.1000000000000001e+00 +8.5269665782288904e+00 +0.0000000000000000e+00 -1.0999999993230201e+00 +6.0766857151874300e-05 +0.0000000000000000e+00 +9.9999999815369500e-01
-1.1499999999999999e+00 +8.5269634708311095e+00 +0.0000000000000000e+00 -1.1499999992264500e+00 +6.3528987018778902e-05 +0.0000000000000000e+00 +9.9999999798203398e-01
-1.2000000000000000e+00 +8.5269602253283701e+00 +0.0000000000000000e+00 -1.1999999991210999e+00 +6.6291116885198805e-05 +0.0000000000000000e+00 +9.9999999780274396e-01
-1.2500000000000000e+00 +8.5269568417206791e+00 +0.0000000000000000e+00 -1.2499999990065900e+00 +6.9053246751112901e-05 +0.0000000000000000e+00 +9.9999999761582503e-01
-1.3000000000000000e+00 +8.5269533200044005e+00 +0.0000000000000000e+00 -1.2999999988825499e+00 +7.1815376616500304e-05 +0.0000000000000000e+00 +9.9999999742127599e-01
