# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +8.5270000000000206e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 -2.7734556229230461e-02 -5.2273025090274539e-01 +5.2957585081451364e-03
-5.0000000000000003e-02 +8.5269999309457507e+00 +0.0000000000000000e+00 -4.9999999999936401e-02 -2.7734730726986415e-02 -5.2273153513325998e-01 +5.2958331194456849e-03
-1.0000000000000001e-01 +8.5269997237846802e+00 +0.0000000000000000e+00 -9.9999999999491399e-02 -2.7734920164033800e-02 -5.2273320451926408e-01 +5.2959092463558000e-03
-1.4999999999999999e-01 +8.5269993785186706e+00 +0.0000000000000000e+00 -1.4999999999828301e-01 -2.7735124638068955e-02 -5.2273525820253108e-01 +5.2959869020871783e-03
-2.0000000000000001e-01 +8.5269988951477007e+00 +0.0000000000000000e+00 -1.9999999999593099e-01 -2.7735344246788453e-02 -5.2273769532486447e-01 +5.2960660998517071e-03
-2.5000000000000000e-01 +8.5269982736681396e+00 +0.0000000000000000e+00 -2.4999999999205300e-01 -2.7735579087889768e-02 -5.2274051502810892e-01 +5.2961468528615876e-03
-2.9999999999999999e-01 +8.5269975140799907e+00 +0.0000000000000000e+00 -2.9999999998626697e-01 -2.7735829259068825e-02 -5.2274371645410034e-01 +5.2962291743288339e-03
-3.4999999999999998e-01 +8.5269966163905302e+00 +0.0000000000000000e+00 -3.4999999997819298e-01 -2.7736094858018760e-02 -5.2274729874464310e-01 +5.2963130774649958e-03
-4.0000000000000002e-01 +8.5269955805888493e+00 +0.0000000000000000e+00 -3.9999999996744801e-01 -2.7736375982438922e-02 -5.2275126104168157e-01 +5.2963985754829771e-03
-4.5000000000000001e-01 +8.5269944066858407e+00 +0.0000000000000000e+00 -4.4999999995365197e-01 -2.7736672730020919e-02 -5.2275560248702757e-01 +5.2964856815941866e-03
-5.0000000000000000e-01 +8.5269930946742498e+00 +0.0000000000000000e+00 -4.9999999993642202e-01 -2.7736985198462637e-02 -5.2276032222263391e-01 +5.2965744090113813e-03
-5.5000000000000004e-01 +8.5269916445577092e+00 +0.0000000000000000e+00 -5.4999999991537796e-01 -2.7737313485458232e-02 -5.2276541939039500e-01 +5.2966647709466056e-03
-5.9999999999999998e-01 +8.5269900563289394e+00 +0.0000000000000000e+00 -5.9999999989013697e-01 -2.7737657688705741e-02 -5.2277089313229663e-01 +5.2967567806127339e-03
-6.5000000000000002e-01 +8.5269883299988596e+00 +0.0000000000000000e+00 -6.4999999986031898e-01 -2.7738017905896931e-02 -5.2277674259021589e-01 +5.2968504512213967e-03
-6.9999999999999996e-01 +8.5269864655601904e+00 +0.0000000000000000e+00 -6.9999999982554195e-01 -2.7738394234730186e-02 -5.2278296690617077e-01 +5.2969457959855777e-03
-7.5000000000000000e-01 +8.5269844630165608e+00 +0.0000000000000000e+00 -7.4999999978542398e-01 -2.7738786772900349e-02 -5.2278956522212039e-01 +5.2970428281175373e-03
-8.0000000000000004e-01 +8.5269823223679904e+00 +0.0000000000000000e+00 -7.9999999973958402e-01 -2.7739195618103840e-02 -5.2279653668006520e-01 +5.2971415608298435e-03
-8.4999999999999998e-01 +8.5269800436108198e+00 +0.0000000000000000e+00 -8.4999999968764095e-01 -2.7739620868038779e-02 -5.2280388042204640e-01 +5.2972420073353829e-03
-9.0000000000000002e-01 +8.5269776267450705e+00 +0.0000000000000000e+00 -8.9999999962921295e-01 -2.7740062620402468e-02 -5.2281159559009605e-01 +5.2973441808468321e-03
-9.4999999999999996e-01 +8.5269750717743609e+00 +0.0000000000000000e+00 -9.4999999956391801e-01 -2.7740520972891394e-02 -5.2281968132623657e-01 +5.2974480945766449e-03
-1.0000000000000000e+00 +8.5269723786986997e+00 +0.0000000000000000e+00 -9.9999999949137597e-01 -2.7740996023203974e-02 -5.2282813677253193e-01 +5.2975537617376079e-03
-1.0500000000000000e+00 +8.5269695475144491e+00 +0.0000000000000000e+00 -1.0499999994111999e+00 -2.7741487869040505e-02 -5.2283696107108601e-01 +5.2976611955427950e-03
