# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +8.5269999999999904e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 -2.4579882272678929e-04 -5.3819860558362409e-01 -1.1897905300567650e-03
-5.0000000000000003e-02 +8.5269999309457507e+00 +0.0000000000000000e+00 -4.9999999999936401e-02 -2.4551568337796318e-04 -5.3819892901177446e-01 -1.1916706035544919e-03
-1.0000000000000001e-01 +8.5269997237883199e+00 +0.0000000000000000e+00 -9.9999999999491399e-02 -2.4521982932597104e-04 -5.3819965373994438e-01 -1.1935428970021029e-03
-1.4999999999999999e-01 +8.5269993785295792e+00 +0.0000000000000000e+00 -1.4999999999828301e-01 -2.4491211833556039e-04 -5.3820077825933399e-01 -1.1954073843160014e-03
-2.0000000000000001e-01 +8.5269988951622508e+00 +0.0000000000000000e+00 -1.9999999999593099e-01 -2.4459340816900682e-04 -5.3820230106121159e-01 -1.1972640394123891e-03
-2.5000000000000000e-01 +8.5269982736936107e+00 +0.0000000000000000e+00 -2.4999999999205300e-01 -2.4426455658499186e-04 -5.3820422063674878e-01 -1.1991128362068822e-03
-2.9999999999999999e-01 +8.5269975141200103e+00 +0.0000000000000000e+00 -2.9999999998626797e-01 -2.4392642133894162e-04 -5.3820653547720365e-01 -1.2009537486150238e-03
-3.4999999999999998e-01 +8.5269966164378292e+00 +0.0000000000000000e+00 -3.4999999997819298e-01 -2.4357986018228375e-04 -5.3820924407384207e-01 -1.2027867505521293e-03
-4.0000000000000002e-01 +8.5269955806543294e+00 +0.0000000000000000e+00 -3.9999999996744900e-01 -2.4322573086170348e-04 -5.3821234491786696e-01 -1.2046118159331381e-03
-4.5000000000000001e-01 +8.5269944067658798e+00 +0.0000000000000000e+00 -4.4999999995365297e-01 -2.4286489111937718e-04 -5.3821583650057159e-01 -1.2064289186730589e-03
-5.0000000000000000e-01 +8.5269930947724806e+00 +0.0000000000000000e+00 -4.9999999993642402e-01 -2.4249819869211919e-04 -5.3821971731324036e-01 -1.2082380326867502e-03
-5.5000000000000004e-01 +8.5269916446777607e+00 +0.0000000000000000e+00 -5.4999999991537996e-01 -2.4212651131096344e-04 -5.3822398584715025e-01 -1.2100391318889681e-03
-5.9999999999999998e-01 +8.5269900564744603e+00 +0.0000000000000000e+00 -5.9999999989013997e-01 -2.4175068670118240e-04 -5.3822864059367559e-01 -1.2118321901946844e-03
-6.5000000000000002e-01 +8.5269883301661995e+00 +0.0000000000000000e+00 -6.4999999986032297e-01 -2.4137158258121289e-04 -5.3823368004413652e-01 -1.2136171815187266e-03
-6.9999999999999996e-01 +8.5269864657566394e+00 +0.0000000000000000e+00 -6.9999999982554695e-01 -2.4099005666256367e-04 -5.3823910268987751e-01 -1.2153940797760305e-03
-7.5000000000000000e-01 +8.5269844632421208e+00 +0.0000000000000000e+00 -7.4999999978543097e-01 -2.4060696664962052e-04 -5.3824490702232120e-01 -1.2171628588818219e-03
-8.0000000000000004e-01 +8.5269823226226400e+00 +0.0000000000000000e+00 -7.9999999973959202e-01 -2.4022317023889578e-04 -5.3825109153289363e-01 -1.2189234927514625e-03
-8.4999999999999998e-01 +8.5269800438982202e+00 +0.0000000000000000e+00 -8.4999999968765005e-01 -2.3983952511872020e-04 -5.3825765471305087e-01 -1.2206759553005644e-03
-9.0000000000000002e-01 +8.5269776270688507e+00 +0.0000000000000000e+00 -8.9999999962922395e-01 -2.3945688896882486e-04 -5.3826459505428259e-01 -1.2224202204450354e-03
-9.4999999999999996e-01 +8.5269750721381605e+00 +0.0000000000000000e+00 -9.4999999956393100e-01 -2.3907611945981296e-04 -5.3827191104808747e-01 -1.2241562621010610e-03
-1.0000000000000000e+00 +8.5269723790988792e+00 +0.0000000000000000e+00 -9.9999999949139096e-01 -2.3869807425318118e-04 -5.3827960118607832e-01 -1.2258840541854285e-03
-1.0500000000000000e+00 +8.5269695479546499e+00 +0.0000000000000000e+00 -1.0499999994112199e+00 -2.3832341735108653e-04 -5.3828766417155338e-01 -1.2276035776801354e-03
-1.1000000000000001e+00 +8.5269665787091107e+00 +0.0000000000000000e+00 -1.0999999993230400e+00 -2.3795203815238966e-04 -5.3829609955473789e-01 -1.2293148418275244e-03
-1.1499999999999999e+00 +8.5269634713586093e+00 +0.0000000000000000e+00 -1.1499999992264700e+00 -2.3758363240681469e-04 -5.3830490709764989e-01 -1.2310178629354074e-03
-1.2000000000000000e+00 +8.5269602259031707e+00 +0.0000000000000000e+00 -1.1999999991211201e+00 -2.3721789586546378e-04 -5.3831408656229629e-01 -1.2327126573118872e-03
-1.2500000000000000e+00 +8.5269568423427700e+00 +0.0000000000000000e+00 -1.2499999990066200e+00 -2.3685452428177047e-04 -5.3832363771069891e-01 -1.2343992412654529e-03
-1.3000000000000000e+00 +8.5269533206774195e+00 +0.0000000000000000e+00 -1.2999999988825901e+00 -2.3649321341233967e-04 -5.3833356030489199e-01 -1.2360776311050030e-03
-1.3500000000000001e+00 +8.5269496609071194e+00 +0.0000000000000000e+00 -1.3499999987486300e+00 -2.3613365901778991e-04 -5.3834385410692220e-01 -1.2377478431398726e-03
-1.3999999999999999e+00 +8.5269458630355093e+00 +0.0000000000000000e+00 -1.3999999986043801e+00 -2.3577555686348539e-04 -5.3835451887882202e-01 -1.2394098936797874e-03
-1.4500000000000000e+00 +8.5269419270553009e+00 +0.0000000000000000e+00 -1.4499999984494401e+00 -2.3541860272081473e-04 -5.3836555438271017e-01 -1.2410637990351745e-03
-1.5000000000000000e+00 +8.5269378529737896e+00 +0.0000000000000000e+00 -1.4999999982834400e+00 -2.3506249236726723e-04 -5.3837696038061356e-01 -1.2427095755166854e-03
-1.5500000000000000e+00 +8.5269336407873197e+00 +0.0000000000000000e+00 -1.5499999981060000e+00 -2.3470692158803947e-04 -5.3838873663464282e-01 -1.2443472394357252e-03
-1.6000000000000001e+00 +8.5269292904959002e+00 +0.0000000000000000e+00 -1.5999999979167401e+00 -2.3435158617643909e-04 -5.3840088290689159e-01 -1.2459768071041884e-03
-1.6499999999999999e+00 +8.5269248020995292e+00 +0.0000000000000000e+00 -1.6499999977152600e+00 -2.3399618193483676e-04 -5.3841339895945883e-01 -1.2475982948345584e-03
-1.7000000000000000e+00 +8.5269201755982102e+00 +0.0000000000000000e+00 -1.6999999975011999e+00 -2.3364040467550623e-04 -5.3842628455445030e-01 -1.2492117189399322e-03
-1.7500000000000000e+00 +8.5269154109919292e+00 +0.0000000000000000e+00 -1.7499999972741700e+00 -2.3328395022146746e-04 -5.3843953945397449e-01 -1.2508170957340433e-03
-1.8000000000000000e+00 +8.5269105082843506e+00 +0.0000000000000000e+00 -1.7999999970337901e+00 -2.3292651440721921e-04 -5.3845316342011862e-01 -1.2524144415312155e-03
-1.8500000000000001e+00 +8.5269054674718099e+00 +0.0000000000000000e+00 -1.8499999967796801e+00 -2.3256779307990449e-04 -5.3846715621502483e-01 -1.2540037726466097e-03
-1.8999999999999999e+00 +8.5269002885506797e+00 +0.0000000000000000e+00 -1.8999999965114500e+00 -2.3220748209993444e-04 -5.3848151760083518e-01 -1.2555851053961003e-03
-1.9500000000000000e+00 +8.5268949715282396e+00 +0.0000000000000000e+00 -1.9499999962287300e+00 -2.3184527734151217e-04 -5.3849624733961643e-01 -1.2571584560960795e-03
-2.0000000000000000e+00 +8.5268895164008391e+00 +0.0000000000000000e+00 -1.9999999959311201e+00 -2.3148087469411428e-04 -5.3851134519351151e-01 -1.2587238410639242e-03
-2.0499999999999998e+00 +8.5268839230666291e+00 +0.0000000000000000e+00 -2.0499999956182600e+00 -2.3111398126126126e-04 -5.3852681065855457e-01 -1.2602812460900561e-03
-2.1000000000000001e+00 +8.5268781914164702e+00 +0.0000000000000000e+00 -2.0999999952897199e+00 -2.3074434894072650e-04 -5.3854264216361580e-01 -1.2618305348453124e-03
-2.1499999999999999e+00 +8.5268723214576294e+00 +0.0000000000000000e+00 -2.1499999949451398e+00 -2.3037174082798291e-04 -5.3855883786994163e-01 -1.2633715404651257e-03
-2.2000000000000002e+00 +8.5268663131864706e+00 +0.0000000000000000e+00 -2.1999999945841302e+00 -2.2999592002360437e-04 -5.3857539593886139e-01 -1.2649040960813448e-03
-2.2500000000000000e+00 +8.5268601666030008e+00 +0.0000000000000000e+00 -2.2499999942063100e+00 -2.2961664963293236e-04 -5.3859231453168288e-01 -1.2664280348217002e-03
-2.2999999999999998e+00 +8.5268538817035697e+00 +0.0000000000000000e+00 -2.2999999938113000e+00 -2.2923369276637740e-04 -5.3860959180974521e-01 -1.2679431898097234e-03
-2.3500000000000001e+00 +8.5268474584954692e+00 +0.0000000000000000e+00 -2.3499999933987001e+00 -2.2884681253908799e-04 -5.3862722593431334e-01 -1.2694493941642028e-03
-2.3999999999999999e+00 +8.5268408969750507e+00 +0.0000000000000000e+00 -2.3999999929681501e+00 -2.2845577207167154e-04 -5.3864521506673357e-01 -1.2709464809994094e-03
-2.4500000000000002e+00 +8.5268341971459396e+00 +0.0000000000000000e+00 -2.4499999925192602e+00 -2.2806033448975955e-04 -5.3866355736830385e-01 -1.2724342834244818e-03
-2.5000000000000000e+00 +8.5268273590008903e+00 +0.0000000000000000e+00 -2.4999999920516398e+00 -2.2766026292461982e-04 -5.3868225100040190e-01 -1.2739126345435693e-03
-2.5499999999999998e+00 +8.5268203825435194e+00 +0.0000000000000000e+00 -2.5499999915649201e+00 -2.2725532051262148e-04 -5.3870129412433121e-01 -1.2753813674551441e-03
-2.6000000000000001e+00 +8.5268132677774702e+00 +0.0000000000000000e+00 -2.5999999910586999e+00 -2.2684527039563721e-04 -5.3872068490139657e-01 -1.2768403152519886e-03
-2.6499999999999999e+00 +8.5268060146954703e+00 +0.0000000000000000e+00 -2.6499999905326099e+00 -2.2642987572144756e-04 -5.3874042149298129e-01 -1.2782893110212003e-03
-2.7000000000000002e+00 +8.5267986233047797e+00 +0.0000000000000000e+00 -2.6999999899862699e+00 -2.2600889964310056e-04 -5.3876050206036707e-01 -1.2797281878434109e-03
-2.7500000000000000e+00 +8.5267910936017905e+00 +0.0000000000000000e+00 -2.7499999894192899e+00 -2.2558210531973191e-04 -5.3878092476491368e-01 -1.2811567787930930e-03
-2.7999999999999998e+00 +8.5267834255828294e+00 +0.0000000000000000e+00 -2.7999999888312899e+00 -2.2514925591634463e-04 -5.3880168776798043e-01 -1.2825749169381008e-03
-2.8500000000000001e+00 +8.5267756192552007e+00 +0.0000000000000000e+00 -2.8499999882218900e+00 -2.2471011460358368e-04 -5.3882278923084959e-01 -1.2839824353391906e-03
-2.8999999999999999e+00 +8.5267676746152592e+00 +0.0000000000000000e+00 -2.8999999875907001e+00 -2.2426444455845557e-04 -5.3884422731487969e-01 -1.2853791670502611e-03
-2.9500000000000002e+00 +8.5267595916629908e+00 +0.0000000000000000e+00 -2.9499999869373399e+00 -2.2381200896400059e-04 -5.3886600018140263e-01 -1.2867649451178060e-03
