# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.2404632702151099e-01 +6.8930159460224374e+00 +4.4773432306545438e+00 -1.1633059439636979e+02 +1.7751086022755142e+04 +2.6617154658257135e+05 -1.0760520959589404e+08 
+5.0000000000000003e-02 -5.2404525164661575e-01 +6.8929580122954386e+00 +4.4814465947468163e+00 -1.1605753989398492e+02 +1.7715327364067449e+04 +2.6415317034978449e+05 -1.0753879750451235e+08 
+1.0000000000000001e-01 -5.2404452954660474e-01 +6.8929186581066402e+00 +4.4856618349160708e+00 -1.1576207664216197e+02 +1.7667480524647162e+04 +2.6200922168025924e+05 -1.0740481095307779e+08 
+1.4999999999999999e-01 -5.2404416004744570e-01 +6.8928978789257815e+00 +4.4899717134830022e+00 -1.1544559542528729e+02 +1.7607943565904869e+04 +2.5974845621302054e+05 -1.0720534706781396e+08 
+2.0000000000000001e-01 -5.2404414247510955e-01 +6.8928956702216162e+00 +4.4943589883946924e+00 -1.1510948696404893e+02 +1.7537114665128007e+04 +2.5737962909154533e+05 -1.0694250374938913e+08 
+2.5000000000000000e-01 -5.2404447615563265e-01 +6.8929120274634395e+00 +4.4988064223406115e+00 -1.1475514196801241e+02 +1.7455391866297570e+04 +2.5491149537292909e+05 -1.0661837797615771e+08 
+2.9999999999999999e-01 -5.2404516041503058e-01 +6.8929469461192836e+00 +4.5032967755002851e+00 -1.1438395107192756e+02 +1.7363173285952569e+04 +2.5235280952984557e+05 -1.0623506723673700e+08 
+3.4999999999999998e-01 -5.2404619457929169e-01 +6.8930004216591385e+00 +4.5078128095754382e+00 -1.1399730494697586e+02 +1.7260856997327835e+04 +2.4971232630526097e+05 -1.0579466871905993e+08 
+4.0000000000000002e-01 -5.2404757797452861e-01 +6.8930724495533893e+00 +4.5123372836416422e+00 -1.1359659427329545e+02 +1.7148841139521483e+04 +2.4699880057158228e+05 -1.0529928003597802e+08 
+4.5000000000000001e-01 -5.2404930992673548e-01 +6.8931630252702867e+00 +4.5168529590795270e+00 -1.1318320959272161e+02 +1.7027523797342521e+04 +2.4422098603433155e+05 -1.0475099846641040e+08 
+5.0000000000000000e-01 -5.2405138976204191e-01 +6.8932721442812968e+00 +4.5213425969506895e+00 -1.1275854157223053e+02 +1.6897303054252301e+04 +2.4138763747128609e+05 -1.0415192123898852e+08 
+5.5000000000000004e-01 -5.2405381680652496e-01 +6.8933998020548559e+00 +4.5257889589799056e+00 -1.1232398070218622e+02 +1.6758576986248983e+04 +2.3850750814773966e+05 -1.0350414557660025e+08 
+5.9999999999999998e-01 -5.2405659038632524e-01 +6.8935459940640404e+00 +4.5301748027439110e+00 -1.1188091766463721e+02 +1.6611743770076060e+04 +2.3558935299816652e+05 -1.0280976933573920e+08 
+6.5000000000000002e-01 -5.2405970982751215e-01 +6.8937107157799353e+00 +4.5344828921195814e+00 -1.1143074300043173e+02 +1.6457201422422611e+04 +2.3264192571030161e+05 -1.0207088933417602e+08 
+6.9999999999999996e-01 -5.2406317445626427e-01 +6.8938939626720792e+00 +4.5386959857863083e+00 -1.1097484717560121e+02 +1.6295348092020924e+04 +2.2967397938829564e+05 -1.0128960324703957e+08 
+7.5000000000000000e-01 -5.2406698359871595e-01 +6.8940957302143016e+00 +4.5427968452478611e+00 -1.1051462080261919e+02 +1.6126581855483508e+04 +2.2669426834531096e+05 -1.0046800828192315e+08 
+8.0000000000000004e-01 -5.2407113658104743e-01 +6.8943160138798039e+00 +4.5467682326174055e+00 -1.1005145444246207e+02 +1.5951300774545882e+04 +2.2371154646504548e+05 -9.9608201549538150e+07 
+8.4999999999999998e-01 -5.2407563272945379e-01 +6.8945548091386257e+00 +4.5505929058634340e+00 -1.0958673849655584e+02 +1.5769903019700218e+04 +2.2073456630519923e+05 -9.8712280885410473e+07 
+9.0000000000000002e-01 -5.2408047137015457e-01 +6.8948121114690819e+00 +4.5542536290871647e+00 -1.0912186367342272e+02 +1.5582786596834960e+04 +2.1777208292825910e+05 -9.7782343015604392e+07 
+9.4999999999999996e-01 -5.2408565182933109e-01 +6.8950879163424661e+00 +4.5577331611638137e+00 -1.0865822037148720e+02 +1.5390349654315587e+04 +2.1483284885511955e+05 -9.6820485636375189e+07 
+1.0000000000000000e+00 -5.2409117343321909e-01 +6.8953822192360086e+00 +4.5610142636770057e+00 -1.0819719920134183e+02 +1.5192990267328496e+04 +2.1192561832529839e+05 -9.5828805948471278e+07 
+1.0500000000000000e+00 -5.2409703550809161e-01 +6.8956950156238044e+00 +4.5640796974720033e+00 -1.0774019062110521e+02 +1.4991106533412742e+04 +2.0905914430727231e+05 -9.4809401313568234e+07 
+1.1000000000000001e+00 -5.2410323738016473e-01 +6.8960263009826424e+00 +4.5669122244642413e+00 -1.0728858517068146e+02 +1.4785096517675123e+04 +2.0624218045361331e+05 -9.3764368861993656e+07 
+1.1499999999999999e+00 -5.2410977837579198e-01 +6.8963760707915247e+00 +4.5694946053763648e+00 -1.0684377345776591e+02 +1.4575358322938440e+04 +2.0348348092398696e+05 -9.2695805997917324e+07 
+1.2000000000000000e+00 -5.2411665782121541e-01 +6.8967443205281285e+00 +4.5718096015846985e+00 -1.0640714599817815e+02 +1.4362290031748886e+04 +2.0079179910716656e+05 -9.1605809984123290e+07 
+1.2500000000000000e+00 -5.2412387504275515e-01 +6.8971310456711885e+00 +4.5738399761786850e+00 -1.0598009333400464e+02 +1.4146289682181998e+04 +1.9817588860520066e+05 -9.0496477784735054e+07 
+1.3000000000000000e+00 -5.2413142936675206e-01 +6.8975362417012089e+00 +4.5755684890039383e+00 -1.0556400605086716e+02 +1.3927755401122367e+04 +1.9564450333463590e+05 -8.9369906970882699e+07 
+1.3500000000000001e+00 -5.2413932011954756e-01 +6.8979599040984132e+00 +4.5769779019702526e+00 -1.0516027469201246e+02 +1.3707085261363882e+04 +1.9320639684412154e+05 -8.8228194757511988e+07 
+1.3999999999999999e+00 -5.2414754662744789e-01 +6.8984020283463083e+00 +4.5780509770897826e+00 -1.0477028991784438e+02 +1.3484677332910036e+04 +1.9087032364785636e+05 -8.7073438338925287e+07 
+1.4500000000000000e+00 -5.2415610821687930e-01 +6.8988626099273631e+00 +4.5787704769373887e+00 -1.0439544230918078e+02 +1.3260929672444965e+04 +1.8864503751965408e+05 -8.5907734826161772e+07 
+1.5000000000000000e+00 -5.2416500421422096e-01 +6.8993416443259212e+00 +4.5791191621886096e+00 -1.0403712250537471e+02 +1.3036240390029912e+04 +1.8653929273347685e+05 -8.4733181700336501e+07 
+1.5500000000000000e+00 -5.2417423394586438e-01 +6.8998391270284261e+00 +4.5790797977405449e+00 -1.0369672119846537e+02 +1.2811007481690180e+04 +1.8456184392776812e+05 -8.3551875674301550e+07 
+1.6000000000000001e+00 -5.2418379673821336e-01 +6.9003550535198128e+00 +4.5786351435664780e+00 -1.0337562899669457e+02 +1.2585629078182248e+04 +1.8272144503703548e+05 -8.2365914376056015e+07 
+1.6499999999999999e+00 -5.2419369191772558e-01 +6.9008894192869858e+00 +4.5777679623216452e+00 -1.0307523656995073e+02 +1.2360503238892656e+04 +1.8102685048805136e+05 -8.1177394958554581e+07 
+1.7000000000000000e+00 -5.2420391881083872e-01 +6.9014422198219547e+00 +4.5764610189222426e+00 -1.0279693475700036e+02 +1.2136027965926718e+04 +1.7948681601072568e+05 -7.9988414199177295e+07 
+1.7500000000000000e+00 -5.2421447674403043e-01 +6.9020134506128930e+00 +4.5746970745896842e+00 -1.0254211422593052e+02 +1.1912601360886505e+04 +1.7811009592506816e+05 -7.8801069551397547e+07 
+1.8000000000000000e+00 -5.2422536504376316e-01 +6.9026031071511627e+00 +4.5724588936609392e+00 -1.0231216574492196e+02 +1.1690621444021723e+04 +1.7690544533182713e+05 -7.7617457925598159e+07 
