# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.5269999999999992e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-5.0000000000000003e-02 +8.5269999309545170e+00 +0.0000000000000000e+00 -4.9999999999936436e-02 +2.7618204422536286e-06 +0.0000000000000000e+00 +9.9999999999618616e-01
-1.0000000000000001e-01 +8.5269997238178235e+00 +0.0000000000000000e+00 -9.9999999999491496e-02 +5.5236487916561680e-06 +0.0000000000000000e+00 +9.9999999998474465e-01
-1.5000000000000002e-01 +8.5269993785894762e+00 +0.0000000000000000e+00 -1.4999999999828378e-01 +8.2854869171479703e-06 +0.0000000000000000e+00 +9.9999999996567535e-01
-2.0000000000000001e-01 +8.5269988952689388e+00 +0.0000000000000000e+00 -1.9999999999593190e-01 +1.1047336684671851e-05 +0.0000000000000000e+00 +9.9999999993897815e-01
-2.5000000000000000e-01 +8.5269982738555825e+00 +0.0000000000000000e+00 -2.4999999999205447e-01 +1.3809199957173175e-05 +0.0000000000000000e+00 +9.9999999990465294e-01
-2.9999999999999999e-01 +8.5269975143486860e+00 +0.0000000000000000e+00 -2.9999999998627003e-01 +1.6571078594599942e-05 +0.0000000000000000e+00 +9.9999999986269961e-01
-3.4999999999999998e-01 +8.5269966167474358e+00 +0.0000000000000000e+00 -3.4999999997819725e-01 +1.9332974453902867e-05 +0.0000000000000000e+00 +9.9999999981311793e-01
-3.9999999999999997e-01 +8.5269955810509224e+00 +0.0000000000000000e+00 -3.9999999996745467e-01 +2.2094889389035464e-05 +0.0000000000000000e+00 +9.9999999975590781e-01
-4.4999999999999996e-01 +8.5269944072581474e+00 +0.0000000000000000e+00 -4.4999999995366086e-01 +2.4856825250954138e-05 +0.0000000000000000e+00 +9.9999999969106901e-01
-4.9999999999999994e-01 +8.5269930953680184e+00 +0.0000000000000000e+00 -4.9999999993643440e-01 +2.7618783887618254e-05 +0.0000000000000000e+00 +9.9999999961860131e-01
-5.4999999999999993e-01 +8.5269916453793488e+00 +0.0000000000000000e+00 -5.4999999991539383e-01 +3.0380767143990229e-05 +0.0000000000000000e+00 +9.9999999953850438e-01
-5.9999999999999998e-01 +8.5269900572908632e+00 +0.0000000000000000e+00 -5.9999999989015773e-01 +3.3142776862035620e-05 +0.0000000000000000e+00 +9.9999999945077811e-01
-6.5000000000000002e-01 +8.5269883311011920e+00 +0.0000000000000000e+00 -6.4999999986034451e-01 +3.5904814880723182e-05 +0.0000000000000000e+00 +9.9999999935542205e-01
-7.0000000000000007e-01 +8.5269864668088733e+00 +0.0000000000000000e+00 -6.9999999982557271e-01 +3.8666883036024983e-05 +0.0000000000000000e+00 +9.9999999925243599e-01
-7.5000000000000011e-01 +8.5269844644123562e+00 +0.0000000000000000e+00 -7.4999999978546084e-01 +4.1428983160916459e-05 +0.0000000000000000e+00 +9.9999999914181958e-01
-8.0000000000000016e-01 +8.5269823239099942e+00 +0.0000000000000000e+00 -7.9999999973962743e-01 +4.4191117085376507e-05 +0.0000000000000000e+00 +9.9999999902357251e-01
-8.5000000000000020e-01 +8.5269800453000535e+00 +0.0000000000000000e+00 -8.4999999968769091e-01 +4.6953286636387568e-05 +0.0000000000000000e+00 +9.9999999889769431e-01
-9.0000000000000024e-01 +8.5269776285807062e+00 +0.0000000000000000e+00 -8.9999999962926969e-01 +4.9715493637935698e-05 +0.0000000000000000e+00 +9.9999999876418477e-01
-9.5000000000000029e-01 +8.5269750737500356e+00 +0.0000000000000000e+00 -9.4999999956398218e-01 +5.2477739911010654e-05 +0.0000000000000000e+00 +9.9999999862304334e-01
-1.0000000000000002e+00 +8.5269723808060309e+00 +0.0000000000000000e+00 -9.9999999949144680e-01 +5.5240027273605988e-05 +0.0000000000000000e+00 +9.9999999847426968e-01
-1.0500000000000003e+00 +8.5269695497465925e+00 +0.0000000000000000e+00 -1.0499999994112819e+00 +5.8002357540719096e-05 +0.0000000000000000e+00 +9.9999999831786324e-01
-1.1000000000000003e+00 +8.5269665805695318e+00 +0.0000000000000000e+00 -1.0999999993231058e+00 +6.0764732524351320e-05 +0.0000000000000000e+00 +9.9999999815382357e-01
-1.1500000000000004e+00 +8.5269634732725663e+00 +0.0000000000000000e+00 -1.1499999992265368e+00 +6.3527154033508025e-05 +0.0000000000000000e+00 +9.9999999798215022e-01
-1.2000000000000004e+00 +8.5269602278533245e+00 +0.0000000000000000e+00 -1.1999999991211934e+00 +6.6289623874198669e-05 +0.0000000000000000e+00 +9.9999999780284277e-01
-1.2500000000000004e+00 +8.5269568443093444e+00 +0.0000000000000000e+00 -1.2499999990066937e+00 +6.9052143849436908e-05 +0.0000000000000000e+00 +9.9999999761590064e-01
-1.3000000000000005e+00 +8.5269533226380752e+00 +0.0000000000000000e+00 -1.2999999988826560e+00 +7.1814715759240628e-05 +0.0000000000000000e+00 +9.9999999742132317e-01
-1.3500000000000005e+00 +8.5269496628368735e+00 +0.0000000000000000e+00 -1.3499999987486988e+00 +7.4577341400632063e-05 +0.0000000000000000e+00 +9.9999999721910993e-01
-1.4000000000000006e+00 +8.5269458649030092e+00 +0.0000000000000000e+00 -1.3999999986044398e+00 +7.7340022567637851e-05 +0.0000000000000000e+00 +9.9999999700926034e-01
-1.4500000000000006e+00 +8.5269419288336614e+00 +0.0000000000000000e+00 -1.4499999984494976e+00 +8.0102761051289127e-05 +0.0000000000000000e+00 +9.9999999679177376e-01
-1.5000000000000007e+00 +8.5269378546259187e+00 +0.0000000000000000e+00 -1.4999999982834900e+00 +8.2865558639621595e-05 +0.0000000000000000e+00 +9.9999999656664951e-01
-1.5500000000000007e+00 +8.5269336422767825e+00 +0.0000000000000000e+00 -1.5499999981060353e+00 +8.5628417117675592e-05 +0.0000000000000000e+00 +9.9999999633388703e-01
-1.6000000000000008e+00 +8.5269292917831621e+00 +0.0000000000000000e+00 -1.5999999979167514e+00 +8.8391338267496182e-05 +0.0000000000000000e+00 +9.9999999609348555e-01
-1.6500000000000008e+00 +8.5269248031418812e+00 +0.0000000000000000e+00 -1.6499999977152564e+00 +9.1154323868133228e-05 +0.0000000000000000e+00 +9.9999999584544452e-01
-1.7000000000000008e+00 +8.5269201763496714e+00 +0.0000000000000000e+00 -1.6999999975011684e+00 +9.3917375695641469e-05 +0.0000000000000000e+00 +9.9999999558976316e-01
-1.7500000000000009e+00 +8.5269154114031771e+00 +0.0000000000000000e+00 -1.7499999972741054e+00 +9.6680495523080579e-05 +0.0000000000000000e+00 +9.9999999532644079e-01
-1.8000000000000009e+00 +8.5269105082989558e+00 +0.0000000000000000e+00 -1.7999999970336851e+00 +9.9443685120515269e-05 +0.0000000000000000e+00 +9.9999999505547665e-01
-1.8500000000000010e+00 +8.5269054670334725e+00 +0.0000000000000000e+00 -1.8499999967795255e+00 +1.0220694625501535e-04 +0.0000000000000000e+00 +9.9999999477686996e-01
-1.9000000000000010e+00 +8.5269002876031088e+00 +0.0000000000000000e+00 -1.8999999965112446e+00 +1.0497028069065580e-04 +0.0000000000000000e+00 +9.9999999449061994e-01
-1.9500000000000011e+00 +8.5268949700041539e+00 +0.0000000000000000e+00 -1.9499999962284602e+00 +1.0773369018851685e-04 +0.0000000000000000e+00 +9.9999999419672581e-01
-2.0000000000000009e+00 +8.5268895142328098e+00 +0.0000000000000000e+00 -1.9999999959307899e+00 +1.1049717650668406e-04 +0.0000000000000000e+00 +9.9999999389518679e-01
-2.0500000000000007e+00 +8.5268839202851936e+00 +0.0000000000000000e+00 -2.0499999956178514e+00 +1.1326074139992899e-04 +0.0000000000000000e+00 +9.9999999358600200e-01
-2.1000000000000005e+00 +8.5268781881573315e+00 +0.0000000000000000e+00 -2.0999999952892625e+00 +1.1602438661619602e-04 +0.0000000000000000e+00 +9.9999999326917066e-01
-2.1500000000000004e+00 +8.5268723178451644e+00 +0.0000000000000000e+00 -2.1499999949446411e+00 +1.1878811389308912e-04 +0.0000000000000000e+00 +9.9999999294469177e-01
-2.2000000000000002e+00 +8.5268663093445465e+00 +0.0000000000000000e+00 -2.1999999945836044e+00 +1.2155192495755256e-04 +0.0000000000000000e+00 +9.9999999261256456e-01
-2.2500000000000000e+00 +8.5268601626512446e+00 +0.0000000000000000e+00 -2.2499999942057700e+00 +1.2431582152587091e-04 +0.0000000000000000e+00 +9.9999999227278802e-01
-2.2999999999999998e+00 +8.5268538777609404e+00 +0.0000000000000000e+00 -2.2999999938107556e+00 +1.2707980530366920e-04 +0.0000000000000000e+00 +9.9999999192536126e-01
-2.3499999999999996e+00 +8.5268474546692321e+00 +0.0000000000000000e+00 -2.3499999933981788e+00 +1.2984387798591293e-04 +0.0000000000000000e+00 +9.9999999157028341e-01
-2.3999999999999995e+00 +8.5268408933716326e+00 +0.0000000000000000e+00 -2.3999999929676568e+00 +1.3260804125690809e-04 +0.0000000000000000e+00 +9.9999999120755345e-01
-2.4499999999999993e+00 +8.5268341938635697e+00 +0.0000000000000000e+00 -2.4499999925188067e+00 +1.3537229679030130e-04 +0.0000000000000000e+00 +9.9999999083717039e-01
-2.4999999999999991e+00 +8.5268273561403891e+00 +0.0000000000000000e+00 -2.4999999920512463e+00 +1.3813664624907982e-04 +0.0000000000000000e+00 +9.9999999045913324e-01
-2.5499999999999989e+00 +8.5268203801973517e+00 +0.0000000000000000e+00 -2.5499999915645928e+00 +1.4090109128557163e-04 +0.0000000000000000e+00 +9.9999999007344098e-01
-2.5999999999999988e+00 +8.5268132660296398e+00 +0.0000000000000000e+00 -2.5999999910584632e+00 +1.4366563354144550e-04 +0.0000000000000000e+00 +9.9999998968009263e-01
-2.6499999999999986e+00 +8.5268060136323509e+00 +0.0000000000000000e+00 -2.6499999905324745e+00 +1.4643027464771101e-04 +0.0000000000000000e+00 +9.9999998927908706e-01
-2.6999999999999984e+00 +8.5267986230005004e+00 +0.0000000000000000e+00 -2.6999999899862441e+00 +1.4919501622471864e-04 +0.0000000000000000e+00 +9.9999998887042330e-01
-2.7499999999999982e+00 +8.5267910941290257e+00 +0.0000000000000000e+00 -2.7499999894193889e+00 +1.5195985988215985e-04 +0.0000000000000000e+00 +9.9999998845410021e-01
-2.7999999999999980e+00 +8.5267834270127842e+00 +0.0000000000000000e+00 -2.7999999888315261e+00 +1.5472480721906705e-04 +0.0000000000000000e+00 +9.9999998803011669e-01
-2.8499999999999979e+00 +8.5267756216465500e+00 +0.0000000000000000e+00 -2.8499999882222729e+00 +1.5748985982381373e-04 +0.0000000000000000e+00 +9.9999998759847175e-01
-2.8999999999999977e+00 +8.5267676780250206e+00 +0.0000000000000000e+00 -2.8999999875912459e+00 +1.6025501927411452e-04 +0.0000000000000000e+00 +9.9999998715916416e-01
-2.9499999999999975e+00 +8.5267595961428153e+00 +0.0000000000000000e+00 -2.9499999869380615e+00 +1.6302028713702520e-04 +0.0000000000000000e+00 +9.9999998671219270e-01
-2.9999999999999973e+00 +8.5267513759944737e+00 +0.0000000000000000e+00 -2.9999999862623370e+00 +1.6578566496894276e-04 +0.0000000000000000e+00 +9.9999998625755637e-01
-3.0499999999999972e+00 +8.5267430175744590e+00 +0.0000000000000000e+00 -3.0499999855636890e+00 +1.6855115431560551e-04 +0.0000000000000000e+00 +9.9999998579525395e-01
-3.0999999999999970e+00 +8.5267345208771577e+00 +0.0000000000000000e+00 -3.0999999848417343e+00 +1.7131675671209302e-04 +0.0000000000000000e+00 +9.9999998532528422e-01
-3.1499999999999968e+00 +8.5267258858968784e+00 +0.0000000000000000e+00 -3.1499999840960897e+00 +1.7408247368282630e-04 +0.0000000000000000e+00 +9.9999998484764596e-01
-3.1999999999999966e+00 +8.5267171126278551e+00 +0.0000000000000000e+00 -3.1999999833263715e+00 +1.7684830674156776e-04 +0.0000000000000000e+00 +9.9999998436233795e-01
-3.2499999999999964e+00 +8.5267082010642454e+00 +0.0000000000000000e+00 -3.2499999825321959e+00 +1.7961425739142128e-04 +0.0000000000000000e+00 +9.9999998386935895e-01
-3.2999999999999963e+00 +8.5266991512001322e+00 +0.0000000000000000e+00 -3.2999999817131798e+00 +1.8238032712483229e-04 +0.0000000000000000e+00 +9.9999998336870777e-01
-3.3499999999999961e+00 +8.5266899630295239e+00 +0.0000000000000000e+00 -3.3499999808689389e+00 +1.8514651742358777e-04 +0.0000000000000000e+00 +9.9999998286038316e-01
-3.3999999999999959e+00 +8.5266806365463559e+00 +0.0000000000000000e+00 -3.3999999799990901e+00 +1.8791282975881633e-04 +0.0000000000000000e+00 +9.9999998234438381e-01
-3.4499999999999957e+00 +8.5266711717444892e+00 +0.0000000000000000e+00 -3.4499999791032492e+00 +1.9067926559098827e-04 +0.0000000000000000e+00 +9.9999998182070848e-01
-3.4999999999999956e+00 +8.5266615686177136e+00 +0.0000000000000000e+00 -3.4999999781810329e+00 +1.9344582636991557e-04 +0.0000000000000000e+00 +9.9999998128935574e-01
-3.5499999999999954e+00 +8.5266518271597462e+00 +0.0000000000000000e+00 -3.5499999772320567e+00 +1.9621251353475199e-04 +0.0000000000000000e+00 +9.9999998075032437e-01
-3.5999999999999952e+00 +8.5266419473642312e+00 +0.0000000000000000e+00 -3.5999999762559374e+00 +1.9897932851399309e-04 +0.0000000000000000e+00 +9.9999998020361303e-01
-3.6499999999999950e+00 +8.5266319292247417e+00 +0.0000000000000000e+00 -3.6499999752522903e+00 +2.0174627272547628e-04 +0.0000000000000000e+00 +9.9999997964922027e-01
-3.6999999999999948e+00 +8.5266217727347815e+00 +0.0000000000000000e+00 -3.6999999742207312e+00 +2.0451334757638084e-04 +0.0000000000000000e+00 +9.9999997908714489e-01
-3.7499999999999947e+00 +8.5266114778877835e+00 +0.0000000000000000e+00 -3.7499999731608766e+00 +2.0728055446322800e-04 +0.0000000000000000e+00 +9.9999997851738542e-01
-3.7999999999999945e+00 +8.5266010446771112e+00 +0.0000000000000000e+00 -3.7999999720723419e+00 +2.1004789477188098e-04 +0.0000000000000000e+00 +9.9999997793994044e-01
-3.8499999999999943e+00 +8.5265904730960589e+00 +0.0000000000000000e+00 -3.8499999709547428e+00 +2.1281536987754498e-04 +0.0000000000000000e+00 +9.9999997735480861e-01
-3.8999999999999941e+00 +8.5265797631378533e+00 +0.0000000000000000e+00 -3.8999999698076948e+00 +2.1558298114476724e-04 +0.0000000000000000e+00 +9.9999997676198860e-01
-3.9499999999999940e+00 +8.5265689147956518e+00 +0.0000000000000000e+00 -3.9499999686308134e+00 +2.1835072992743715e-04 +0.0000000000000000e+00 +9.9999997616147884e-01
-3.9999999999999938e+00 +8.5265579280625463e+00 +0.0000000000000000e+00 -3.9999999674237143e+00 +2.2111861756878620e-04 +0.0000000000000000e+00 +9.9999997555327791e-01
-4.0499999999999936e+00 +8.5265468029315592e+00 +0.0000000000000000e+00 -4.0499999661860127e+00 +2.2388664540126519e-04 +0.0000000000000000e+00 +9.9999997493738446e-01
-4.0999999999999934e+00 +8.5265355393956472e+00 +0.0000000000000000e+00 -4.0999999649173242e+00 +2.2665481474519299e-04 +0.0000000000000000e+00 +9.9999997431379695e-01
-4.1499999999999932e+00 +8.5265241374477032e+00 +0.0000000000000000e+00 -4.1499999636172644e+00 +2.2942312690740521e-04 +0.0000000000000000e+00 +9.9999997368251392e-01
-4.1999999999999931e+00 +8.5265125970805542e+00 +0.0000000000000000e+00 -4.1999999622854478e+00 +2.3219158318113145e-04 +0.0000000000000000e+00 +9.9999997304353383e-01
-4.2499999999999929e+00 +8.5265009182869616e+00 +0.0000000000000000e+00 -4.2499999609214898e+00 +2.3496018484599521e-04 +0.0000000000000000e+00 +9.9999997239685523e-01
-4.2999999999999927e+00 +8.5264891010596244e+00 +0.0000000000000000e+00 -4.2999999595250049e+00 +2.3772893316801398e-04 +0.0000000000000000e+00 +9.9999997174247657e-01
-4.3499999999999925e+00 +8.5264771453911798e+00 +0.0000000000000000e+00 -4.3499999580956086e+00 +2.4049782939959913e-04 +0.0000000000000000e+00 +9.9999997108039640e-01
