# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +8.5269999999999992e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
5.0000000000000003e-02 +8.5269999309639495e+00 +0.0000000000000000e+00 +4.9999999999936449e-02 -2.7614406782206643e-06 +0.0000000000000000e+00 +9.9999999999618727e-01
1.0000000000000001e-01 +8.5269997238560507e+00 +0.0000000000000000e+00 +9.9999999999491634e-02 -5.5228742716909295e-06 +0.0000000000000000e+00 +9.9999999998474898e-01
1.5000000000000002e-01 +8.5269993786766118e+00 +0.0000000000000000e+00 +1.4999999999828426e-01 -8.2843025819116823e-06 +0.0000000000000000e+00 +9.9999999996568523e-01
2.0000000000000001e-01 +8.5269988954258515e+00 +0.0000000000000000e+00 +1.9999999999593304e-01 -1.1045727408790163e-05 +0.0000000000000000e+00 +9.9999999993899602e-01
2.5000000000000000e-01 +8.5269982741038994e+00 +0.0000000000000000e+00 +2.4999999999205674e-01 -1.3807150550640044e-05 +0.0000000000000000e+00 +9.9999999990468136e-01
2.9999999999999999e-01 +8.5269975147107946e+00 +0.0000000000000000e+00 +2.9999999998627408e-01 -1.6568573804181515e-05 +0.0000000000000000e+00 +9.9999999986274124e-01
3.4999999999999998e-01 +8.5269966172464873e+00 +0.0000000000000000e+00 +3.4999999997820380e-01 -1.9329998964541365e-05 +0.0000000000000000e+00 +9.9999999981317567e-01
3.9999999999999997e-01 +8.5269955817108372e+00 +0.0000000000000000e+00 +3.9999999996746460e-01 -2.2091427825253054e-05 +0.0000000000000000e+00 +9.9999999975598453e-01
4.4999999999999996e-01 +8.5269944081036133e+00 +0.0000000000000000e+00 +4.4999999995367518e-01 -2.4852862178256810e-05 +0.0000000000000000e+00 +9.9999999969116771e-01
4.9999999999999994e-01 +8.5269930964244978e+00 +0.0000000000000000e+00 +4.9999999993645428e-01 -2.7614303813899704e-05 +0.0000000000000000e+00 +9.9999999961872521e-01
5.4999999999999993e-01 +8.5269916466730802e+00 +0.0000000000000000e+00 +5.4999999991542059e-01 -3.0375754520935727e-05 +0.0000000000000000e+00 +9.9999999953865681e-01
5.9999999999999998e-01 +8.5269900588488632e+00 +0.0000000000000000e+00 +5.9999999989019281e-01 -3.3137216086525888e-05 +0.0000000000000000e+00 +9.9999999945096252e-01
6.5000000000000002e-01 +8.5269883329512606e+00 +0.0000000000000000e+00 +6.4999999986038970e-01 -3.5898690296238276e-05 +0.0000000000000000e+00 +9.9999999935564210e-01
