# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -5.7833215631503898e-01 +7.5924707235386864e+00 +6.5182916249170360e+00 -4.4710281683159174e+01 -1.5693066537688772e+04 +1.5271767265659226e+04 +1.1299936740395199e+08 
-5.0000000000000003e-02 -5.7833047764508438e-01 +7.5923070576341578e+00 +6.5181439785842699e+00 -4.4593590077777002e+01 -1.5591855509160936e+04 +1.4395703608779018e+04 +1.1239467137628768e+08 
-1.0000000000000001e-01 -5.7832918874166706e-01 +7.5921648345574404e+00 +6.5176347241368564e+00 -4.4470503968064733e+01 -1.5491885082011248e+04 +1.3442185205812246e+04 +1.1179461886163644e+08 
-1.5000000000000002e-01 -5.7832828904664724e-01 +7.5920440247689198e+00 +6.5167707206573064e+00 -4.4342043625485275e+01 -1.5393360013528652e+04 +1.2421006553041123e+04 +1.1120057160136932e+08 
-2.0000000000000001e-01 -5.7832777800187374e-01 +7.5919445987312146e+00 +6.5155588223774696e+00 -4.4209229416151167e+01 -1.5296484933882170e+04 +1.1341963047980780e+04 +1.1061389049305114e+08 
-2.5000000000000000e-01 -5.7832765504924444e-01 +7.5918665269093601e+00 +6.5140058891494181e+00 -4.4073081755864763e+01 -1.5201464625116869e+04 +1.0214850413331993e+04 +1.1003593746047457e+08 
-2.9999999999999999e-01 -5.7832791963066776e-01 +7.5918097797640298e+00 +6.5121187786461299e+00 -4.3934620853354929e+01 -1.5108503805273105e+04 +9.0494626767154277e+03 +1.0946807397884439e+08 
-3.4999999999999998e-01 -5.7832857118806158e-01 +7.5917743277589160e+00 +6.5099043476588170e+00 -4.3794867027305870e+01 -1.5017807173377405e+04 +7.8555948276605386e+03 +1.0891166141279100e+08 
-3.9999999999999997e-01 -5.7832960916337062e-01 +7.5917601413602718e+00 +6.5073694542270966e+00 -4.3654840669170390e+01 -1.4929579459017101e+04 +6.6430424343391205e+03 +1.0836806132169296e+08 
-4.4999999999999996e-01 -5.7833103299854527e-01 +7.5917671910317672e+00 +6.5045209542322686e+00 -4.3515562032034452e+01 -1.4844025333180429e+04 +5.4215999245299727e+03 +1.0783863486701679e+08 
-4.9999999999999994e-01 -5.7833284213556757e-01 +7.5917954472378035e+00 +6.5013657060459167e+00 -4.3378051381030744e+01 -1.4761349538309416e+04 +4.2010618558365022e+03 +1.0732474371310458e+08 
-5.4999999999999993e-01 -5.7833503601644387e-01 +7.5918448804461081e+00 +6.4979105691715002e+00 -4.3243329076325466e+01 -1.4681756841536611e+04 +2.9912235289887185e+03 +1.0682774966353390e+08 
-5.9999999999999998e-01 -5.7833761408317275e-01 +7.5919154611212454e+00 +6.4941623984038301e+00 -4.3112415325534101e+01 -1.4605451886384088e+04 +1.8018790059734336e+03 +1.0634901370500450e+08 
-6.5000000000000002e-01 -5.7834057577778930e-01 +7.5920071597295857e+00 +6.4901280515533335e+00 -4.2986330386713568e+01 -1.4532639391014440e+04 +6.4282278859780649e+02 +1.0588989729830940e+08 
-7.0000000000000007e-01 -5.7834392054235095e-01 +7.5921199467388982e+00 +6.4858143881069132e+00 -4.2866094546196166e+01 -1.4463524128891509e+04 -4.7615038655253022e+02 +1.0545176231790389e+08 
-7.5000000000000011e-01 -5.7834764781892911e-01 +7.5922537926162796e+00 +6.4812282660854077e+00 -4.2752728022747490e+01 -1.4398310827304660e+04 -1.5452463827026456e+03 +1.0503597030164033e+08 
-8.0000000000000016e-01 -5.7835175704959896e-01 +7.5924086678291376e+00 +6.4763765414438668e+00 -4.2647251036009870e+01 -1.4337204155084424e+04 -2.5546709997611197e+03 +1.0464388237615846e+08 
-8.5000000000000020e-01 -5.7835624767646754e-01 +7.5925845428458016e+00 +6.4712660727281257e+00 -4.2550683798662398e+01 -1.4280408859369996e+04 -3.4946301397887164e+03 +1.0427686023429433e+08 
-9.0000000000000024e-01 -5.7836111914166533e-01 +7.5927813881354780e+00 +6.4659037190115844e+00 -4.2464046534482272e+01 -1.4228129690730333e+04 -4.3553296085336751e+03 +1.0393626554639660e+08 
-9.5000000000000029e-01 -5.7836637088733045e-01 +7.5929991741661507e+00 +6.4602963382177387e+00 -4.2388359393446621e+01 -1.4180571375638438e+04 -5.1269757899637716e+03 +1.0362345984510446e+08 
-1.0000000000000002e+00 -5.7837200235561581e-01 +7.5932378714066031e+00 +6.4544507876303134e+00 -4.2324642516583545e+01 -1.4137938620565390e+04 -5.7997752008023417e+03 +1.0333980451614653e+08 
-1.0500000000000003e+00 -5.7837801298870084e-01 +7.5934974503288286e+00 +6.4483739261105102e+00 -4.2273916162928714e+01 -1.4100436175136052e+04 -6.3639333181469729e+03 +1.0308666123853838e+08 
-1.1000000000000003e+00 -5.7838440222877507e-01 +7.5937778814014418e+00 +6.4420726111376609e+00 -4.2237200403835089e+01 -1.4068268747554353e+04 -6.8096572386401967e+03 +1.0286539139118546e+08 
-1.1500000000000004e+00 -5.7839116951806213e-01 +7.5940791350945789e+00 +6.4355537038273969e+00 -4.2215515353024081e+01 -1.4041641152261433e+04 -7.1271536885496243e+03 +1.0267735710172474e+08 
-1.2000000000000004e+00 -5.7839831429878474e-01 +7.5944011818802055e+00 +6.4288240612284353e+00 -4.2209881171635629e+01 -1.4020758083626166e+04 -7.3066289820161328e+03 +1.0252391964441504e+08 
-1.2500000000000004e+00 -5.7840583601320228e-01 +7.5947439922269924e+00 +6.4218905444947882e+00 -4.2221317839193247e+01 -1.4005824352449436e+04 -7.3382910056130268e+03 +1.0240644109820794e+08 
