# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +8.5389999999999997e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.9933388571685225e-02 -5.5268606333392434e-01 +5.7073552253661059e-03
5.0000000000000003e-02 +8.5389999310387807e+00 +0.0000000000000000e+00 +4.9999999999936581e-02 -2.9932515052522608e-02 -5.5267815071645598e-01 +5.7049147270626264e-03
1.0000000000000001e-01 +8.5389997241564242e+00 +0.0000000000000000e+00 +9.9999999999492717e-02 -2.9931669672566434e-02 -5.5267062595639338e-01 +5.7024692678726476e-03
1.5000000000000002e-01 +8.5389993793548058e+00 +0.0000000000000000e+00 +1.4999999999828798e-01 -2.9930852382426487e-02 -5.5266348908602014e-01 +5.7000191174718384e-03
2.0000000000000001e-01 +8.5389988966357091e+00 +0.0000000000000000e+00 +1.9999999999594195e-01 -2.9930063132713451e-02 -5.5265674013763999e-01 +5.6975645455356041e-03
2.5000000000000000e-01 +8.5389982760008163e+00 +0.0000000000000000e+00 +2.4999999999207423e-01 -2.9929301874038937e-02 -5.5265037914357518e-01 +5.6951058217391158e-03
2.9999999999999999e-01 +8.5389975174517172e+00 +0.0000000000000000e+00 +2.9999999998630439e-01 -2.9928568557015551e-02 -5.5264440613616661e-01 +5.6926432157573259e-03
3.4999999999999998e-01 +8.5389966209899004e+00 +0.0000000000000000e+00 +3.4999999997825210e-01 -2.9927863132256923e-02 -5.5263882114777430e-01 +5.6901769972649979e-03
3.9999999999999997e-01 +8.5389955866167604e+00 +0.0000000000000000e+00 +3.9999999996753699e-01 -2.9927185550377745e-02 -5.5263362421077789e-01 +5.6877074359367279e-03
4.4999999999999996e-01 +8.5389944143335939e+00 +0.0000000000000000e+00 +4.4999999995377865e-01 -2.9926535761993812e-02 -5.5262881535757558e-01 +5.6852348014469686e-03
4.9999999999999994e-01 +8.5389931041415998e+00 +0.0000000000000000e+00 +4.9999999993659677e-01 -2.9925913717722064e-02 -5.5262439462058444e-01 +5.6827593634700422e-03
5.4999999999999993e-01 +8.5389916560418833e+00 +0.0000000000000000e+00 +5.4999999991561099e-01 -2.9925319368180592e-02 -5.5262036203224019e-01 +5.6802813916801828e-03
5.9999999999999998e-01 +8.5389900700354495e+00 +0.0000000000000000e+00 +5.9999999989044095e-01 -2.9924752663988741e-02 -5.5261671762499820e-01 +5.6778011557515407e-03
6.5000000000000002e-01 +8.5389883461232081e+00 +0.0000000000000000e+00 +6.4999999986070633e-01 -2.9924213555767108e-02 -5.5261346143133216e-01 +5.6753189253582201e-03
7.0000000000000007e-01 +8.5389864843059726e+00 +0.0000000000000000e+00 +6.9999999982602690e-01 -2.9923701994137589e-02 -5.5261059348373520e-01 +5.6728349701742897e-03
