fieldmap_name:      	B1-005
timestamp:          	2018-12-13_10-50-22
filename:           	2018-12-13_B1-005_Hall_X=-32_32mm_Z=-800_800mm_Imc=403.6A_ID=914.dat
nr_magnets:         	1
magnet_name:        	B1-005
gap[mm]:            	39
control_gap[mm]:    	--
magnet_length[mm]:  	808.4
current_main[A]:    	403.6
nr_turns_main:      	24
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
---------------------------------------------------------------------------------------------
-32.000	0.000	-800.000	-3.4265012784e-07	-2.3942745488e-07	3.3229497070e-07
-28.000	0.000	-800.000	3.0885282499e-07	-1.9091031137e-07	1.2074215440e-07
-24.000	0.000	-800.000	-9.8843591003e-08	-1.4998477714e-07	-3.5344502973e-07
-20.000	0.000	-800.000	3.7290856083e-07	-9.1936480372e-08	-4.3072685722e-07
-16.000	0.000	-800.000	-2.8149620524e-07	-3.4652655882e-07	6.6722226898e-07
-12.000	0.000	-800.000	1.0377634530e-07	-2.7032069064e-07	2.3866126945e-08
-8.000	0.000	-800.000	-3.4890739809e-07	-6.4249562306e-07	6.8204808787e-07
-4.000	0.000	-800.000	-1.1265044157e-07	-3.0214034048e-07	5.3451222671e-08
0.000	0.000	-800.000	2.1089278023e-08	9.7972985825e-08	-3.7449392517e-08
4.000	0.000	-800.000	4.1705790104e-07	-1.4663429440e-07	2.2543853749e-07
8.000	0.000	-800.000	1.3503150911e-07	-4.3009460065e-07	6.1568563820e-07
12.000	0.000	-800.000	7.2686420636e-08	1.5991373924e-07	-1.2339586720e-08
16.000	0.000	-800.000	2.0152889619e-07	-1.4139991033e-07	5.3305221877e-07
20.000	0.000	-800.000	-1.9782071316e-07	1.5757674772e-07	-2.9128409320e-07
24.000	0.000	-800.000	-2.1057689980e-07	-1.6026240914e-07	5.9385863312e-07
28.000	0.000	-800.000	-1.5622193132e-07	1.6494289585e-07	3.0007934832e-07
32.000	0.000	-800.000	-8.9786375975e-08	-1.5800129397e-07	6.6378387321e-08
-32.000	0.000	-798.000	-5.6159472400e-08	-6.4256969270e-08	3.2988270915e-07
-28.000	0.000	-798.000	2.9971182483e-09	-1.3271586230e-07	2.3545752679e-08
-24.000	0.000	-798.000	1.9185101020e-08	-4.5273140580e-07	-1.7479090477e-07
-20.000	0.000	-798.000	-2.4492761019e-08	3.0788996105e-08	-2.7885567871e-07
-16.000	0.000	-798.000	2.2638216870e-08	-1.6327614542e-07	5.5391846123e-07
-12.000	0.000	-798.000	4.9715552745e-08	-5.1844086518e-07	7.5308347248e-08
-8.000	0.000	-798.000	6.5794356818e-08	-6.1364454500e-07	7.6161174916e-07
-4.000	0.000	-798.000	-1.9531858814e-07	-2.2453870882e-07	-2.8003830817e-07
0.000	0.000	-798.000	4.5448077865e-08	-1.2404211178e-07	-2.8036070841e-07
4.000	0.000	-798.000	1.2162989168e-07	-2.7254838409e-07	8.6345861999e-08
8.000	0.000	-798.000	6.7773492332e-08	-5.0661228450e-07	9.1622650387e-07
12.000	0.000	-798.000	-3.8003217668e-08	8.4078039265e-08	9.2144474129e-08
16.000	0.000	-798.000	-5.1113420317e-08	-3.4423364784e-07	5.4255449428e-07
20.000	0.000	-798.000	-9.9647833349e-08	9.1835311902e-08	-3.2986407011e-07
24.000	0.000	-798.000	-1.5444718901e-07	-5.0706700061e-07	2.4795617512e-07
28.000	0.000	-798.000	4.6345067788e-08	4.7113250407e-08	1.7251897582e-07
32.000	0.000	-798.000	9.2402047753e-08	-1.8168103758e-07	-4.4075097906e-08
-32.000	0.000	-796.000	-1.1611890218e-07	-6.6149361522e-08	-1.0076810655e-07
-28.000	0.000	-796.000	1.3389979857e-07	2.3570445537e-07	-9.9652019133e-08
-24.000	0.000	-796.000	5.3600426896e-08	-3.6330570990e-07	-1.0477364028e-07
-20.000	0.000	-796.000	-3.0584995808e-08	2.3399759885e-07	-1.9886206044e-07
-16.000	0.000	-796.000	9.9218157236e-08	-6.4167182259e-08	4.1421214022e-07
-12.000	0.000	-796.000	-1.1456602530e-07	-2.4781070739e-07	-7.0355377299e-10
-8.000	0.000	-796.000	-4.5877618190e-08	-4.6480044225e-07	6.2288059770e-07
-4.000	0.000	-796.000	1.8567238755e-07	-4.1692138269e-07	-3.5519164576e-07
0.000	0.000	-796.000	-6.2298941009e-08	-3.3069224893e-07	-4.8246482492e-07
4.000	0.000	-796.000	-1.7080629536e-07	-3.0700437571e-07	1.0789278721e-07
8.000	0.000	-796.000	-1.3882791320e-07	-6.2629819065e-07	9.3946804508e-07
12.000	0.000	-796.000	-1.0935185975e-07	-3.5393172907e-07	1.5895308861e-08
16.000	0.000	-796.000	1.5423301863e-08	-3.7366283140e-07	3.8678578896e-07
20.000	0.000	-796.000	4.9932325876e-08	-1.1877575125e-07	-4.5851891956e-07
